Subawardee UEI,Subawardee NAICS-6 (Primary),Subawardee NAICS-6 Description,Parent UEI,Parent Vendor Name,Subawardee Vendor Name,Predominant Place of Performance (by records),Subaward $M,Published Subaward Records,First Subaward,Last Subaward,Capability Domain Archetype (D),Capability Domain Archetype Basis,Primary Output Archetype (P),Primary Output Archetype Basis,Role / Description,Source URLs
MSYWUDGYPKF5,332420,Metal Tank (Heavy Gauge) Manufacturing,,EKC INTERNATIONAL FZE,"CP INDUSTRIES HOLDINGS, INC",Domestic,52.208001,26,2016-04-28,2024-11-04,,,,,"CP Industries manufactures high-pressure seamless steel flasks, cylinders, and pressure vessels for military, naval, and aerospace compressed-gas storage. Public materials describe CP as a key supplier of specialized high-pressure vessels to the US Navy for breathing air and shipboard uses, with products integrated into submarine systems for compressed gas storage. Recent Navy procurement data also identify CP Industries as a supplier of air flasks.",https://cp-industries.com/products/applications/military | https://cp-industries.com/ | https://cp-industries.com/products/applications | https://www.highergov.com/contract/N0010425PBY36/ | https://cp-industries.com/about
FK17Z7DJWLL1,,"n/a (SAM record, no NAICS)",,Apco Technologies SA,APCO TECHNOLOGIES SA,Foreign,47.250326,61,2016-01-19,2025-01-21,,,,,"APCO publicly supplies submarine assembly and welding fixtures plus specialized handling equipment; shipment records to Electric Boat list J/K fixtures, welding trolleys, hydraulic jacks, caisson-lifting equipment, and related controls. The records reviewed do not explicitly identify which items correspond to its Columbia-class subawards.","https://www.apco-technologies.eu/naval/
https://www.importgenius.com/suppliers/apco-technologies-sa"
Q35JL9GFCAK3,332912,Fluid Power Valve and Hose Fitting Manufacturing,,"MAROTTA CONTROLS, INC.",MAROTTA CONTROLS INC,Domestic,46.569752,59,2016-02-23,2024-10-04,,,,,"Marotta Controls supplies shipboard flow-control and motion-control hardware used on US Navy submarines and surface ships. Public product materials state that every US submarine goes to sea with Marotta ship controls and valves in mission-critical applications, and the company lists high-performance shipboard controls for propulsion, weapons, maneuverability, pressurization, fluid/gas collection and distribution, and other submarine systems. Relevant products include in-line valves, solenoid and motor-operated controls, and manifolds that integrate valves and fluid/gas pathways.",https://marotta.com/products/flow-controls/shipboard-controls/ | https://marotta.com/products/flow-controls/ | https://marotta.com/products/flow-controls/shipboard-controls/in-line-valves/ | https://marotta.com/products/flow-controls/shipboard-controls/manifolds/ | https://marotta.com/events/navy-submarine-annual-symposium/
SLD5KEGGLLZ3,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",Domestic,46.541102,20,2018-10-16,2024-07-12,,,,,"Johnson Controls Navy Systems supplies heating, ventilation, air-conditioning, and refrigeration systems for US Navy vessels, including submarines. Its public Navy/marine materials state that the company designs, manufactures, tests, installs, and supports naval HVAC and refrigeration equipment for platforms ranging from submarines to aircraft carriers. For submarine construction, its role is best characterized as environmental-control/HVAC-R machinery, components, and related engineering/support.",https://www.johnsoncontrols.com/marine-and-navy/hvac-and-refrigeration
DJG7NEG7QRK5,332911,Industrial Valve Manufacturing,,"HUNT VALVE COMPANY, INC.","HUNT VALVE COMPANY, INC.",Domestic,43.631245,169,2016-02-05,2025-01-15,,,,,"Hunt Valve supplies essential valves and electromechanical actuators for US Navy nuclear submarines. Fairbanks Morse Defense announced purchase orders for Hunt Valve to deliver valves for Virginia- and Columbia-class submarine programs, including Columbia hulls 4 through 7. The public announcement identifies ship service ball valves and forged high-pressure system valves, making Hunt a fluid/pressure-system valve supplier.",https://www.fairbanksmorsedefense.com/blog/fairbanks-morse-defenses-hunt-valve-awarded-96-million-in-pos-to-deliver-essential-valves-for-virginia-and-columbia-class-submarine-programs/ | https://www.marinelink.com/news/fmds-hunt-valve-wins-m-pos-submarine-520831 | https://www.fairbanksmorsedefense.com/blog/fairbanks-morse-defense-acquires-hunt-valve-company-inc-1/
NN7PCHZFNZP8,331513,Steel Foundries (except Investment),,GOODWIN PLC,GOODWIN STEEL CASTINGS LIMITED,Foreign,43.570597,23,2017-05-30,2025-01-24,,,,,Supplies high-integrity steel and stainless-steel castings for the Columbia program. Goodwin confirms U.S. Navy/Columbia work but does not disclose the exact casting or subsystem.,"https://www.investegate.co.uk/announcement/rns/goodwin-plc--gdwn/preliminary-results-for-the-year-ended-30-apr-2025/9011342
https://www.londonstockexchange.com/news-article/GDWN/preliminary-results-for-the-year-ended-30-apr-2025/17158094"
Y6X3BDLEPNJ6,336611,Ship Building and Repairing,,,"W INTERNATIONAL SC, LLC",Domestic,42.191634,14,2019-07-10,2022-02-09,,,,,"Fabricated large steel structures and modules for Columbia-class submarine construction at its Goose Creek, South Carolina facility. After HII acquired the operation, the same facility and legacy workforce were identified as producing Columbia auxiliary machinery-room and weapons modules.","https://www.sccommerce.com/news/hii-selects-berkeley-county-establish-its-first-south-carolina-operation
https://virginiabusiness.com/newport-news-shipbuildings-south-carolina-manufacturing-facility-is-up-and-running/
https://news.usni.org/2025/01/27/hii-completes-aqusition-of-w-international-assets"
VL18ZH6YLPY5,333611,Turbine and Turbine Generator Set Units Manufacturing,,LEONARDO SPA,"DRS NAVAL POWER SYSTEMS, INC.",Domestic,36.064691,4,2024-06-10,2025-01-21,,,,,"This UEI is DRS Power Technology in Fitchburg, Massachusetts, a Columbia production site specializing in large electric machines and permanent-magnet propulsion technology. It is the DRS site most directly associated with the Columbia-class permanent-magnet main-propulsion motor, although the public contract announcement does not allocate every motor element by UEI.","https://www.sweetspot.so/markets/federal/contractors/drs-naval-power-systems-inc-vl18zh6ylpy5/
https://www.leonardodrs.com/locations/naval-power-systems-fitchburg-ma/
https://www.leonardodrs.com/news/press-releases/leonardo-drs-awarded-contracts-for-u-s-navys-columbia-class-submarine-program/"
TZVRTYNM3MN3,332313,Plate Work Manufacturing,,,PEGASUS STEEL LLC,Domestic,36.019949,42,2016-02-09,2025-01-10,,,,,"Pegasus Steel is a nuclear-shipbuilding steel-fabrication supplier for complex structures and assemblies. Public acquisition and KEEL materials identify Pegasus/KEEL work on Columbia, Virginia, and Ford programs, including Columbia-class submarine superstructures and critical complex structures. Its history also references NAVSEA submarine work involving fracture-critical structures and components.",https://arlingtoncap.com/news/arlington-capital-partners-announces-the-acquisition-of-pegasus-steel/ | https://keelusa.com/breaking-defense-navy-contractor-keel-to-open-new-70m-facilities-for-submarine-fabrication/ | https://keelusa.com/about/history/ | https://keelusa.com/columbia-class-case-study/
SX6BF52K2WB1,332912,Fluid Power Valve and Hose Fitting Manufacturing,,ESCO TECHNOLOGIES INC.,VACCO INDUSTRIES,Domestic,31.637654,36,2016-01-06,2025-01-15,,,,,"VACCO Industries supplies Columbia-class critical-quiet valves, manifolds, and fluid-control assemblies designed to minimize acoustic signature. VACCO’s own Navy literature lists both Virginia and Columbia among the submarine programs using these products.","https://www.sweetspot.so/markets/federal/contractors/vacco-industries-sx6bf52k2wb1/
https://www.vacco.com/images/uploads/site-images/VACCO_Tri_fold_brochure_2018.pdf
https://www.vacco.com/index.php/navy/overview"
JG6AMW7E23Z6,488510,Freight Transportation Arrangement,,C. H. POWELL COMPANY,C. H. POWELL COMPANY,Domestic,30.220891,6,2021-09-24,2023-03-17,,,,,"The exact cargo billed to this Columbia subaward could not be confirmed. The best-supported role is defense freight forwarding, customs brokerage, and project-cargo logistics for UK-origin Common Missile Compartment hardware and its transportation/storage fixtures moving from Babcock Marine Rosyth to Electric Boat; public manifests identify C. H. Powell/Tandem as the notify/logistics party on such shipments.","https://www.importgenius.com/suppliers/babcock-marine-rosyth-limited
https://www.rilegislature.gov/Special/ARPASFSFRP/Quonset%20Development%20Corporation.pdf
https://www.chpowell.com/"
F8M5LJA6LJL4,332911,Industrial Valve Manufacturing,,Rbc Bearings Incorporated,"SARGENT AEROSPACE & DEFENSE, LLC",Domestic,30.032907,42,2016-11-04,2024-11-20,,,,,"Supplies complex hydraulic valves and manifolds for Columbia, including the rudder servovalve/manifold.","https://www.sargentaerospace.com/marine-valves/
https://www.sargentaerospace.com/marine/
https://www.linkedin.com/posts/sargent-aerospace-%26-defense_at-sargent-respecting-and-valuing-our-employees-activity-7404996725569953792-v9uH"
LJRBXLTGXN57,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,,,"CEPEDA ASSOCIATES, INC.",Domestic,29.77098,42,2016-02-29,2024-10-17,,,,,"Cepeda Associates manufactures, services, and upgrades US Navy submarine life-support and atmosphere-control equipment, including Level I/SUBSAFE-qualified equipment. Its public materials describe submarine systems that remove carbon dioxide, carbon monoxide, hydrogen, volatile organic compounds, and related contaminants from the submarine atmosphere. Public Navy-contract notices also identify Cepeda as the original equipment manufacturer for Virginia-class submarine scrubbers and as a repair provider for those scrubbers.",https://www.workwithcepeda.com/about | https://www.highergov.com/contract-opportunity/us-navy-virginia-cla-n3225324c0009-award-n3225324c0009-cepeda-associates-inc-54ef3/ | https://www.highergov.com/contract-opportunity/us-navy-virginia-class-submarine-scrubbers-repair-n32253-25-r-0003-p-12c7d/ | https://www.highergov.com/contract-opportunity/us-navy-virginia-class-submarine-scrubbers-repair-n32253-22-r-0013-p-039f7/
GJNEBDUDNTA1,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,,"EURO MACHINERY SPECIALISTS, INC",EURO MACHINERY SPECIALISTS,Domestic,28.124701,7,2021-03-29,2023-09-22,,,,,"This appears to be Columbia production infrastructure rather than installed shipboard hardware. Customs records associate Euro Machinery Specialists with delivery/service of large Innse-Berardi horizontal boring and milling centers for Electric Boat; those machines are used at Groton/Quonset to machine large submarine structures and mechanical components, although the specific Columbia part produced on them is not public.","https://www.importgenius.com/importers/general-dynamics-electric-boat
https://www.eximpedia.app/companies/general-dynamics-electric-boat/76212756
https://en.machinetools.camozzi.com/products/horizontal-machines/all-products/aries-vision.kl
https://en.camozzigroup.com/divisions/machine-tools/innse-berardi-spa.kl"
F42BKS7EHCL8,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",,ULTRA ELECTRONICS HOLDINGS PLC,EMS DEVELOPMENT CORPORATION,Domestic,27.675557,30,2016-03-18,2024-07-11,,,,,"The exact Columbia unit is not disclosed. The best-supported inference is power-electronic equipment for the submarine’s advanced degaussing/magnetic-signature-control system—converters, current-regulation electronics, or spares that energize hull degaussing coils to cancel the boat’s magnetic field and reduce mine-detection vulnerability.","https://www.highergov.com/awardee/ems-development-corporation-10119694/
https://govtribe.com/vendors/ems-development-corporation-51435
https://www.navysbir.com/n19_2/N192-122.htm
https://www.escomaritime.com/"
MMCKJNNMSG23,332710,Machine Shops,,"ADVANCE MFG.CO., INC.","ADVANCE MFG.CO., INC.",Domestic,26.916496,72,2018-06-04,2025-01-22,,,,,"Advance Mfg. provides precision machining, welded fabrication, large fabrication, and assemblies for defense, marine, power-generation, aerospace, and other high-reliability markets. Public materials list NAVSEA welding specifications, HY-80/HY-100 and related naval materials, large DoD fabrications, and customer certifications that include Electric Boat and Newport News Shipbuilding. Its history notes machined components used on military submarine periscopes, supporting a role as a precision-machined/fabricated component supplier rather than a module prime.",https://www.advancemfg.com/ | https://www.advancemfg.com/pages/about/about.html | https://m.advancemfg.com/capabilities/ | https://m.advancemfg.com/capabilities/group4/welding/ | https://m.advancemfg.com/capabilities/group4/large-fabrication/ | https://m.advancemfg.com/our-history/ | https://m.advancemfg.com/equipment-list/cnc-milling-2-2-2-2-2-3/
G9HKMXL5L973,326291,Rubber Product Manufacturing for Mechanical Use,,"OIL STATES INDUSTRIES, INC.","OIL STATES INDUSTRIES, INC",Domestic,25.758585,60,2016-08-22,2024-10-18,,,,,"A specific Columbia mount or filter is not publicly named. Oil States’ naval product line and earlier submarine supplier records point to elastomeric acoustic filters, shock mounts, and laminated bearings used under machinery or at piping/duct interfaces in machinery spaces to isolate pumps, motors, compressors, and other equipment from the hull and suppress structure-borne noise.","https://man.fas.org/dod-101/sys/ship/docs/930930-cr.htm
https://www.sec.gov/Archives/edgar/data/1121484/000095012311016353/h78391e10vk.htm
https://s202.q4cdn.com/891580743/files/doc_financials/2015/ar-15.pdf"
WJ45NXW2TVD7,333995,Fluid Power Cylinder and Actuator Manufacturing,,MOOG INC.,MOOG INC.,Domestic,25.719969,74,2016-05-19,2024-09-05,,,,,"Supplies electrohydraulic linear actuators used on Columbia to operate shipboard valves, throttles, weapons-system mechanisms, doors, and hatches.","https://www.moog.com/markets/defense/naval-systems.html
https://www.moog.com/products/actuators-servoactuators/defense/linear-actuators-for-naval-systems.html"
RG6LJJM6JBS3,336611,Ship Building and Repairing,,,"AUSTAL USA, LLC",Domestic,24.332679,16,2022-04-22,2024-08-09,,,,,"Austal USA fabricates and outfits critical module components for the US submarine industrial base. Austal describes a strategic partnership with General Dynamics Electric Boat for fabrication and outfitting of critical components for Virginia- and Columbia-class submarines. Public announcements identify Austal USA's first Columbia-class order as the Command and Control Systems Module for SSBN 828, and also describe work on CCSM and Electronic Deck Module content for submarine programs.",https://www.austalusa.com/submarines | https://www.navalnews.com/naval-news/2023/10/austal-usa-receives-first-order-for-columbia-class-submarine-module-construction/ | https://www.austal.com/media-releases/austal-usa-awarded-us450-million-contract-expand-submarine-module-production | https://www.austalusa.com/index.php/who-we-are | https://www.austalusa.com/press-releases/austal-usa-leads-effort-increase-submarine-industrial-base-capabilities-under-aukus
JEP5GQGFPUL9,332911,Industrial Valve Manufacturing,,"Circor International, Inc.",PORTLAND VALVE LLC,Domestic,24.192191,82,2016-01-25,2024-10-25,,,,,"The class-specific valve model and fluid circuit are not public. Portland Valve’s confirmed submarine product is Navy-qualified ship-service ball valves and specialty valves, which would be distributed through Columbia’s seawater, cooling, hydraulic, and other auxiliary piping systems to isolate and control fluid flow.","https://www.circor.com/news/circor-brand-portland-valve-announces-50-year-anniversary
https://www.circor.com/brands/portland-valve
https://www.highergov.com/subcontract/N0002417C2117-1000041536/"
LL3PZJHUKZV3,332312,Fabricated Structural Metal Manufacturing,,AMERICAN STEEL AND ALUMINUM LLC,AMERICAN STEEL AND ALUMINUM LLC,Domestic,23.979361,22,2021-06-10,2024-11-12,,,,,"American Steel and Aluminum is a metal distributor, processor, and contract manufacturer serving defense and shipbuilding customers, including the submarine industrial base. Its public materials describe steel and aluminum sheet, plate, tube, pipe, bar, extrusions, structural shapes, cutting, forming, grinding, deburring, bending, machining, kitting, welding, and supply-chain control. Maine business reporting specifically says its Auburn, Massachusetts operation services General Dynamics Electric Boat's submarine industrial base and that the company cuts and forms plates and other parts for submarines.",https://americansteelandaluminum.com/ | https://americansteelandaluminum.com/about-us/ | https://americansteelandaluminum.com/processing-capabilities/ | https://americansteelandaluminum.com/product-line/ | https://americansteelandaluminum.com/info-quality/ | https://www.mainebiz.biz/article/maine-based-steel-processor-buys-425m-building-in-saco-to-expand-capacity
C9C6HPQLL4A8,333120,Construction Machinery Manufacturing,,Caterpillar Inc.,CATERPILLAR INC,Domestic,23.289846,22,2016-07-22,2024-07-16,,,,,"A Caterpillar subcontract is publicly reported under Electric Boat’s Columbia-class contract, but the disclosed record does not identify the purchased item. No Columbia-specific onboard component or construction service could be confirmed from public sources.",https://www.highergov.com/subcontract/N0002417C2117-1000027836/
KYURG7LRSC89,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",,"Circor International, Inc.",CIRCOR NAVAL SOLUTIONS LLC,Domestic,21.84466,28,2018-10-29,2024-10-08,,,,,"This UEI is CIRCOR Naval Solutions/Warren Pumps in Warren, Massachusetts. It supplies highly engineered centrifugal pumps and pump components for submarine fluid systems; the exact Columbia-class pump service represented by the subaward is not publicly disclosed.","https://www.highergov.com/awardee/circor-naval-solutions-llc-10110392/
https://www.circor.com/news/circor-brand-warren-pumps-holds-125th-year-anniversary-event
https://www.circor.com/brands/warren-pumps"
FLDEFFBLR5P3,325212,Synthetic Rubber Manufacturing,,ESCO TECHNOLOGIES INC.,"GLOBE COMPOSITE SOLUTIONS, LTD., LIMITED PARTNERSHIP",Domestic,21.109279,16,2016-05-16,2024-10-04,,,,,"Globe Composite Solutions designs and manufactures composite and elastomeric components for submarine defense and marine applications, with a focus on acoustic, hydrodynamic, sealing, and mission-critical parts. Public sources identify Globe as a critical supplier of more than 140 parts on Virginia- and Columbia-class submarines, including special hull-treatment-related parts, large-aperture bow acoustic panels, missile hatch gaskets, transducer covers, propulsor fairings, and propeller-shaft snubbers. Globe also describes long-running work designing composite submarine parts and acoustic-signature-reduction components.",https://www.globecomposite.com/defense | https://www.globecomposite.com/blog/x-factor-columbia-class-submarine-design | https://hl.com/about-us/transactions/houlihan-lokey-advises-globe-composite-solutions/ | https://www.globecomposite.com/
CFXRGJSB9UB6,335313,Switchgear and Switchboard Apparatus Manufacturing,,"L3HARRIS TECHNOLOGIES, INC.","L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC.",Domestic,21.107958,9,2016-02-09,2024-09-27,,,,,Supplies switchgear and switchboard equipment for the Columbia-class shipboard electrical-distribution system; the program was described as the Ohio-class replacement when the award was announced.,https://www.upi.com/Defense-News/2016/11/18/L-3-to-deliver-switchgear-equipment-for-Ohio-class-replacement-subs/1271479482544/
WVW5FMYALEL6,335313,Switchgear and Switchboard Apparatus Manufacturing,,,"PLAINVILLE ELECTRICAL PRODUCTS COMPANY, THE",Domestic,20.933169,16,2017-09-28,2024-10-04,,,,,"Plainville Electrical Products Company, also branded PEPCO, designs and manufactures electrical switchboards and electrical distribution/control solutions for US Navy platforms, including advanced submarines. Its public materials state that it designs and manufactures electrical switchboards for advanced submarines, destroyers, and surface ships, and provides complete electrical distribution and control solutions. Federal-award profile data also match the company's switchgear and switchboard manufacturing business classification.",https://www.pepco-ft4.com/about-us/ | https://www.pepco-ft4.com/solutions/ | https://www.highergov.com/awardee/plainville-electrical-products-company-the-10043107/
N79NY6FRL2F3,332996,Fabricated Pipe and Pipe Fitting Manufacturing,,CUSTOM ALLOY CORPORATION,CUSTOM ALLOY CORPORATION,Domestic,19.166387,69,2017-08-08,2025-01-24,,,,,Manufactures Level I high-alloy main-seawater pipe fittings for Columbia. Custom Alloy states it is the sole-source manufacturer approved for Columbia-class Main Seawater Fittings.,https://customalloycorp.com/about-custom-alloy/
NYGUEDY27AM8,332911,Industrial Valve Manufacturing,,CURTISS-WRIGHT CORPORATION,CURTISS-WRIGHT FLOW CONTROL CORPORATION,Domestic,19.106699,63,2016-02-09,2024-12-13,,,,,"This UEI is Curtiss-Wright’s Target Rock operation in East Farmingdale, New York. It manufactures nuclear-qualified valves, actuators, and solenoid assemblies for submarine reactor and fluid systems; the exact Columbia-class valve or service is not publicly identified.","https://www.highergov.com/awardee/curtiss-wright-flow-control-corporation-10115282/
https://sam.gov/opp/caf363094271454382928bab03bd9564/view
https://www.curtisswright.com/products/valves/target-rock"
E8LNMDLEKM35,332312,Fabricated Structural Metal Manufacturing,,,DC FABRICATORS INC,Domestic,19.017529,14,2016-10-04,2024-10-04,,,,,"The exact Columbia heat exchanger is not publicly identified. DC Fabricators’ submarine specialty is large steam condensers, air ejectors, and other heat exchangers, making the strongest inference a main condenser/air-ejector or related secondary-steam-plant heat-transfer assembly in the engine room, where turbine exhaust is condensed and heat is rejected to seawater.","https://www.dcfab.com/
https://www.dcfab.com/products/military-applications/
https://www.dcfab.com/services/manufacturing-services/welding/
https://www.highergov.com/awardee/dc-fabricators-inc-10022240/"
WJYVCPD5HKK7,332410,Power Boiler and Heat Exchanger Manufacturing,,"BABCOCK & WILCOX COMPANY, THE","BWXT NUCLEAR OPERATIONS GROUP, INC.",Domestic,17.841472,13,2016-01-20,2021-09-24,,,,,Manufactures naval nuclear-reactor components for Columbia-class submarines. BWXT states that its naval nuclear-propulsion work includes reactor-component production for the Columbia program.,"https://www.bwxt.com/bwxt-announces-2-6-billion-in-contracts-for-naval-nuclear-reactor-components/
https://www.bwxt.com/sectors/defense-space/sea/naval-nuclear-propulsion/"
