=== SAM Contract Awards (Stage 7: parent-IDV hydration) 2026-06-21 18:45:27
families selected=446 (floor=$0.250M), dropped below floor=1242
REVEALED data only (non-federal key): DoD awards signed < 90 days ago are excluded.
quota=1000/day; biggest-family-first; resumable (existing per-PIID files skipped).
  [20/446] W9127N20G0002      IDV   sam=$     2.3M  ours=$    37.0M  ord_end=2023-09-17
  [21/446] W912BU25C0001      AWARD sam=$    30.0M  ours=$    30.0M  ord_end=-
  [22/446] W56HZV21C0130      AWARD sam=$    29.1M  ours=$    29.1M  ord_end=-
  [23/446] W912BU07G0001      IDV   sam=$    12.4M  ours=$    28.5M  ord_end=2050-12-25
  [24/446] N6264914G0005      IDV   sam=$     6.8M  ours=$    28.1M  ord_end=2018-02-18
  [25/446] W912BU21C0064      AWARD sam=$    27.8M  ours=$    27.8M  ord_end=-
  [26/446] W911S016D0010      IDV   sam=$    11.8M  ours=$    26.6M  ord_end=2021-02-26
  [27/446] W912BU21C0012      AWARD sam=$    26.4M  ours=$    24.8M  ord_end=-
  [28/446] W9127N23G0002      IDV   sam=$     3.2M  ours=$    24.7M  ord_end=2026-08-20
  [29/446] W9113M11D0007      IDV   sam=$     0.0M  ours=$    24.2M  ord_end=2015-09-30
  [30/446] W911S012D0006      IDV   sam=$    -0.0M  ours=$    23.5M  ord_end=2015-06-04
  [31/446] W9127N24G0002      IDV   sam=$    12.7M  ours=$    22.2M  ord_end=2026-12-17
  [32/446] W56HZV18D0077      IDV   sam=$     0.2M  ours=$    21.9M  ord_end=2023-07-31
  [33/446] W912BU24C0042      AWARD sam=$    25.1M  ours=$    21.3M  ord_end=-
  [34/446] W9127N15G0002      IDV   sam=$    11.3M  ours=$    20.7M  ord_end=2018-09-30
  [35/446] W912BU22C0014      AWARD sam=$    20.3M  ours=$    20.3M  ord_end=-
  [36/446] W912BU16C0046      AWARD sam=$    18.7M  ours=$    18.7M  ord_end=-
  [37/446] W911S013D0002      IDV   sam=$     0.2M  ours=$    17.8M  ord_end=2016-02-10
  [38/446] W56HZV23D0017      IDV   sam=$     2.7M  ours=$    17.4M  ord_end=2030-04-27
  [39/446] W912P820C0004      AWARD sam=$    17.0M  ours=$    17.0M  ord_end=-
  [40/446] W912BU19P0051      AWARD sam=$    17.0M  ours=$    17.0M  ord_end=-
  [41/446] W56HZV13D0151      IDV   sam=$     4.4M  ours=$    16.7M  ord_end=2018-09-24
  [42/446] W911S016D0008      IDV   sam=$    10.4M  ours=$    16.5M  ord_end=2020-12-20
  [43/446] W912P815C0064      AWARD sam=$    15.9M  ours=$    15.9M  ord_end=-
  [44/446] W9127N19G0002      IDV   sam=$     5.0M  ours=$    15.8M  ord_end=2022-09-15
  [45/446] W9127N18G0002      IDV   sam=$     2.6M  ours=$    15.5M  ord_end=2021-09-17
  [46/446] W912P817C0043      AWARD sam=$    14.8M  ours=$    14.8M  ord_end=-
  [47/446] 47QRCA25DS177      IDV   sam=$    14.6M  ours=$    14.6M  ord_end=2029-12-18
  [48/446] W912P820C0078      AWARD sam=$    14.4M  ours=$    14.4M  ord_end=-
  [49/446] W912BU25CA034      AWARD sam=$    15.1M  ours=$    14.4M  ord_end=-
  [50/446] W912BU23C0036      AWARD sam=$    14.5M  ours=$    14.3M  ord_end=-
  [51/446] W911S013D0007      IDV   sam=$    -0.0M  ours=$    13.8M  ord_end=2016-02-10
  [52/446] W912ES26PA044      AWARD sam=$    13.7M  ours=$    13.7M  ord_end=-
  [53/446] W911S016D0015      IDV   sam=$    -0.2M  ours=$    13.7M  ord_end=2021-02-25
  [54/446] W912EQ19C0015      AWARD sam=$    12.7M  ours=$    12.7M  ord_end=-
  [55/446] W911S012D0011      IDV   sam=$    -0.7M  ours=$    12.7M  ord_end=2015-07-15
  [56/446] W912BU24C0040      AWARD sam=$    12.4M  ours=$    12.3M  ord_end=-
  [57/446] W912BU22C0043      AWARD sam=$    12.1M  ours=$    11.9M  ord_end=-
  [58/446] W56HZV21DL008      IDV   sam=$    11.2M  ours=$    11.9M  ord_end=2026-01-25
  [59/446] W912BU13C0062      AWARD sam=$    11.8M  ours=$    11.8M  ord_end=-
  [60/446] W912BU24C0020      AWARD sam=$    11.7M  ours=$    11.7M  ord_end=-
  [61/446] W912BU19C0065      AWARD sam=$    11.2M  ours=$    11.2M  ord_end=-
  [62/446] W9127N21C0048      AWARD sam=$    10.7M  ours=$    10.7M  ord_end=-
  [63/446] W912QR23C0014      AWARD sam=$    10.8M  ours=$    10.7M  ord_end=-
  [64/446] W912QR19C0003      AWARD sam=$    10.6M  ours=$    10.6M  ord_end=-
  [65/446] W56HZV21DL011      IDV   sam=$     0.0M  ours=$    10.5M  ord_end=2026-01-25
  [66/446] W912BU14G0002      IDV   sam=$     9.8M  ours=$    10.4M  ord_end=2024-05-07
  [67/446] W912BU10C0031      AWARD sam=$    10.2M  ours=$    10.2M  ord_end=-
  [68/446] W912BU10C0051      AWARD sam=$    10.2M  ours=$    10.2M  ord_end=-
  [69/446] W912BU21C0039      AWARD sam=$    10.1M  ours=$    10.1M  ord_end=-
  [70/446] W912QR20C0002      AWARD sam=$    10.0M  ours=$    10.0M  ord_end=-
  [71/446] W912BU16C0035      AWARD sam=$     9.6M  ours=$     9.6M  ord_end=-
  [72/446] W912BU23C0033      AWARD sam=$     9.6M  ours=$     9.6M  ord_end=-
  [73/446] W9127N15D0005      IDV   sam=$     4.0M  ours=$     9.5M  ord_end=2018-06-30
  [74/446] W15P7T10DA218      IDV   sam=$     6.8M  ours=$     9.4M  ord_end=2015-09-29
  [75/446] W912BU21C0014      AWARD sam=$     9.2M  ours=$     9.2M  ord_end=-
  [76/446] W9127N15D0002      IDV   sam=$     6.6M  ours=$     9.2M  ord_end=2015-10-29
  [77/446] W912BU22C0023      AWARD sam=$     8.7M  ours=$     8.7M  ord_end=-
  [78/446] W912BU19C0048      AWARD sam=$     8.7M  ours=$     8.7M  ord_end=-
  [79/446] W912P917G0001      IDV   sam=$     1.0M  ours=$     8.6M  ord_end=2022-04-20
  [80/446] W912P821D0001      IDV   sam=$     3.7M  ours=$     8.6M  ord_end=2026-05-29
  [81/446] W912EQ25CA001      AWARD sam=$     8.5M  ours=$     8.4M  ord_end=-
  [82/446] W912BU25CA012      AWARD sam=$     8.2M  ours=$     7.9M  ord_end=-
  [83/446] W912EQ19C0014      AWARD sam=$     7.3M  ours=$     7.3M  ord_end=-
  [84/446] W56HZV21DL023      IDV   sam=$     7.0M  ours=$     7.0M  ord_end=2026-01-25
  [85/446] W912BU23C0004      AWARD sam=$     7.0M  ours=$     7.0M  ord_end=-
  [86/446] W912BU23C0034      AWARD sam=$     6.9M  ours=$     6.9M  ord_end=-
  [87/446] W912BU18C0031      AWARD sam=$     6.7M  ours=$     6.7M  ord_end=-
  [88/446] W56JSR16C0027      AWARD sam=$     6.3M  ours=$     6.3M  ord_end=-
  [89/446] DAAB0703DB010      IDV   sam=$    -3.0M  ours=$     6.3M  ord_end=2011-01-30
  [90/446] W912QR18P0056      AWARD sam=$     6.3M  ours=$     6.3M  ord_end=-
  [91/446] W912BU18G0001      IDV   sam=$     5.7M  ours=$     6.1M  ord_end=2048-02-28
  [92/446] W912P816D0003      IDV   sam=$     2.4M  ours=$     6.1M  ord_end=2021-03-07
  [93/446] W56HZV21DL038      IDV   sam=$    18.7M  ours=$     6.0M  ord_end=2026-01-25
  [94/446] W912BU11C0031      AWARD sam=$     5.9M  ours=$     5.9M  ord_end=-
  [95/446] W912P823C0002      AWARD sam=$     5.8M  ours=$     5.8M  ord_end=-
  [96/446] W912EE19A0001      IDV   sam=$     0.7M  ours=$     5.7M  ord_end=2024-07-25
  [97/446] W912BU23C0046      AWARD sam=$     5.4M  ours=$     5.4M  ord_end=-
  [98/446] W9127N22G0002      IDV   sam=$     5.3M  ours=$     5.3M  ord_end=2025-08-10
  [99/446] W912BU24C0023      AWARD sam=$     5.2M  ours=$     5.2M  ord_end=-
  [100/446] W9127N19G0001      IDV   sam=$     4.7M  ours=$     5.1M  ord_end=2021-10-11
  [101/446] W912DQ19C1102      AWARD sam=$     5.0M  ours=$     5.0M  ord_end=-
  [102/446] W9127N15G0001      IDV   sam=$     4.5M  ours=$     5.0M  ord_end=2018-09-30
  [103/446] N6264918C0004      AWARD sam=$     4.9M  ours=$     4.9M  ord_end=-
  [104/446] N6264919C0006      AWARD sam=$     4.9M  ours=$     4.9M  ord_end=-
  [105/446] W912P913G0601      IDV   sam=$     4.1M  ours=$     4.8M  ord_end=2022-10-24
  [106/446] W912P823C0053      AWARD sam=$     4.7M  ours=$     4.7M  ord_end=-
  [107/446] W52P1J14C0041      AWARD sam=$     4.5M  ours=$     4.5M  ord_end=-
  [108/446] W56JSR23C0008      AWARD sam=$     5.7M  ours=$     4.4M  ord_end=-
  [109/446] W912BU16C0062      AWARD sam=$     4.4M  ours=$     4.4M  ord_end=-
  [110/446] W912BU15C0035      AWARD sam=$     4.3M  ours=$     4.3M  ord_end=-
  [111/446] W912BU11C0027      AWARD sam=$     4.3M  ours=$     4.3M  ord_end=-
  [112/446] N6264919C0003      AWARD sam=$     4.3M  ours=$     4.3M  ord_end=-
  [113/446] GS07F069DA         IDV   sam=$     0.0M  ours=$     4.2M  ord_end=2026-01-28
  [114/446] W912PM24P0008      AWARD sam=$     4.1M  ours=$     4.1M  ord_end=-
  [115/446] W9123614C0061      AWARD sam=$     4.1M  ours=$     4.1M  ord_end=-
  [116/446] W911S017P0052      AWARD sam=$     4.0M  ours=$     4.0M  ord_end=-
  [117/446] N6264913G0007      IDV   sam=$     1.1M  ours=$     4.0M  ord_end=2017-06-27
  [118/446] W56HZV17C0246      AWARD sam=$     4.0M  ours=$     4.0M  ord_end=-
  [119/446] W912BU16C0045      AWARD sam=$     3.9M  ours=$     3.9M  ord_end=-
  [120/446] W56JSR20C0008      AWARD sam=$     3.9M  ours=$     3.9M  ord_end=-
  [121/446] W9113M12D0001      IDV   sam=$     1.6M  ours=$     3.8M  ord_end=2016-09-30
  [122/446] W900KK16D0011      IDV   sam=$     1.3M  ours=$     3.7M  ord_end=2022-04-30
  [123/446] W56JSR18C0014      AWARD sam=$     3.7M  ours=$     3.7M  ord_end=-
  [124/446] W912BU23P0012      AWARD sam=$     3.6M  ours=$     3.6M  ord_end=-
  [125/446] W912BU19C0039      AWARD sam=$     3.5M  ours=$     3.5M  ord_end=-
  [126/446] W56HZV17C0233      AWARD sam=$     3.5M  ours=$     3.5M  ord_end=-
  [127/446] W15P7T13D0018      IDV   sam=$    10.9M  ours=$     3.4M  ord_end=2019-10-30
  [128/446] W9127N15P0012      AWARD sam=$     3.2M  ours=$     3.2M  ord_end=-
  [129/446] W912BU18G0002      IDV   sam=$     3.1M  ours=$     3.1M  ord_end=2048-03-08
  [130/446] W912P825C0007      AWARD sam=$     3.1M  ours=$     3.1M  ord_end=-
  [131/446] W9123621D5046      IDV   sam=$     2.2M  ours=$     3.1M  ord_end=2026-08-11
  [132/446] N6264914G0004      IDV   sam=$     0.0M  ours=$     3.1M  ord_end=2017-08-07
  [133/446] W912PM25P0045      AWARD sam=$     2.9M  ours=$     2.9M  ord_end=-
  [134/446] W912BU23P0025      AWARD sam=$     2.9M  ours=$     2.9M  ord_end=-
  [135/446] W911XK25PA010      AWARD sam=$     3.2M  ours=$     2.9M  ord_end=-
  [136/446] W912BU16C0012      AWARD sam=$     2.9M  ours=$     2.9M  ord_end=-
  [137/446] W912BU23C0048      AWARD sam=$     2.9M  ours=$     2.9M  ord_end=-
  [138/446] W912BU19C0038      AWARD sam=$     2.9M  ours=$     2.9M  ord_end=-
  [139/446] W9127N09D0003      IDV   sam=$     4.4M  ours=$     2.9M  ord_end=2014-10-29
  [140/446] W912P415C0002      AWARD sam=$     2.8M  ours=$     2.8M  ord_end=-
  [141/446] W911S015P0073      AWARD sam=$     2.7M  ours=$     2.7M  ord_end=-
  [142/446] W911S016D0005      IDV   sam=$     0.9M  ours=$     2.7M  ord_end=2020-12-20
  [143/446] W56HZV21DL031      IDV   sam=$     0.0M  ours=$     2.7M  ord_end=2026-01-25
  [144/446] W56HZV14C0301      AWARD sam=$     2.7M  ours=$     2.7M  ord_end=-
  [145/446] W56HZV21DL034      IDV   sam=$     1.0M  ours=$     2.6M  ord_end=2026-01-25
  [146/446] W912BU16C0005      AWARD sam=$     2.6M  ours=$     2.6M  ord_end=-
  [147/446] W912P810D0065      IDV   sam=$     1.3M  ours=$     2.5M  ord_end=2016-02-29
  [148/446] W912BU15C0028      AWARD sam=$     2.5M  ours=$     2.5M  ord_end=-
  [149/446] W9123723P0043      AWARD sam=$     2.5M  ours=$     2.5M  ord_end=-
  [150/446] 47QRCA25DSB02      IDV   sam=$     4.7M  ours=$     2.5M  ord_end=2029-12-18
  [151/446] W9127N13D0008      IDV   sam=$     0.7M  ours=$     2.4M  ord_end=2014-05-23
  [152/446] W912EP22A0003      IDV   sam=$     2.3M  ours=$     2.4M  ord_end=2027-04-21
  [153/446] W912P922A0032      IDV   sam=$     1.7M  ours=$     2.4M  ord_end=2027-05-16
  [154/446] W912P912G0601      IDV   sam=$     0.3M  ours=$     2.4M  ord_end=2021-11-14
  [155/446] W912BU16C0061      AWARD sam=$     2.3M  ours=$     2.3M  ord_end=-
  [156/446] W912BU23C0007      AWARD sam=$     2.3M  ours=$     2.3M  ord_end=-
  [157/446] W912BU13C0056      AWARD sam=$     2.2M  ours=$     2.2M  ord_end=-
  [158/446] W912P922A0031      IDV   sam=$     2.0M  ours=$     2.2M  ord_end=2027-05-16
  [159/446] W912ES22G0005      IDV   sam=$     0.8M  ours=$     2.1M  ord_end=2027-02-28
  [160/446] W56HZV23D0064      IDV   sam=$    -0.0M  ours=$     2.1M  ord_end=2028-07-31
  [161/446] W912P922A0034      IDV   sam=$     1.5M  ours=$     2.1M  ord_end=2027-05-18
  [162/446] W912BU16C0029      AWARD sam=$     2.1M  ours=$     2.1M  ord_end=-
  [163/446] W56HZV21DL015      IDV   sam=$     2.1M  ours=$     2.1M  ord_end=2026-01-25
  [164/446] W912BU18C0019      AWARD sam=$     2.0M  ours=$     2.0M  ord_end=-
  [165/446] W912BU14C0021      AWARD sam=$     2.0M  ours=$     2.0M  ord_end=-
  [166/446] W9127N25P0032      AWARD sam=$     2.0M  ours=$     2.0M  ord_end=-
  [167/446] W912BU20C0008      AWARD sam=$     2.0M  ours=$     2.0M  ord_end=-
  [168/446] W912P823C0022      AWARD sam=$     2.0M  ours=$     2.0M  ord_end=-
  [169/446] W911S013D0006      IDV   sam=$     0.0M  ours=$     1.9M  ord_end=2016-02-10
  [170/446] W912CH25C0037      AWARD sam=$     1.9M  ours=$     1.9M  ord_end=-
  [171/446] W912EE23P0064      AWARD sam=$     1.9M  ours=$     1.9M  ord_end=-
  [172/446] W912P525P0006      AWARD sam=$    -1.9M  ours=$     1.9M  ord_end=-
  [173/446] W912DS24C0007      AWARD sam=$     1.8M  ours=$     1.8M  ord_end=-
  [174/446] W912BU20C0035      AWARD sam=$     1.8M  ours=$     1.8M  ord_end=-
  [175/446] 47QRCA25DA005      IDV   sam=$    16.0M  ours=$     1.8M  ord_end=2029-11-05
  [176/446] W912DQ26PA013      AWARD sam=$     5.3M  ours=$     1.8M  ord_end=-
  [177/446] W56HZV21DL022      IDV   sam=$     1.7M  ours=$     1.7M  ord_end=2026-01-25
  [178/446] W912BU07G0006      IDV   sam=$     0.4M  ours=$     1.7M  ord_end=2017-05-23
  [179/446] W912BU10G0005      IDV   sam=$     0.8M  ours=$     1.7M  ord_end=2029-09-30
  [180/446] 47QRCA25DS519      IDV   sam=$     3.3M  ours=$     1.7M  ord_end=2029-12-18
  [181/446] W912BU18C0035      AWARD sam=$     1.6M  ours=$     1.6M  ord_end=-
  [182/446] W911S016D0009      IDV   sam=$     0.0M  ours=$     1.6M  ord_end=2021-02-25
  [183/446] W912QM12D0001      IDV   sam=$     1.0M  ours=$     1.6M  ord_end=2015-03-29
  [184/446] 47QSWA22D006M      IDV   sam=$     0.0M  ours=$     1.6M  ord_end=2027-06-28
  [185/446] W912P917G0002      IDV   sam=$     1.0M  ours=$     1.6M  ord_end=2022-04-20
  [186/446] W912BU15C0005      AWARD sam=$     1.5M  ours=$     1.5M  ord_end=-
  [187/446] W912BU24P0001      AWARD sam=$     1.5M  ours=$     1.5M  ord_end=-
  [188/446] W912EQ23P0016      AWARD sam=$     1.5M  ours=$     1.5M  ord_end=-
  [189/446] W912EE24A0003      IDV   sam=$     1.5M  ours=$     1.5M  ord_end=2029-05-30
  [190/446] 47QSWA18D004E      IDV   sam=$     0.0M  ours=$     1.5M  ord_end=2028-05-01
  [191/446] N6264918C0005      AWARD sam=$     1.4M  ours=$     1.4M  ord_end=-
  [192/446] W9123724P0008      AWARD sam=$     1.4M  ours=$     1.4M  ord_end=-
  [193/446] W912QM14D0001      IDV   sam=$     1.8M  ours=$     1.4M  ord_end=2017-09-25
  [194/446] W9123718C0003      AWARD sam=$     1.4M  ours=$     1.4M  ord_end=-
  [195/446] W911XK23C0007      AWARD sam=$     1.4M  ours=$     1.4M  ord_end=-
  [196/446] W912EE24P0025      AWARD sam=$     1.4M  ours=$     1.4M  ord_end=-
  [197/446] W912EQ19P0059      AWARD sam=$     1.4M  ours=$     1.4M  ord_end=-
  [198/446] W912EQ20P0008      AWARD sam=$     1.4M  ours=$     1.4M  ord_end=-
  [199/446] W912PM25P0020      AWARD sam=$     1.4M  ours=$     1.4M  ord_end=-
  [200/446] 47QSWA18D009G      IDV   sam=$     0.0M  ours=$     1.4M  ord_end=2028-09-09
  [201/446] W56JSR18C0001      AWARD sam=$     1.4M  ours=$     1.4M  ord_end=-
  [202/446] W912BU18G0003      IDV   sam=$     1.3M  ours=$     1.3M  ord_end=2050-12-31
  [203/446] W912P416C0003      AWARD sam=$     1.3M  ours=$     1.3M  ord_end=-
  [204/446] W912EK17C0052      AWARD sam=$     1.3M  ours=$     1.3M  ord_end=-
  [205/446] W912P823C0009      AWARD sam=$     1.3M  ours=$     1.3M  ord_end=-
  [206/446] W912P823C0007      AWARD sam=$     1.7M  ours=$     1.3M  ord_end=-
  [207/446] W912BU19C0052      AWARD sam=$     1.3M  ours=$     1.3M  ord_end=-
  [208/446] W912EE24A0002      IDV   sam=$     0.6M  ours=$     1.3M  ord_end=2029-05-30
  [209/446] W9123724P0001      AWARD sam=$     1.3M  ours=$     1.3M  ord_end=-
  [210/446] W911S013D0010      IDV   sam=$    -0.3M  ours=$     1.3M  ord_end=2016-02-10
  [211/446] W912DW17P0006      AWARD sam=$     1.3M  ours=$     1.3M  ord_end=-
  [212/446] W15QKN17C0014      AWARD sam=$     1.2M  ours=$     1.2M  ord_end=-
  [213/446] 47QRCA25DA283      IDV   sam=$     3.8M  ours=$     1.2M  ord_end=2030-04-15
  [214/446] W912BU16P0120      AWARD sam=$     1.2M  ours=$     1.2M  ord_end=-
  [215/446] W9127817C0020      AWARD sam=$     1.2M  ours=$     1.2M  ord_end=-
  [216/446] W911XK22C0005      AWARD sam=$     1.2M  ours=$     1.2M  ord_end=-
  [217/446] W911S016D0003      IDV   sam=$     1.2M  ours=$     1.2M  ord_end=2020-12-20
  [218/446] W912P720P0013      AWARD sam=$     1.2M  ours=$     1.2M  ord_end=-
  [219/446] W912QR25PA047      AWARD sam=$     1.2M  ours=$     1.2M  ord_end=-
  [220/446] W9123726CA001      AWARD sam=$     3.6M  ours=$     1.2M  ord_end=-
  [221/446] W912P908G0606      IDV   sam=$     0.9M  ours=$     1.2M  ord_end=2017-10-16
  [222/446] W911XK21C0011      AWARD sam=$     1.2M  ours=$     1.2M  ord_end=-
  [223/446] W912BU15C0022      AWARD sam=$     1.2M  ours=$     1.2M  ord_end=-
  [224/446] W911S016D0002      IDV   sam=$     1.0M  ours=$     1.2M  ord_end=2020-12-20
  [225/446] W912EQ25C0003      AWARD sam=$     1.2M  ours=$     1.2M  ord_end=-
  [226/446] W912P815C0015      AWARD sam=$     1.2M  ours=$     1.2M  ord_end=-
  [227/446] W912BU13P0125      AWARD sam=$     1.1M  ours=$     1.1M  ord_end=-
  [228/446] W912P724C0008      AWARD sam=$     1.1M  ours=$     1.1M  ord_end=-
  [229/446] GS07F0123H         IDV   sam=$     0.0M  ours=$     1.1M  ord_end=2018-09-14
  [230/446] W912EQ24P0006      AWARD sam=$     1.1M  ours=$     1.1M  ord_end=-
  [231/446] W9123621D5045      IDV   sam=$     0.8M  ours=$     1.1M  ord_end=2026-08-11
  [232/446] W912BU18C0044      AWARD sam=$     1.1M  ours=$     1.1M  ord_end=-
  [233/446] W912DS25C0002      AWARD sam=$     0.3M  ours=$     1.1M  ord_end=-
  [234/446] W912P721C0015      AWARD sam=$     1.0M  ours=$     1.0M  ord_end=-
  [235/446] W9127N24G0004      IDV   sam=$     1.0M  ours=$     1.0M  ord_end=2025-08-06
  [236/446] W912P418P0004      AWARD sam=$     1.0M  ours=$     1.0M  ord_end=-
  [237/446] W912P515P0082      AWARD sam=$     1.0M  ours=$     1.0M  ord_end=-
  [238/446] W912BU23P0043      AWARD sam=$     1.0M  ours=$     1.0M  ord_end=-
  [239/446] W9123618C0011      AWARD sam=$     1.0M  ours=$     1.0M  ord_end=-
  [240/446] W912EK24P0054      AWARD sam=$     1.0M  ours=$     1.0M  ord_end=-
  [241/446] GS07F0172Y         IDV   sam=$     0.0M  ours=$     1.0M  ord_end=2026-12-15
  [242/446] W912P524P0052      AWARD sam=$     0.9M  ours=$     0.9M  ord_end=-
  [243/446] W912EP17A0011      IDV   sam=$     0.3M  ours=$     0.9M  ord_end=2022-02-05
  [244/446] W912P815C0029      AWARD sam=$     0.9M  ours=$     0.9M  ord_end=-
  [245/446] GS07F094GA         IDV   sam=$     0.0M  ours=$     0.9M  ord_end=2027-03-31
  [246/446] GS07F0442M         IDV   sam=$     0.0M  ours=$     0.9M  ord_end=2022-07-31
  [247/446] 47QSWA18D0025      IDV   sam=$     0.0M  ours=$     0.9M  ord_end=2028-02-21
  [248/446] W9123725P0004      AWARD sam=$     0.9M  ours=$     0.9M  ord_end=-
  [249/446] W912BU15C0056      AWARD sam=$     0.9M  ours=$     0.9M  ord_end=-
  [250/446] W9123721P0001      AWARD sam=$     0.9M  ours=$     0.9M  ord_end=-
  [251/446] W912EP22A0002      IDV   sam=$     0.6M  ours=$     0.9M  ord_end=2027-04-21
  [252/446] W912P715C0021      AWARD sam=$     0.8M  ours=$     0.8M  ord_end=-
  [253/446] W912BU22P0039      AWARD sam=$     0.8M  ours=$     0.8M  ord_end=-
  [254/446] W912P519A0004      IDV   sam=$     0.5M  ours=$     0.8M  ord_end=2024-06-14
  [255/446] W9127S23P0003      AWARD sam=$     0.8M  ours=$     0.8M  ord_end=-
  [256/446] W912BU06G0002      IDV   sam=$     0.1M  ours=$     0.8M  ord_end=2020-01-23
  [257/446] W912CH25DL001      IDV   sam=$     7.4M  ours=$     0.8M  ord_end=2029-11-25
  [258/446] W912QR15C0020      AWARD sam=$     0.8M  ours=$     0.8M  ord_end=-
  [259/446] W9127N25G0002      IDV   sam=$     1.0M  ours=$     0.8M  ord_end=2028-09-10
  [260/446] 47QRCA25DS687      IDV   sam=$     0.8M  ours=$     0.8M  ord_end=2029-12-18
  [261/446] W912BU24P0036      AWARD sam=$     0.8M  ours=$     0.8M  ord_end=-
  [262/446] W912QR20C0051      AWARD sam=$     0.8M  ours=$     0.8M  ord_end=-
  [263/446] W9127822C0038      AWARD sam=$     0.8M  ours=$     0.8M  ord_end=-
  [264/446] W912CN24P0028      AWARD sam=$     0.8M  ours=$     0.8M  ord_end=-
  [265/446] W9127N22C0006      AWARD sam=$     0.8M  ours=$     0.8M  ord_end=-
  [266/446] W912BU26PA008      AWARD sam=$     3.2M  ours=$     0.8M  ord_end=-
  [267/446] W912P922A0023      IDV   sam=$     0.8M  ours=$     0.8M  ord_end=2027-05-16
  [268/446] W912BU20P0045      AWARD sam=$     0.8M  ours=$     0.8M  ord_end=-
  [269/446] W9123722P0038      AWARD sam=$     0.7M  ours=$     0.7M  ord_end=-
  [270/446] W9127N23P0109      AWARD sam=$     0.7M  ours=$     0.7M  ord_end=-
  [271/446] W912BU24C0021      AWARD sam=$     0.7M  ours=$     0.7M  ord_end=-
  [272/446] W912PM26PA015      AWARD sam=$     2.1M  ours=$     0.7M  ord_end=-
  [273/446] W912P917G0004      IDV   sam=$     0.4M  ours=$     0.7M  ord_end=2022-04-20
  [274/446] W912EQ23P0062      AWARD sam=$     0.7M  ours=$     0.7M  ord_end=-
  [275/446] W912ES25G0003      IDV   sam=$     0.9M  ours=$     0.7M  ord_end=2030-09-25
  [276/446] W912PM25PA026      AWARD sam=$     0.9M  ours=$     0.7M  ord_end=-
  [277/446] W912P917G0003      IDV   sam=$     0.7M  ours=$     0.7M  ord_end=2022-04-20
  [278/446] W912PM23P0055      AWARD sam=$     0.7M  ours=$     0.7M  ord_end=-
  [279/446] 47QMCA18D0006      IDV   sam=$     0.0M  ours=$     0.7M  ord_end=2028-02-18
  [280/446] W912P826CA004      AWARD sam=$     1.5M  ours=$     0.7M  ord_end=-
  [281/446] W911S016D0006      IDV   sam=$     0.7M  ours=$     0.7M  ord_end=2020-12-20
  [282/446] W9123614C0056      AWARD sam=$     0.6M  ours=$     0.6M  ord_end=-
  [283/446] W912ES16C0011      AWARD sam=$     0.6M  ours=$     0.6M  ord_end=-
  [284/446] W912PM16P0050      AWARD sam=$     0.6M  ours=$     0.6M  ord_end=-
  [285/446] W9127N15C0005      AWARD sam=$     0.6M  ours=$     0.6M  ord_end=-
  [286/446] W912QR16C0005      AWARD sam=$     0.6M  ours=$     0.6M  ord_end=-
  [287/446] W912P819C0023      AWARD sam=$     0.6M  ours=$     0.6M  ord_end=-
