program,piid,work_type,n_awards,n_distinct_dates,median_interaward_days,n_waves,median_wave_gap_days,gap_iqr_days,gap_cv,n_gaps,last_award_date,last_wave_anchor,next_expected,max_wave_duration_days,median_wave_duration_days,median_quiet_gap_days,n_quiet_gaps,max_wave_duration_to_gap_ratio,active_months_frac,dollars_recent,dollars_prior,active_vendors_prior,active_vendors_recent,top1_share_prior,top1_share_recent,dollars_last180_m,records_last180,dollars_last365_m,records_last365,days_since_last_award,vendor_adds_last365,recent_top1_uei,recent_top1_name,second_source_entry_fy,incumbent_uei,incumbent_name,incumbent_still_active,vendor_retention_avg,allocation_similarity_avg,top_vendor_stable_frac,capability_coherence,prodcycle_confidence
virginia,N0002417C2100,unbucketed,1456,756,2,3,960,840,1.239,2,2025-01-24,2021-04-30,2027-09-11,2971,0,156,2,3.095,0.8807,89.966,154.378,196,192,0.1397,0.0957,0,0,0,0,483,0,WPP2ABN6UCF5,"L3HARRIS TECHNOLOGIES, INC.",2022,JBMKQ8ZH6FN9,DOVER CORPORATION,no,0.0016,0.0,0.3333,0.3333,not-supportable
virginia,N0002417C2100,piping,1507,641,3,2,1189,,,1,2025-01-24,2020-04-28,2028-04-27,2795,1454,103,1,2.351,0.92,207.261,438.309,39,64,0.3652,0.2433,0,0,0,0,483,0,WYDAKCJ5K219,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,2022,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,yes,0.1,0.8365,1.0,1.0,medium
virginia,N0002417C2100,structural,617,386,4,5,374,494,0.962,4,2025-01-24,2023-03-29,2026-02-02,1628,156,108,4,4.353,0.8367,296.119,264.302,25,37,0.456,0.2857,0,0,0,0,483,0,E8LNMDLEKM35,D.C. FABRICATORS INC.,2022,E8LNMDLEKM35,D.C. FABRICATORS INC.,yes,0.4063,0.2634,0.6,0.6,medium
virginia,N0002417C2100,electrical,238,173,10,3,988,532,0.763,2,2025-01-22,2022-05-03,2027-10-07,2366,112,244,2,2.395,0.7551,502.802,903.7,18,23,0.889,0.9256,0,0,0,0,485,0,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,2022,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,yes,0.05,0.0055,0.6667,0.6667,low
virginia,N0002417C2100,machining,775,472,3,3,1005,167,0.235,2,2025-01-17,2022-12-02,2027-10-19,1610,848,162,2,1.602,0.8602,51.759,57.328,14,22,0.3026,0.2496,0,0,0,0,490,0,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",2022,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",yes,0.3424,0.7516,1.0,1.0,medium
virginia,N0002417C2100,coatings,134,82,16,7,302,242,0.811,6,2025-01-21,2024-08-21,2025-11-19,1065,92,138,6,3.526,0.5333,159.487,163.574,8,10,0.4359,0.3403,0,0,0,0,486,0,FLDEFFBLR5P3,"GLOBE COMPOSITE SOLUTIONS, LLC",2022,SFBKRA9THBA3,ESCO TECHNOLOGIES INC.,yes,0.5985,0.3888,0.2857,0.5714,low
virginia,N0002417C2100,castings,463,271,5,4,776,262,0.368,3,2025-01-08,2023-05-15,2027-02-23,1430,558,103,3,1.843,0.7732,42.138,125.298,5,7,0.9226,0.7904,0,0,0,0,499,0,N1PJDANWUJ61,SCOT FORGE COMPANY,2022,N1PJDANWUJ61,SCOT FORGE COMPANY,yes,0.5119,0.5257,0.75,0.75,medium
virginia,N0002417C2100,hvac,48,36,36,11,220,154,0.372,10,2023-10-19,2023-10-09,2024-05-26,151,67,182,10,0.686,0.3373,24.409,62.81,7,6,0.8432,0.6081,0,0,0,0,946,0,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",2023,XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,no,0.525,0.3729,0.3,0.4545,not-supportable
virginia,N0002421C4106,unbucketed,13,13,70,6,148,77,0.53,5,2025-04-22,2025-04-01,2025-09-17,232,20,148,5,1.568,0.3158,1.076,0,0,7,0.0,0.2712,0,0,0,0,395,0,KHN9PQ6VZ756,MIDSTATE INDUSTRIAL SUPPLY INC,2022,,,,0.2667,0.2171,0.3333,0.1667,not-supportable
virginia,N0002421C4106,structural,2,2,245,2,245,,,1,2025-10-21,2025-10-21,2026-06-23,0,0,245,1,0.0,0.2222,0.674,0,0,1,0.0,1.0,0,0,0.3,1,213,0,MF1LU8RPCMB8,RANOR INC.,2025,,,,1.0,1.0,1.0,1.0,high
virginia,N0002421C4111,unbucketed,7,7,29,2,409,,,1,2025-05-29,2025-04-03,2026-07-12,111,56,354,1,0.271,0.3125,4.697,0,0,6,0.0,0.6888,0,0,0.076,1,358,1,JCXDK86FK3L5,FEDERAL METAL CO,2024,,,,0.0,0.0,0.5,0.5,low
virginia,N0002424C2110,unbucketed,43,32,4,1,0,,,0,2025-08-15,2025-06-23,,417,417,0,0,,0.6667,6.15,0,0,24,0.0,0.2757,0,0,4.353,27,280,14,D6GJGD1KMH25,"ANIXTER, INC",2024,,,,,,1.0,1.0,n/a
virginia,N0002424C2110,piping,118,51,5,1,0,,,0,2025-08-21,2024-10-25,,447,447,0,0,,0.9375,121.357,0,0,18,0.0,0.2417,0,0,17.932,36,274,4,J9V9SJL4CW97,CURTISS-WRIGHT FLOW CONTROL CORPORATION,2024,,,,,,1.0,1.0,n/a
virginia,N0002424C2110,machining,50,41,7,1,0,,,0,2025-08-22,2025-05-27,,459,459,0,0,,0.8125,23.484,0,0,10,0.0,0.5753,0,0,5.614,26,273,1,F76KN7T9YP64,WAUKESHA BEARINGS CORPORATION,2024,,,,,,1.0,1.0,n/a
virginia,N0002424C2110,structural,18,15,20,2,223,,,1,2025-08-22,2025-04-23,2026-04-02,177,162,126,1,0.794,0.5625,81.588,0,0,9,0.0,0.6354,0,0,5.988,4,273,3,YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC",2024,,,,0.2857,0.9707,1.0,1.0,medium
virginia,N0002424C2110,castings,70,48,7,1,0,,,0,2025-08-21,2025-04-12,,450,450,0,0,,0.875,32.555,0,0,8,0.0,0.7957,0,0,9.353,25,274,1,N1PJDANWUJ61,SCOT FORGE COMPANY,2024,,,,,,1.0,1.0,n/a
virginia,N0002424C2110,electrical,14,13,29,4,188,35,0.211,3,2025-06-30,2025-06-11,2026-01-04,123,50,102,3,0.654,0.4444,103.725,0,0,8,0.0,0.6845,0,0,2.681,3,326,3,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,2024,,,,0.1111,0.084,0.25,0.25,not-supportable
virginia,N0002424C2110,coatings,25,8,17,1,0,,,0,2025-08-20,2025-07-25,,98,98,0,0,,1.0,14.453,0,0,3,0.0,0.9819,0,0,14.409,24,275,2,G9HKMXL5L973,"OIL STATES INDUSTRIES, INC.",2025,,,,,,1.0,1.0,n/a
virginia,N0002424C2110,hvac,6,4,146,3,170,22,0.188,2,2025-07-25,2025-07-25,2026-01-11,1,0,169,2,0.006,0.25,16.5,0,0,2,0.0,0.8681,0,0,2.098,1,301,0,UHXFGP3DCRK7,HANSOME ENERGY SYSTEMS INC,2024,,,,0.5,0.5,0.6667,0.6667,medium
columbia,N0002413C2128,piping,180,116,5,7,272,258,0.564,6,2021-12-20,2021-12-20,2022-09-18,845,0,176,6,3.107,0.4861,-0.289,40.179,27,1,0.1638,0.0,0,0,0,0,1614,0,Y5R2L8HWAUA8,"NAVUS AUTOMATION, INC",,FBJ9NCJE2J56,"HUNT VALVE COMPANY, INC.",no,0.1667,0.106,0.3333,0.1429,not-supportable
columbia,N0002413C2128,structural,41,35,12,2,1141,,,1,2020-04-28,2020-04-28,2023-06-13,612,306,928,1,0.536,0.3333,0,19.825,13,0,0.5045,0.0,0,0,0,0,2215,0,,,,MJJNGNB5E3Q4,EKC INTERNATIONAL FZE,no,1.0,0.5143,0.5,0.5,low
columbia,N0002413C2128,hvac,11,10,43,4,332,620,1.091,3,2021-07-09,2021-07-09,2022-06-06,175,16,255,3,0.527,0.1212,0,4.795,6,0,0.4424,0.0,0,0,0,0,1778,0,,,,L8T4R3N7ACL6,COLFAX CORPORATION,no,0.1667,0.0941,0.25,0.5,low
columbia,N0002413C2128,unbucketed,215,151,4,4,263,204,0.611,3,2020-01-14,2020-01-14,2020-10-03,811,40,189,3,3.084,0.6122,0,46.738,106,0,0.2748,0.0,0,0,0,0,2320,0,,,,JBMKQ8ZH6FN9,DOVER CORPORATION,no,0.0,0.0,0.3333,0.25,not-supportable
columbia,N0002413C2128,machining,17,10,110,7,139,88,1.289,6,2021-02-12,2021-02-12,2021-07-01,68,0,134,6,0.489,0.1613,0,2.135,6,0,0.557,0.0,0,0,0,0,1925,0,,,,GCWKULHML2S3,"WARTSILA DEFENSE, INC.",no,0.3056,0.1184,0.2857,0.5714,low
columbia,N0002413C2128,coatings,21,16,14,3,460,161,0.495,2,2019-03-05,2019-03-05,2020-06-07,136,127,380,2,0.296,0.2857,0,6.089,5,0,0.6546,0.0,0,0,0,0,2635,0,,,,WXRTZLL25AE5,"SEEMANN COMPOSITES, LLC",no,0.5,0.3277,0.3333,0.6667,medium
columbia,N0002413C2128,castings,22,17,38,5,264,136,0.523,4,2019-12-03,2019-11-29,2020-08-23,188,33,175,4,0.712,0.2553,0,1.933,4,0,0.8565,0.0,0,0,0,0,2362,0,,,,N1PJDANWUJ61,SCOT FORGE COMPANY,no,0.5833,0.6154,0.8,0.2,not-supportable
columbia,N0002413C2128,electrical,22,18,42,5,295,263,0.82,4,2021-09-24,2021-09-24,2022-07-16,277,0,188,4,0.939,0.2273,0,7.002,7,0,0.34,0.0,0,0,0,0,1701,0,,,,N9K8Y7U3RGA9,CATERPILLAR INC.,no,0.3333,0.2357,0.4,0.4,not-supportable
columbia,N0002417C2117,unbucketed,1275,727,2,2,2140,,,1,2025-01-24,2022-01-24,2030-12-04,2963,1502,253,1,1.385,0.8611,52.969,131.392,202,233,0.0907,0.0669,0,0,0,0,483,0,EYMMLMHBMSL5,"SGL AUTOMATION, LLC",2022,SHDVJS6DKEX1,LAG INTERNATIONAL S.A.,no,0.0055,0.0083,0.5,0.5,low
columbia,N0002417C2117,piping,1527,712,2,4,174,918,1.402,3,2025-01-24,2022-06-28,2025-07-17,2653,72,115,3,15.247,0.8381,498.398,137.325,41,69,0.201,0.2875,0,0,0,0,483,0,WYDAKCJ5K219,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,2022,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,yes,0.0173,0.0932,0.25,0.25,not-supportable
columbia,N0002417C2117,structural,597,392,4,5,595,298,0.568,4,2025-01-23,2023-06-13,2026-09-10,1570,0,152,4,2.639,0.7736,416.333,160.269,21,45,0.5054,0.2986,0,0,0,0,484,0,KENVPMBVBT39,"RHOADS METAL FABRICATIONS, INC.",2022,YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC",yes,0.2711,0.2483,0.4,0.2,not-supportable
columbia,N0002417C2117,electrical,282,218,7,4,598,406,0.711,3,2025-01-24,2023-05-23,2026-09-14,1474,543,103,3,2.465,0.7917,1138.336,-65.367,16,29,0.0,0.5393,0,0,0,0,483,0,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,2022,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,yes,0.0111,0.0009,0.5,0.75,low
columbia,N0002417C2117,machining,332,235,4,4,397,392,0.71,3,2025-01-24,2023-09-29,2026-02-25,1466,393,125,3,3.693,0.8046,63.672,19.977,10,26,0.55,0.2461,0,0,0,0,483,0,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",2022,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",yes,0.5957,0.748,1.0,1.0,high
columbia,N0002417C2117,castings,431,260,6,2,1931,,,1,2025-02-18,2023-06-08,2030-06-03,1478,1226,264,1,0.765,0.8333,126.259,91.91,9,9,0.9567,0.6889,0,0,0,0,458,0,N1PJDANWUJ61,SCOT FORGE COMPANY,2022,N1PJDANWUJ61,SCOT FORGE COMPANY,yes,0.6,0.9794,1.0,1.0,high
columbia,N0002417C2117,coatings,137,111,13,7,316,314,0.696,6,2025-01-22,2024-08-10,2025-12-04,969,100,104,6,3.066,0.6747,46.154,31.594,9,9,0.6385,0.2478,0,0,0,0,485,0,G9HKMXL5L973,"OIL STATES INDUSTRIES, INC.",2022,FLDEFFBLR5P3,"GLOBE COMPOSITE SOLUTIONS, LLC",no,0.4056,0.3293,0.2857,0.1429,not-supportable
columbia,N0002417C2117,hvac,89,76,15,7,416,76,0.378,6,2024-10-17,2024-08-20,2025-12-07,343,218,136,6,0.825,0.5119,63.009,19.72,5,6,0.5741,0.5492,0,0,0,0,582,0,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",2022,LJRBXLTGXN57,"CEPEDA ASSOCIATES, INC.",yes,0.6722,0.4897,0.4286,0.2857,not-supportable
columbia,N0002419C2114,piping,9,5,136,3,373,144,0.546,2,2021-03-31,2021-03-31,2022-04-08,89,33,334,2,0.239,0.1852,0,54.935,4,0,0.7287,0.0,0,0,0,0,1878,0,,,,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,no,0.125,0.4336,0.6667,0.6667,medium
columbia,N0002419C2114,unbucketed,16,8,33,3,387,206,0.753,2,2021-04-30,2021-03-15,2022-05-22,91,91,319,2,0.235,0.2857,0,22.515,8,0,0.8359,0.0,0,0,0,0,1848,0,,,,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,no,0.3095,0.9242,1.0,1.0,medium
columbia,N0002419C2114,structural,1,1,0,1,0,,,0,2019-01-31,2019-01-31,,0,0,0,0,,1.0,0,1.866,1,0,1.0,0.0,0,0,0,0,2668,0,,,,YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC",no,,,1.0,1.0,n/a
columbia,N0002419C2114,machining,4,4,148,3,387,239,0.873,2,2021-03-31,2021-03-15,2022-04-22,33,0,378,2,0.085,0.1481,0,12.246,2,0,0.9921,0.0,0,0,0,0,1878,0,,,,E84NNWLU6RK3,HAMILL MANUFACTURING COMPANY,no,0.5,0.5,0.6667,0.6667,medium
columbia,N0002419C2114,electrical,7,6,148,4,170,162,0.688,3,2021-03-31,2021-03-31,2021-09-17,33,16,154,3,0.194,0.2222,0,18.485,2,0,0.8055,0.0,0,0,0,0,1878,0,,,,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,no,0.5,0.349,0.75,0.75,medium
columbia,N0002419C2115,piping,9,5,45,2,717,,,1,2021-03-31,2021-03-15,2023-03-18,89,61,668,1,0.124,0.1852,0,49.058,4,0,0.4425,0.0,0,0,0,0,1878,0,,,,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,no,0.75,0.6769,0.5,0.5,low
columbia,N0002419C2115,structural,2,2,790,2,790,,,1,2021-03-31,2021-03-31,2023-05-30,0,0,790,1,0.0,0.0741,0,7.36,2,0,0.8324,0.0,0,0,0,0,1878,0,,,,E8LNMDLEKM35,D.C. FABRICATORS INC.,no,0.0,0.0,0.5,0.5,low
columbia,N0002419C2115,unbucketed,15,8,61,4,182,183,0.782,3,2021-03-31,2021-03-01,2021-09-29,61,28,154,3,0.335,0.2593,0,16.123,6,0,0.8368,0.0,0,0,0,0,1878,0,,,,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,no,0.1944,0.3193,0.75,0.75,low
columbia,N0002419C2115,machining,4,4,277,3,358,82,0.322,2,2021-03-31,2021-03-15,2022-03-24,33,0,350,2,0.092,0.16,0,10.136,1,0,1.0,0.0,0,0,0,0,1878,0,,,,E84NNWLU6RK3,HAMILL MANUFACTURING COMPANY,no,1.0,1.0,1.0,1.0,high
columbia,N0002419C2115,electrical,15,11,31,3,342,113,0.467,2,2021-03-31,2021-02-26,2022-03-08,181,61,274,2,0.529,0.4074,0,89.146,2,0,0.6258,0.0,0,0,0,0,1878,0,,,,W8PTMRME1496,LEONARDO SPA,no,1.0,0.6041,0.6667,0.6667,medium
ddg,N0002411C2307,unbucketed,115,108,8,3,809,252,0.441,2,2018-05-28,2018-05-02,2020-08-14,846,686,146,2,1.046,0.6935,0,8.584,75,0,0.0748,0.0,0,0,0,0,2916,0,,,,JNC1BUEVV3B9,"JGILS, LLC",no,0.2929,0.1254,0.3333,0.0,not-supportable
ddg,N0002411C2307,hvac,10,10,133,8,175,84,0.674,7,2017-08-29,2017-08-29,2018-02-20,85,0,155,7,0.486,0.1887,0,0.74,4,0,0.648,0.0,0,0,0,0,3188,0,,,,Z2N8C3NL8FW5,"JOHNSON CONTROLS, INC.",no,0.4286,0.4286,0.375,0.125,not-supportable
ddg,N0002411C2307,coatings,8,8,139,7,218,177,0.784,6,2017-12-19,2017-12-19,2018-07-25,60,0,208,6,0.275,0.1429,0,0.921,4,0,0.3252,0.0,0,0,0,0,3076,0,,,,S3GFGJ1QGAE6,"M.S.M. INDUSTRIES, INC.",no,0.0,0.0,0.4286,0.8571,low
ddg,N0002411C2307,machining,17,17,84,8,214,136,0.489,7,2017-10-18,2017-09-16,2018-05-20,227,10,130,7,1.061,0.283,0,2.115,3,0,0.7196,0.0,0,0,0,0,3138,0,,,,VE65QFAKCLG7,ROLLS-ROYCE HOLDINGS PLC,no,0.6429,0.5999,0.625,0.375,not-supportable
ddg,N0002411C2307,structural,39,38,43,9,235,102,0.421,8,2019-04-15,2018-10-09,2019-12-06,496,51,144,8,2.111,0.411,0,7.188,7,0,0.3541,0.0,0,0,0,0,2594,0,,,,EV4ZGUNNKMJ6,"PACIFIC SHIP REPAIR & FABRICATION, INC.",no,0.3542,0.2143,0.3333,0.7778,low
ddg,N0002411C2307,piping,23,23,32,9,245,84,0.425,8,2019-03-05,2019-02-20,2019-11-05,168,11,214,8,0.686,0.2222,0,2.519,13,0,0.565,0.0,0,0,0,0,2635,0,,,,GGSLGRB5KXM6,PON HOLDINGS B.V.,no,0.1875,0.0479,0.3333,0.1111,not-supportable
ddg,N0002411C2307,electrical,18,17,28,4,491,312,0.566,3,2018-04-05,2018-04-05,2019-08-09,217,74,491,3,0.442,0.25,0,1.124,4,0,0.524,0.0,0,0,0,0,2969,0,,,,SKKACASET588,DYNALEC CORPORATION,no,0.1667,0.1668,0.25,0.25,not-supportable
ddg,N0002411C2309,unbucketed,106,93,14,4,763,326,0.537,3,2019-02-18,2018-11-19,2021-03-22,986,316,140,3,1.292,0.6901,0,8.548,64,0,0.2333,0.0,0,0,0,0,2650,0,,,,E5K9VR2A1MW9,BAE SYSTEMS PLC,no,0.3081,0.337,0.5,0.25,not-supportable
ddg,N0002411C2309,hvac,12,12,73,6,177,65,0.419,5,2016-12-21,2016-10-11,2017-06-16,142,12,123,5,0.802,0.2927,0,0.792,3,0,0.7782,0.0,0,0,0,0,3439,0,,,,Z2N8C3NL8FW5,"JOHNSON CONTROLS, INC.",no,0.7,0.7983,0.6667,0.3333,not-supportable
ddg,N0002411C2309,structural,29,27,66,8,215,138,0.527,7,2018-08-28,2018-03-23,2019-03-31,301,53,173,7,1.4,0.3846,0,5.334,12,0,0.4791,0.0,0,0,0,0,2824,0,,,,KN4DLHTLNCS8,"J.F. LEHMAN & COMPANY, INC.",no,0.4286,0.5196,0.375,1.0,medium
ddg,N0002411C2309,coatings,13,13,24,4,186,289,0.937,3,2016-12-14,2016-07-02,2017-06-18,254,0,186,3,1.366,0.25,0,1.647,3,0,0.9056,0.0,0,0,0,0,3446,0,,,,DQ35GXAUTW61,INDUSTRIAL CORROSION CONTROL INC,no,0.3333,0.3333,0.5,0.25,not-supportable
ddg,N0002411C2309,machining,16,16,66,7,247,144,0.386,6,2018-02-21,2018-01-14,2018-10-26,121,10,202,6,0.49,0.2281,0,1.198,5,0,0.415,0.0,0,0,0,0,3012,0,,,,D44RA79E3K57,PRECISION PRODUCTS INC,no,0.6667,0.6313,0.4286,0.1429,not-supportable
ddg,N0002411C2309,piping,11,11,100,6,310,93,0.455,5,2017-07-14,2017-07-14,2018-05-20,168,0,241,5,0.542,0.2157,0,2.051,6,0,0.7844,0.0,0,0,0,0,3234,0,,,,GGSLGRB5KXM6,PON HOLDINGS B.V.,no,0.3333,0.2621,0.3333,0.3333,not-supportable
ddg,N0002411C2309,electrical,14,13,61,6,240,298,0.672,5,2018-04-05,2018-03-21,2018-12-01,80,22,225,5,0.333,0.1803,0,0.952,4,0,0.5866,0.0,0,0,0,0,2969,0,,,,XXP4PLFFFGK9,"L3 TECHNOLOGIES, INC.",no,0.6,0.4977,0.5,0.5,low
ddg,N0002412C2312,unbucketed,8,8,131,5,236,138,0.501,4,2016-08-17,2016-07-10,2017-04-10,76,7,228,4,0.322,0.2222,0,6.434,5,0,0.626,0.0,0,0,0,0,3565,0,,,,KQDAHF4VF266,"BEN M. RADCLIFF CONTRACTOR, INC.",no,0.375,0.2703,0.4,,not-supportable
ddg,N0002413C2305,unbucketed,33,25,32,6,194,360,0.714,5,2025-05-27,2025-05-27,2025-12-07,553,0,184,5,2.851,0.3019,2.471,0.042,1,21,1.0,0.1499,0,0,0.37,1,360,1,SZ4SDE9YK5E4,ONEX CORP,2022,XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,no,0.0,0.0,0.1667,0.1667,not-supportable
ddg,N0002413C2305,machining,28,23,38,5,354,374,0.86,4,2025-04-07,2025-01-29,2026-03-27,245,200,190,4,0.692,0.2763,2.981,0.217,1,5,1.0,0.5399,0,0,0,0,410,0,F32RBQ3CHAG9,ROLLS-ROYCE HOLDINGS PLC,2022,VE65QFAKCLG7,ROLLS-ROYCE HOLDINGS PLC,yes,0.375,0.7123,0.6,0.2,not-supportable
