program,family,piid,work_type,wave_seq,wave_start,wave_end,wave_anchor,wave_duration_days,prior_wave_interval_days,n_records,wave_dollars_m,wave_dollars_positive_m,n_vendors,top_vendor_uei,top_vendor_name,top1_share,others_share,modal_capability,neg_correction_m,prime_base_offset_days
virginia,Submarines,N0002416C2111,electrical,1,2016-10-27,2018-09-27,2017-08-04,700,,59,78.889,79.39,14,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,0.8654,0.1346,Other Aircraft Parts and Auxiliary Equipment Manufacturing,-0.5,
virginia,Submarines,N0002416C2111,electrical,2,2019-01-09,2019-10-07,2019-04-24,271,628,18,4.241,4.877,5,LL4CVJVLBGN1,QINETIQ GROUP PLC,0.3582,0.6418,Other Aircraft Parts and Auxiliary Equipment Manufacturing,-0.636,
virginia,Submarines,N0002416C2111,electrical,3,2021-01-26,2021-02-24,2021-02-05,29,653,3,56.329,56.348,3,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,0.9987,0.0013,Other Aircraft Parts and Auxiliary Equipment Manufacturing,-0.019,
virginia,Submarines,N0002416C2111,electrical,4,2021-06-09,2021-12-20,2021-12-17,194,315,16,-0.431,18.903,4,,,,,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",-19.334,
virginia,Submarines,N0002416C2111,electrical,5,2022-04-06,2022-12-15,2022-07-26,253,221,17,-3.3,17.963,5,,,,,Other Aircraft Parts and Auxiliary Equipment Manufacturing,-21.263,
virginia,Submarines,N0002416C2111,electrical,6,2023-03-29,2023-06-09,2023-05-04,72,282,2,1.302,1.302,2,SJULQDJ8NZU7,"L3HARRIS TECHNOLOGIES, INC.",0.7491,0.2509,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",0.0,
virginia,Submarines,N0002416C2111,electrical,7,2023-10-03,2023-10-03,2023-10-03,0,152,3,-0.097,5.854,2,,,,,Aircraft Manufacturing,-5.951,
virginia,Submarines,N0002416C2111,electrical,8,2025-04-08,2025-04-08,2025-04-08,0,553,1,0.069,0.069,1,E9DKKLZNCQS9,TRIDENT MARITIME SYSTEMS UK LIMITED,1.0,0.0,Other Electronic Component Manufacturing,0.0,
virginia,Submarines,N0002416C2111,hvac,1,2016-11-23,2016-11-23,2016-11-23,0,,1,0.031,0.031,1,L8T4R3N7ACL6,COLFAX CORPORATION,1.0,0.0,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,0.0,
virginia,Submarines,N0002416C2111,hvac,2,2017-09-07,2017-09-07,2017-09-07,0,288,1,0.045,0.045,1,L8T4R3N7ACL6,COLFAX CORPORATION,1.0,0.0,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,0.0,
virginia,Submarines,N0002416C2111,hvac,3,2018-07-02,2018-07-02,2018-07-02,0,298,1,0.054,0.054,1,W8PTMRME1496,LEONARDO SPA,1.0,0.0,Aircraft Manufacturing,0.0,
virginia,Submarines,N0002416C2111,hvac,4,2019-06-18,2019-06-18,2019-06-18,0,351,2,0.17,0.17,1,LJRBXLTGXN57,"CEPEDA ASSOCIATES, INC.",1.0,0.0,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,0.0,
virginia,Submarines,N0002416C2111,hvac,5,2020-01-22,2020-01-22,2020-01-22,0,218,1,0.029,0.029,1,XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,1.0,0.0,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,0.0,
virginia,Submarines,N0002416C2111,machining,1,2016-11-29,2017-02-15,2017-02-15,78,,3,0.23,0.23,2,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",0.5992,0.4008,Machine Shops,0.0,
virginia,Submarines,N0002416C2111,machining,2,2018-07-05,2018-07-05,2018-07-05,0,505,1,0.234,0.234,1,PM2FDF7CCNC2,"MARISCO, LTD.",1.0,0.0,Ship Building and Repairing,0.0,
virginia,Submarines,N0002416C2111,machining,3,2019-01-09,2019-05-14,2019-01-09,125,188,5,0.707,0.707,3,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",0.8674,0.1326,Machine Shops,0.0,
virginia,Submarines,N0002416C2111,machining,4,2019-11-01,2020-03-11,2020-02-20,131,407,6,0.474,0.476,1,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",1.0,0.0,Machine Shops,-0.002,
virginia,Submarines,N0002416C2111,machining,5,2020-08-31,2020-08-31,2020-08-31,0,193,6,0.058,0.058,1,WAJ6RKYZTYL3,C & C METALS ENGINEERING INC,1.0,0.0,Machine Shops,0.0,
virginia,Submarines,N0002416C2111,piping,1,2016-09-20,2016-11-29,2016-10-25,70,,2,0.081,0.083,2,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,1.0,0.0,Industrial Valve Manufacturing,-0.002,
virginia,Submarines,N0002416C2111,piping,2,2017-03-31,2017-10-24,2017-08-11,207,290,22,3.537,3.557,4,SFBKRA9THBA3,ESCO TECHNOLOGIES INC.,0.5525,0.4475,Synthetic Rubber Manufacturing,-0.02,
virginia,Submarines,N0002416C2111,piping,3,2018-02-08,2019-04-11,2019-02-04,427,542,37,6.573,6.599,8,TY25RCEB5FF3,"COLLINS & JEWELL COMPANY, INC.",0.5005,0.4995,All Other Miscellaneous Fabricated Metal Product Manufacturing,-0.026,
virginia,Submarines,N0002416C2111,piping,4,2019-07-23,2019-08-22,2019-08-22,30,199,8,0.309,0.309,1,WLEATDDTMCT3,"GRAYCLIFF PARTNERS, LP",1.0,0.0,All Other Miscellaneous Fabricated Metal Product Manufacturing,0.0,
virginia,Submarines,N0002416C2111,piping,5,2020-04-22,2020-04-28,2020-04-25,6,247,8,0.932,0.932,1,TY25RCEB5FF3,"COLLINS & JEWELL COMPANY, INC.",1.0,0.0,All Other Miscellaneous Fabricated Metal Product Manufacturing,0.0,
virginia,Submarines,N0002416C2111,piping,6,2021-01-29,2021-01-29,2021-01-29,0,279,1,-0.009,0.0,1,,,,,Fluid Power Cylinder and Actuator Manufacturing,-0.009,
virginia,Submarines,N0002416C2111,piping,7,2021-05-03,2021-05-03,2021-05-03,0,94,2,0.072,0.072,1,SFBKRA9THBA3,ESCO TECHNOLOGIES INC.,1.0,0.0,Synthetic Rubber Manufacturing,0.0,
virginia,Submarines,N0002416C2111,piping,8,2021-09-17,2021-09-17,2021-09-17,0,137,1,0.073,0.073,1,LC7UN8MJYCJ7,RBC BEARINGS INCORPORATED,1.0,0.0,Industrial Valve Manufacturing,0.0,
virginia,Submarines,N0002416C2111,piping,9,2023-09-12,2023-09-12,2023-09-12,0,725,1,0.082,0.082,1,SFBKRA9THBA3,ESCO TECHNOLOGIES INC.,1.0,0.0,Synthetic Rubber Manufacturing,0.0,
virginia,Submarines,N0002416C2111,structural,1,2016-10-31,2017-01-03,2016-12-02,64,,2,0.168,0.168,2,YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC",0.8145,0.1855,Plate Work Manufacturing,0.0,
virginia,Submarines,N0002416C2111,structural,2,2017-06-21,2017-06-21,2017-06-21,0,201,1,0.029,0.029,1,ZFQBUPK552C3,THE H R HILLERY COMPANY,1.0,0.0,Fabricated Structural Metal Manufacturing,0.0,
virginia,Submarines,N0002416C2111,structural,3,2018-01-19,2018-04-20,2018-02-26,91,250,6,0.878,0.878,3,LG88NCWJ3A95,"YOUNG ENGINEERING & MANUFACTURING, INC.",0.6836,0.3164,Metal Tank (Heavy Gauge) Manufacturing,0.0,
virginia,Submarines,N0002416C2111,structural,4,2018-08-02,2018-11-30,2018-09-17,120,203,12,0.977,0.977,4,XQW8RJNNAXX8,"W INTERNATIONAL, LLC",0.3958,0.6042,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",0.0,
virginia,Submarines,N0002416C2111,structural,5,2019-04-05,2019-07-18,2019-05-27,104,252,4,0.238,0.238,3,CR99X5Q2KQS1,"L.B.I., INC.",0.7833,0.2167,Ship Building and Repairing,0.0,
virginia,Submarines,N0002416C2111,unbucketed,1,2016-05-16,2020-04-29,2018-09-05,1444,,313,27.902,39.586,115,FLU4K8MGMZX7,"HITACHI, LTD.",0.3196,0.6804,Steel Foundries (except Investment),-11.684,
virginia,Submarines,N0002416C2111,unbucketed,2,2020-09-18,2020-09-18,2020-09-18,0,744,3,0.08,0.08,1,WA6MBG28BUQ5,"PPG INDUSTRIES, INC.",1.0,0.0,Adhesive Manufacturing,0.0,
virginia,Submarines,N0002416C2111,unbucketed,3,2021-01-18,2021-08-27,2021-03-17,221,180,11,0.01,0.07,8,FYUJEKH32UF5,"L.M. GILL WELDING & MANUFACTURING, L.L.C.",1.0,0.0,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,-0.06,
virginia,Submarines,N0002416C2111,unbucketed,4,2024-04-15,2024-07-02,2024-04-15,78,1125,5,0.014,0.08,4,GFCUEMH2CGN1,RIVERHEAD BUILDING SUPPLY CORP.,1.0,0.0,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",-0.065,
virginia,Submarines,N0002417C2100,castings,1,2017-01-09,2017-10-05,2017-06-08,269,,43,17.781,17.781,3,N1PJDANWUJ61,SCOT FORGE COMPANY,0.9492,0.0508,Iron and Steel Forging,0.0,-2379
virginia,Submarines,N0002417C2100,castings,2,2018-01-26,2020-05-21,2018-08-16,846,434,242,106.287,108.886,4,N1PJDANWUJ61,SCOT FORGE COMPANY,0.9192,0.0808,Iron and Steel Forging,-2.599,-1945
virginia,Submarines,N0002417C2100,castings,3,2020-09-01,2020-10-30,2020-09-30,59,776,2,0.054,0.054,2,MKDGDE6K34N5,"D. W. CLARK, INC",0.7744,0.2256,Steel Foundries (except Investment),0.0,-1169
virginia,Submarines,N0002417C2100,castings,4,2021-02-08,2025-01-08,2023-05-15,1430,957,176,43.314,48.914,7,N1PJDANWUJ61,SCOT FORGE COMPANY,0.7922,0.2078,Iron and Steel Forging,-5.6,-212
virginia,Submarines,N0002417C2100,coatings,1,2017-08-25,2017-08-25,2017-08-25,0,,2,0.183,0.183,1,XFMBL7A963X9,"OIL STATES INTERNATIONAL, INC.",1.0,0.0,Rubber Product Manufacturing for Mechanical Use,0.0,-2301
virginia,Submarines,N0002417C2100,coatings,2,2018-02-23,2018-02-23,2018-02-23,0,182,1,0.071,0.071,1,XFMBL7A963X9,"OIL STATES INTERNATIONAL, INC.",1.0,0.0,Rubber Product Manufacturing for Mechanical Use,0.0,-2119
virginia,Submarines,N0002417C2100,coatings,3,2018-06-20,2018-09-20,2018-09-04,92,193,7,30.343,30.545,4,FLDEFFBLR5P3,"GLOBE COMPOSITE SOLUTIONS, LLC",0.8657,0.1343,Synthetic Rubber Manufacturing,-0.202,-1926
virginia,Submarines,N0002417C2100,coatings,4,2019-02-25,2020-01-03,2019-08-20,312,350,12,125.834,125.834,4,SFBKRA9THBA3,ESCO TECHNOLOGIES INC.,0.5347,0.4653,Synthetic Rubber Manufacturing,0.0,-1576
virginia,Submarines,N0002417C2100,coatings,5,2020-04-29,2020-04-29,2020-04-29,0,253,2,0.684,0.684,1,SFBKRA9THBA3,ESCO TECHNOLOGIES INC.,1.0,0.0,Synthetic Rubber Manufacturing,0.0,-1323
virginia,Submarines,N0002417C2100,coatings,6,2021-01-19,2023-12-20,2023-04-25,1065,1091,89,159.653,166.652,11,FLDEFFBLR5P3,"GLOBE COMPOSITE SOLUTIONS, LLC",0.3587,0.6413,Synthetic Rubber Manufacturing,-6.998,-232
virginia,Submarines,N0002417C2100,coatings,7,2024-03-28,2025-01-21,2024-08-21,299,484,21,6.292,6.478,7,G9HKMXL5L973,"OIL STATES INDUSTRIES, INC.",0.4805,0.5195,Rubber Product Manufacturing for Mechanical Use,-0.186,252
virginia,Submarines,N0002417C2100,electrical,1,2016-12-05,2016-12-08,2016-12-05,3,,10,616.86,616.86,1,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,1.0,0.0,Other Aircraft Parts and Auxiliary Equipment Manufacturing,0.0,-2564
virginia,Submarines,N0002417C2100,electrical,2,2018-01-10,2018-05-02,2018-03-05,112,455,9,52.409,75.75,4,PVMFSLG6GFF7,MTS SYSTEMS CORPORATION,0.7754,0.2246,Other Electronic Component Manufacturing,-23.34,-2109
virginia,Submarines,N0002417C2100,electrical,3,2018-08-01,2025-01-22,2022-05-03,2366,1520,219,737.234,745.17,30,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,0.8843,0.1157,Other Aircraft Parts and Auxiliary Equipment Manufacturing,-7.936,-589
virginia,Submarines,N0002417C2100,hvac,1,2016-12-06,2017-01-25,2016-12-13,50,,5,1.273,1.273,2,L8T4R3N7ACL6,COLFAX CORPORATION,0.5288,0.4712,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,0.0,-2556
virginia,Submarines,N0002417C2100,hvac,2,2017-05-31,2017-08-25,2017-05-31,86,169,7,7.3,7.3,2,XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,0.8445,0.1555,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,0.0,-2387
virginia,Submarines,N0002417C2100,hvac,3,2018-02-20,2018-05-17,2018-05-17,86,351,4,45.786,45.786,2,XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,0.9986,0.0014,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,0.0,-2036
virginia,Submarines,N0002417C2100,hvac,4,2018-11-19,2018-11-19,2018-11-19,0,186,1,-0.008,0.0,1,,,,,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,-0.008,-1850
virginia,Submarines,N0002417C2100,hvac,5,2019-06-11,2019-10-01,2019-08-11,112,265,10,1.361,1.361,4,LJRBXLTGXN57,"CEPEDA ASSOCIATES, INC.",0.5493,0.4507,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,0.0,-1585
virginia,Submarines,N0002417C2100,hvac,6,2020-01-08,2020-01-08,2020-01-08,0,150,1,0.475,0.475,1,UHXFGP3DCRK7,HANSOME ENERGY SYSTEMS INC,1.0,0.0,,0.0,-1435
virginia,Submarines,N0002417C2100,hvac,7,2021-01-08,2021-06-08,2021-02-10,151,399,5,6.624,6.624,2,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",0.6488,0.3512,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,0.0,-1036
virginia,Submarines,N0002417C2100,hvac,8,2022-01-31,2022-04-08,2022-02-09,67,364,3,3.74,3.74,3,UHXFGP3DCRK7,HANSOME ENERGY SYSTEMS INC,0.8822,0.1178,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,0.0,-672
virginia,Submarines,N0002417C2100,hvac,9,2022-10-14,2022-10-31,2022-10-21,17,254,4,0.375,0.375,3,QLUGMNNMV4L8,"DONALDSON COMPANY, INC.",0.5836,0.4164,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,0.0,-418
virginia,Submarines,N0002417C2100,hvac,10,2023-02-14,2023-06-30,2023-04-17,136,178,6,17.136,24.936,3,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",0.8419,0.1581,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,-7.8,-240
virginia,Submarines,N0002417C2100,hvac,11,2023-09-29,2023-10-19,2023-10-09,20,175,2,3.158,3.158,2,UHXFGP3DCRK7,HANSOME ENERGY SYSTEMS INC,0.8866,0.1134,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,0.0,-65
virginia,Submarines,N0002417C2100,machining,1,2017-05-26,2017-06-05,2017-06-01,10,,6,0.653,0.653,3,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",0.4112,0.5888,Machine Shops,0.0,-2386
virginia,Submarines,N0002417C2100,machining,2,2018-01-25,2020-05-22,2019-09-17,848,838,268,47.432,47.485,12,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",0.2705,0.7295,Machine Shops,-0.053,-1548
virginia,Submarines,N0002417C2100,machining,3,2020-08-21,2025-01-17,2022-12-02,1610,1172,501,61.003,61.908,23,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",0.2814,0.7186,Machine Shops,-0.905,-376
virginia,Submarines,N0002417C2100,piping,1,2016-10-26,2017-02-17,2017-01-25,114,,27,39.476,41.444,7,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,0.6847,0.3153,Industrial Valve Manufacturing,-1.968,-2513
virginia,Submarines,N0002417C2100,piping,2,2017-05-31,2025-01-24,2020-04-28,2795,1189,1480,606.095,613.359,70,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,0.2204,0.7796,Industrial Valve Manufacturing,-7.264,-1324
virginia,Submarines,N0002417C2100,structural,1,2016-12-05,2017-01-23,2016-12-06,49,,19,95.498,95.824,3,E8LNMDLEKM35,D.C. FABRICATORS INC.,0.9949,0.0051,Fabricated Structural Metal Manufacturing,-0.326,-2563
virginia,Submarines,N0002417C2100,structural,2,2017-05-23,2017-10-26,2017-05-30,156,175,28,39.365,39.365,6,E8LNMDLEKM35,D.C. FABRICATORS INC.,0.5818,0.4182,Fabricated Structural Metal Manufacturing,0.0,-2388
virginia,Submarines,N0002417C2100,structural,3,2018-01-26,2018-05-30,2018-01-31,124,246,16,2.67,2.67,4,UMMDFSB4ARJ7,TECHPRECISION CORPORATION,0.3951,0.6049,Plate Work Manufacturing,-0.0,-2142
virginia,Submarines,N0002417C2100,structural,4,2018-09-04,2020-04-14,2019-06-18,588,503,94,76.077,76.116,19,YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC",0.4535,0.5465,Plate Work Manufacturing,-0.039,-1639
virginia,Submarines,N0002417C2100,structural,5,2020-08-10,2025-01-24,2023-03-29,1628,1380,460,346.811,365.685,41,E8LNMDLEKM35,D.C. FABRICATORS INC.,0.2514,0.7486,Fabricated Structural Metal Manufacturing,-18.873,-259
virginia,Submarines,N0002417C2100,unbucketed,1,2016-01-28,2016-01-28,2016-01-28,0,,1,0.0,0.0,1,PM5WJ7WYPX53,AGGREKO PLC,1.0,0.0,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,0.0,-2876
virginia,Submarines,N0002417C2100,unbucketed,2,2016-05-26,2016-05-26,2016-05-26,0,119,1,0.94,0.94,1,YA7EN5YYJYS8,"APOLLO PROFESSIONAL SOLUTIONS, INC.",1.0,0.0,Temporary Help Services,0.0,-2757
virginia,Submarines,N0002417C2100,unbucketed,3,2016-12-06,2025-01-24,2021-04-30,2971,1800,1454,243.404,253.949,307,SJULQDJ8NZU7,"L3HARRIS TECHNOLOGIES, INC.",0.0891,0.9109,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",-10.545,-957
