fy,tier,appropriation,book_id,status,http,bytes,pages,sha256_16,rel_path,source_url,note,txt_path,txt_bytes,txt_pages
2027,I,OSD,R1_RDTE_Programs,HAVE,,3127023,125,1aa8846edb69d4c3,pdf_originals/FY2027/summary/R1_RDTE_Programs.pdf,,already on disk,txt_versions/FY2027/summary/R1_RDTE_Programs.txt,459990,125
2026,1,OPA,OPA_BA1_Tactical_Support_Vehicles,HAVE,,4480784,251,184228d828aab1d6,pdf_originals/FY2026/procurement/OPA_BA1_Tactical_Support_Vehicles.pdf,,already on disk,txt_versions/FY2026/procurement/OPA_BA1_Tactical_Support_Vehicles.txt,1279322,251
2026,1,OPA,OPA_BA34_Other_Support_Equipment,OK,200,7294381,602,a0b31f94ab70ce33,pdf_originals/FY2026/procurement/OPA_BA34_Other_Support_Equipment.pdf,"https://www.asafm.army.mil/Portals/72/Documents/BudgetMaterial/2026/Discretionary%20Budget/Procurement/Other%20Procurement%20-%20BA%203,%204%20&%206%20-%20Other%20Support%20Equipment,%20Initial%20Spares%20and%20Agile%20Portfolio%20Management.pdf",,txt_versions/FY2026/procurement/OPA_BA34_Other_Support_Equipment.txt,3318706,602
2026,2,RDTE,RDTE_BA3,HAVE,,6161348,444,fdd78d0414e718f3,pdf_originals/FY2026/rdte/RDTE_BA3.pdf,,already on disk,txt_versions/FY2026/rdte/RDTE_BA3.txt,1422605,444
2026,2,RDTE,RDTE_BA4A,HAVE,,7466148,378,e5a5bc266a0211c7,pdf_originals/FY2026/rdte/RDTE_BA4A.pdf,,already on disk,txt_versions/FY2026/rdte/RDTE_BA4A.txt,1223785,378
2026,2,RDTE,RDTE_BA4B,HAVE,,7551248,369,8adb79d442b2abda,pdf_originals/FY2026/rdte/RDTE_BA4B.pdf,,already on disk,txt_versions/FY2026/rdte/RDTE_BA4B.txt,1169177,369
2026,2,RDTE,RDTE_BA5A,HAVE,,8507159,366,7715f4f4490b3e56,pdf_originals/FY2026/rdte/RDTE_BA5A.pdf,,already on disk,txt_versions/FY2026/rdte/RDTE_BA5A.txt,1161082,366
2026,2,RDTE,RDTE_BA5D,HAVE,,9171338,439,045f4ff5332aeb87,pdf_originals/FY2026/rdte/RDTE_BA5D.pdf,,already on disk,txt_versions/FY2026/rdte/RDTE_BA5D.txt,1436074,439
2026,2,RDTE,RDTE_BA7,HAVE,,7349611,413,1d202f5878beb862,pdf_originals/FY2026/rdte/RDTE_BA7.pdf,,already on disk,txt_versions/FY2026/rdte/RDTE_BA7.txt,1331208,413
2026,3,OMA,OMA_Vol1_Operating_Forces,HAVE,,9422147,818,91b513dd3d0c77f0,pdf_originals/FY2026/om/OMA_Vol1_Operating_Forces.pdf,,already on disk,txt_versions/FY2026/om/OMA_Vol1_Operating_Forces.txt,3251207,818
2025,1,OPA,OPA_BA1_Tactical_Support_Vehicles,HAVE,,4936480,249,eb40923c1442397a,pdf_originals/FY2025/procurement/OPA_BA1_Tactical_Support_Vehicles.pdf,,already on disk,txt_versions/FY2025/procurement/OPA_BA1_Tactical_Support_Vehicles.txt,1261765,249
2025,1,OPA,OPA_BA34_Other_Support_Equipment,OK,200,8182390,599,8e06548843647ae3,pdf_originals/FY2025/procurement/OPA_BA34_Other_Support_Equipment.pdf,https://www.asafm.army.mil/Portals/72/Documents/BudgetMaterial/2025/Base%20Budget/Procurement/Other%20Procurement%20-%20BA%203%20&%204%20-%20Other%20Support%20Vehicles.pdf,,txt_versions/FY2025/procurement/OPA_BA34_Other_Support_Equipment.txt,3273457,599
2025,2,RDTE,RDTE_BA3,HAVE,,4976794,406,398f1f9dbcacef50,pdf_originals/FY2025/rdte/RDTE_BA3.pdf,,already on disk,txt_versions/FY2025/rdte/RDTE_BA3.txt,1313703,406
2025,2,RDTE,RDTE_BA4A,HAVE,,6519580,373,d401136b1abf97a2,pdf_originals/FY2025/rdte/RDTE_BA4A.pdf,,already on disk,txt_versions/FY2025/rdte/RDTE_BA4A.txt,1197689,373
2025,2,RDTE,RDTE_BA4B,HAVE,,6818345,383,7cbc0f4ab190489e,pdf_originals/FY2025/rdte/RDTE_BA4B.pdf,,already on disk,txt_versions/FY2025/rdte/RDTE_BA4B.txt,1235288,383
2025,2,RDTE,RDTE_BA5A,HAVE,,7947706,382,c8f25d5222a8b744,pdf_originals/FY2025/rdte/RDTE_BA5A.pdf,,already on disk,txt_versions/FY2025/rdte/RDTE_BA5A.txt,1258007,382
2025,2,RDTE,RDTE_BA5D,HAVE,,7124425,306,fbeeadf15e000a8a,pdf_originals/FY2025/rdte/RDTE_BA5D.pdf,,already on disk,txt_versions/FY2025/rdte/RDTE_BA5D.txt,990109,306
2025,2,RDTE,RDTE_BA7,HAVE,,6224343,423,93a04109a74a6233,pdf_originals/FY2025/rdte/RDTE_BA7.pdf,,already on disk,txt_versions/FY2025/rdte/RDTE_BA7.txt,1370089,423
2025,3,OMA,OMA_Vol1_Operating_Forces,HAVE,,8602160,781,395adfffd81ee986,pdf_originals/FY2025/om/OMA_Vol1_Operating_Forces.pdf,,already on disk,txt_versions/FY2025/om/OMA_Vol1_Operating_Forces.txt,3063831,781
2024,1,OPA,OPA_BA1_Tactical_Support_Vehicles,HAVE,,5575253,264,a8b6b0fca281396d,pdf_originals/FY2024/procurement/OPA_BA1_Tactical_Support_Vehicles.pdf,,already on disk,txt_versions/FY2024/procurement/OPA_BA1_Tactical_Support_Vehicles.txt,1248715,264
2024,1,OPA,OPA_BA34_Other_Support_Equipment,OK,200,8290269,606,b1b42de09c95b256,pdf_originals/FY2024/procurement/OPA_BA34_Other_Support_Equipment.pdf,https://www.asafm.army.mil/Portals/72/Documents/BudgetMaterial/2024/Base%20Budget/Procurement/Other%20Procurement%20-%20BA%203%20&%204%20-%20Other%20Support%20Equipment.pdf,,txt_versions/FY2024/procurement/OPA_BA34_Other_Support_Equipment.txt,3198579,606
2024,2,RDTE,RDTE_BA3,HAVE,,8796060,493,bad62ff816fe8c61,pdf_originals/FY2024/rdte/RDTE_BA3.pdf,,already on disk,txt_versions/FY2024/rdte/RDTE_BA3.txt,1532569,493
2024,2,RDTE,RDTE_BA4A,HAVE,,10323491,415,fe0c354803860e4a,pdf_originals/FY2024/rdte/RDTE_BA4A.pdf,,already on disk,txt_versions/FY2024/rdte/RDTE_BA4A.txt,1300076,415
2024,2,RDTE,RDTE_BA4B,HAVE,,10271370,403,f3c494ce4f3fa389,pdf_originals/FY2024/rdte/RDTE_BA4B.pdf,,already on disk,txt_versions/FY2024/rdte/RDTE_BA4B.txt,1261097,403
2024,2,RDTE,RDTE_BA5A,HAVE,,11800922,423,b6d51863e80c1973,pdf_originals/FY2024/rdte/RDTE_BA5A.pdf,,already on disk,txt_versions/FY2024/rdte/RDTE_BA5A.txt,1351665,423
2024,2,RDTE,RDTE_BA5D,HAVE,,11363138,394,f1dc645656c6a404,pdf_originals/FY2024/rdte/RDTE_BA5D.pdf,,already on disk,txt_versions/FY2024/rdte/RDTE_BA5D.txt,1237409,394
2024,2,RDTE,RDTE_BA7,HAVE,,10367277,509,1f94b855e155e55f,pdf_originals/FY2024/rdte/RDTE_BA7.pdf,,already on disk,txt_versions/FY2024/rdte/RDTE_BA7.txt,1600554,509
2023,1,OPA,OPA_BA1_Tactical_Support_Vehicles,HAVE,,4100974,217,5b0c05e7899cb454,pdf_originals/FY2023/procurement/OPA_BA1_Tactical_Support_Vehicles.pdf,,already on disk,txt_versions/FY2023/procurement/OPA_BA1_Tactical_Support_Vehicles.txt,1106177,217
2023,1,OPA,OPA_BA34_Other_Support_Equipment,OK,200,6654329,525,2bcada540bd87eca,pdf_originals/FY2023/procurement/OPA_BA34_Other_Support_Equipment.pdf,https://www.asafm.army.mil/Portals/72/Documents/BudgetMaterial/2023/Base%20Budget/Procurement/OPA_BA3_4_Other_Support_Equipment.pdf,,txt_versions/FY2023/procurement/OPA_BA34_Other_Support_Equipment.txt,2932469,525
2023,2,RDTE,RDTE_BA3,HAVE,,4606545,507,ce6848670084ca8e,pdf_originals/FY2023/rdte/RDTE_BA3.pdf,,already on disk,txt_versions/FY2023/rdte/RDTE_BA3.txt,1706576,507
2023,2,RDTE,RDTE_BA4,HAVE,,13527904,841,35b794c48f296df3,pdf_originals/FY2023/rdte/RDTE_BA4.pdf,,already on disk,txt_versions/FY2023/rdte/RDTE_BA4.txt,2905149,841
2023,2,RDTE,RDTE_BA5A,HAVE,,9000472,413,018420617b9a16f0,pdf_originals/FY2023/rdte/RDTE_BA5A.pdf,,already on disk,txt_versions/FY2023/rdte/RDTE_BA5A.txt,1463843,413
2023,2,RDTE,RDTE_BA5D,HAVE,,8537139,374,b7d611aa936e9ef4,pdf_originals/FY2023/rdte/RDTE_BA5D.pdf,,already on disk,txt_versions/FY2023/rdte/RDTE_BA5D.txt,1285865,374
2023,2,RDTE,RDTE_BA7,HAVE,,6342536,515,407bdb86352f846a,pdf_originals/FY2023/rdte/RDTE_BA7.pdf,,already on disk,txt_versions/FY2023/rdte/RDTE_BA7.txt,1812702,515
2022,1,OPA,OPA_BA1_Tactical_Support_Vehicles,HAVE,,4605501,219,f17b75436f5c80df,pdf_originals/FY2022/procurement/OPA_BA1_Tactical_Support_Vehicles.pdf,,already on disk,txt_versions/FY2022/procurement/OPA_BA1_Tactical_Support_Vehicles.txt,1050955,219
2022,1,OPA,OPA_BA34_Other_Support_Equipment,OK,200,7947668,638,e09e5c72871e1f27,pdf_originals/FY2022/procurement/OPA_BA34_Other_Support_Equipment.pdf,https://www.asafm.army.mil/Portals/72/Documents/BudgetMaterial/2022/Base%20Budget/Procurement/OPA_BA_34_FY_2022_PB_Other_Procurement_BA3&4_Other_Support_Equipment.pdf,,txt_versions/FY2022/procurement/OPA_BA34_Other_Support_Equipment.txt,3438284,638
2022,2,RDTE,RDTE_BA3,HAVE,,6372863,502,7ba1ebfe768af00b,pdf_originals/FY2022/rdte/RDTE_BA3.pdf,,already on disk,txt_versions/FY2022/rdte/RDTE_BA3.txt,1584766,502
2022,2,RDTE,RDTE_BA4,HAVE,,14565742,805,b3a71b47c3195804,pdf_originals/FY2022/rdte/RDTE_BA4.pdf,,already on disk,txt_versions/FY2022/rdte/RDTE_BA4.txt,2647736,805
2022,2,RDTE,RDTE_BA5A,HAVE,,6497154,491,1aaef40b561e0c6a,pdf_originals/FY2022/rdte/RDTE_BA5A.pdf,,already on disk,txt_versions/FY2022/rdte/RDTE_BA5A.txt,1647630,491
2022,2,RDTE,RDTE_BA7,HAVE,,7092547,572,ccd0ffc294b88b94,pdf_originals/FY2022/rdte/RDTE_BA7.pdf,,already on disk,txt_versions/FY2022/rdte/RDTE_BA7.txt,1904806,572
