program,piid,vessel_class,builder,block_label,prime_base_award_date,prime_last_action_date,n_prime_actions,base_action_type,covered,base_is_window_floored
ddg,N0002412C2313,DDG-51,GD-BIW,GD-BIW: FLIGHT III DESIGN,2017-10-23,2025-09-18,16,DEFINITIVE CONTRACT,yes,yes
ddg,N0002412C4311,DDG-51,GD-BIW,GD-BIW: SHIP ALTERATION WORK - SEVERABLE,2017-10-02,2024-07-02,213,DEFINITIVE CONTRACT,yes,yes
ddg,N0002413C2305,DDG-51,GD-BIW,GD-BIW: CONSTRUCTION OF DDG 51 SHIP FMR-12161M DEFIN FMR-12182MNO DEFIN,2017-10-03,2026-01-29,608,DEFINITIVE CONTRACT,yes,yes
ddg,N0002413C2307,DDG-51,HII-Ingalls,HII-Ingalls: CONSTRUCT FY17 DDG 51 CLASS GUIDED MISSILE DESTROYER (DDG 125),2017-10-02,2025-12-09,1265,DEFINITIVE CONTRACT,yes,yes
ddg,N0002414C4313,DDG-51,GD-BIW,GD-BIW: PIO AND OTHER MATERIAL. DE-OBLIGATE EXCESS FUNDS ON VARIOUS CLINS.,2017-10-05,2023-05-18,173,DEFINITIVE CONTRACT,yes,yes
ddg,N0002418C2305,DDG-51,GD-BIW,GD-BIW: CONSTRUCTION OF DDG 51 SHIP WF-3753 (FMR-12243N) FMR-12182MNO DEFIN,2018-09-27,2026-01-28,408,DEFINITIVE CONTRACT,yes,no
ddg,N0002418C2307,DDG-51,HII-Ingalls,HII-Ingalls: CONSTRUCT FIRM HHIP FY18 DDG 51 CLASS GUIDED MISSILE DESTROYER DDG128 CONSTRUCTION OF DDG 51 SHIP,2018-09-27,2026-02-19,1319,DEFINITIVE CONTRACT,yes,no
ddg,N0002418C2313,DDG-51,GD-BIW,GD-BIW: CLASS CHANGES DESIGN SERVICES,2018-06-08,2025-06-26,46,DEFINITIVE CONTRACT,yes,no
ddg,N0002418C4451,DDG-51,GD-BIW,GD-BIW: SHIP ALTERATION WORK - SEVERABLE,2018-05-24,2024-08-08,145,DEFINITIVE CONTRACT,yes,no
ddg,N0002419C2322,DDG-51,GD-BIW,GD-BIW: ORDERS: WR22-029,2018-12-26,2026-01-26,252,DEFINITIVE CONTRACT,yes,no
ddg,N0002419C4452,DDG-51,GD-BIW,GD-BIW: PROVISIONED ITEMS ORDERS (PIO),2019-02-07,2024-01-04,752,DEFINITIVE CONTRACT,yes,no
ddg,N0002423C2305,DDG-51,GD-BIW,GD-BIW: CONSTRUCTION OF DDG 51 SHIP,2023-08-01,2026-02-10,28,DEFINITIVE CONTRACT,yes,no
ddg,N0002423C2307,DDG-51,HII-Ingalls,HII-Ingalls: CONSTRUCTION OF DDG 51 SHIP,2023-08-01,2026-02-19,332,DEFINITIVE CONTRACT,yes,no
ddg,N0002424C2313,DDG-51,GD-BIW,GD-BIW: DDG 51 CLASS LEAD YARD SUPPORT,2023-11-17,2023-11-17,1,DEFINITIVE CONTRACT,yes,no
