Hull Designator,Vessel Name,Category,Class/Length
WLB-206,Spar,Seagoing Buoy Tender (WLB),225' Juniper-class
WLB-207,Maple,Seagoing Buoy Tender (WLB),225' Juniper-class
WLB-208,Aspen,Seagoing Buoy Tender (WLB),225' Juniper-class
WLB-209,Sycamore,Seagoing Buoy Tender (WLB),225' Juniper-class
WLB-210,Cypress,Seagoing Buoy Tender (WLB),225' Juniper-class
WLB-211,Oak,Seagoing Buoy Tender (WLB),225' Juniper-class
WLB-212,Hickory,Seagoing Buoy Tender (WLB),225' Juniper-class
WLB-213,Fir,Seagoing Buoy Tender (WLB),225' Juniper-class
WLB-214,Hollyhock,Seagoing Buoy Tender (WLB),225' Juniper-class
WLB-215,Sequoia,Seagoing Buoy Tender (WLB),225' Juniper-class
WLB-216,Alder,Seagoing Buoy Tender (WLB),225' Juniper-class
WLM-551,Ida Lewis,Coastal Buoy Tender (WLM),175' Keeper-class
WLM-552,Katherine Walker,Coastal Buoy Tender (WLM),175' Keeper-class
WLM-553,Abbie Burgess,Coastal Buoy Tender (WLM),175' Keeper-class
WLM-554,Marcus Hanna,Coastal Buoy Tender (WLM),175' Keeper-class
WLM-555,James Rankin,Coastal Buoy Tender (WLM),175' Keeper-class
WLM-556,Joshua Appleby,Coastal Buoy Tender (WLM),175' Keeper-class
WLM-557,Frank Drew,Coastal Buoy Tender (WLM),175' Keeper-class
WLM-558,Anthony Petit,Coastal Buoy Tender (WLM),175' Keeper-class
WLM-559,Barbara Mabrity,Coastal Buoy Tender (WLM),175' Keeper-class
WLM-560,William Tate,Coastal Buoy Tender (WLM),175' Keeper-class
WLM-561,Harry Claiborne,Coastal Buoy Tender (WLM),175' Keeper-class
WLM-562,Maria Bray,Coastal Buoy Tender (WLM),175' Keeper-class
WLM-563,Henry Blake,Coastal Buoy Tender (WLM),175' Keeper-class
WLM-564,George Cobb,Coastal Buoy Tender (WLM),175' Keeper-class
WLIC-800,Pamlico,Inland Construction Tender (WLIC),160'
WLIC-801,Hudson,Inland Construction Tender (WLIC),160'
WLIC-802,Kennebec,Inland Construction Tender (WLIC),160'
WLIC-803,Saginaw,Inland Construction Tender (WLIC),160'
WPC-1101,Bernard C. Webber,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1102,Richard Etheridge,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1103,William Flores,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1104,Robert Yered,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1105,Margaret Norvell,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1106,Paul Clark,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1107,Charles David,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1108,Charles Sexton,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1109,Kathleen Moore,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1110,Raymond Evans,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1111,William Trump,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1112,Isaac Mayo,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1113,Richard Dixon,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1114,Heriberto Hernandez,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1115,Joseph Napier,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1116,Winslow Griesser,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1117,Donald Horsley,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1118,Joseph Tezanos,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1119,Rollin Fritch,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1120,Lawrence Lawson,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1121,John McCormick,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1122,Bailey Barco,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1123,Benjamin Dailey,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1124,Oliver Berry,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1125,Jacob Poroo,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1126,Joseph Gerczak,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1127,Richard Snyder,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1128,Nathan Bruckenthal,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1129,Forrest Rednour,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1130,Robert Ward,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1131,Terrell Horne,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1132,Benjamin Bottoms,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1133,Joseph Doyle,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1134,William Hart,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1135,Angela McShan,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1136,Daniel Tarr,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1137,Edgar Culbertson,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1138,Harold Miller,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1139,Myrtle Hazard,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1140,Oliver Henry,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1141,Charles Moulthrope,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1142,Robert Goldman,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1143,Frederick Hatch,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1144,Glen Harris,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1145,Emlen Tunnell,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1146,John Scheuerman,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1147,Clarence Sutphin Jr.,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1148,Pablo Valent,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1149,Douglas Denman,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1150,William Chadwick,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1151,Warren Deyampert,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1152,Maurice Jester,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1153,John Patterson,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1154,William Sparling,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1155,Melvin Bell,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1156,David Duren,Fast Response Cutter (WPC),154' Sentinel-class
WPC-1157,Florence Finch,Fast Response Cutter (WPC),154' Sentinel-class
WTGB-101,Katmai Bay,Icebreaking Tug (WTGB),140' Bay-class
WTGB-102,Bristol Bay,Icebreaking Tug (WTGB),140' Bay-class
WTGB-103,Mobile Bay,Icebreaking Tug (WTGB),140' Bay-class
WTGB-104,Biscayne Bay,Icebreaking Tug (WTGB),140' Bay-class
WTGB-105,Neah Bay,Icebreaking Tug (WTGB),140' Bay-class
WTGB-106,Morro Bay,Icebreaking Tug (WTGB),140' Bay-class
WTGB-107,Penobscot Bay,Icebreaking Tug (WTGB),140' Bay-class
WTGB-108,Thunder Bay,Icebreaking Tug (WTGB),140' Bay-class
WTGB-109,Sturgeon Bay,Icebreaking Tug (WTGB),140' Bay-class
WLI-642,Buckthorn,Inland Buoy Tender (WLI),100'
WLIC-315,Smilax,Inland Construction Tender 100' (WLIC),100'
WLR-75401,Gasconade,River Buoy Tender 75' (WLR),75' Gasconade-class
WLR-75402,Muskingum,River Buoy Tender 75' (WLR),75' Gasconade-class
WLR-75403,Wyaconda,River Buoy Tender 75' (WLR),75' Gasconade-class
WLR-75404,Chippewa,River Buoy Tender 75' (WLR),75' Gasconade-class
WLR-75405,Cheyenne,River Buoy Tender 75' (WLR),75' Gasconade-class
WLR-75406,Kickapoo,River Buoy Tender 75' (WLR),75' Gasconade-class
WLR-75407,Kanawha,River Buoy Tender 75' (WLR),75' Gasconade-class
WLR-75408,Patoka,River Buoy Tender 75' (WLR),75' Gasconade-class
WLR-75409,Chena,River Buoy Tender 75' (WLR),75' Gasconade-class
WLR-75500,Kankakee,River Buoy Tender 75' (WLR),75' Kankakee-class
WLR-75501,Greenbrier,River Buoy Tender 75' (WLR),75' Kankakee-class
WLIC-75301,Anvil,Inland Construction Tender 75' (WLIC),75'
WLIC-75302,Hammer,Inland Construction Tender 75' (WLIC),75'
WLIC-75303,Sledge,Inland Construction Tender 75' (WLIC),75'
WLIC-75304,Mallet,Inland Construction Tender 75' (WLIC),75'
WLIC-75305,Vise,Inland Construction Tender 75' (WLIC),75'
WLIC-75306,Clamp,Inland Construction Tender 75' (WLIC),75'
WLIC-75307,Wedge,Inland Construction Tender 75' (WLIC),75'
WLIC-75308,Spike,Inland Construction Tender 75' (WLIC),75'
WLIC-75309,Hatchet,Inland Construction Tender 75' (WLIC),75'
WLIC-75310,Axe,Inland Construction Tender 75' (WLIC),75'
WLR-65501,Ouachita,River Buoy Tender 65' (WLR),65'
WLR-65502,Cimarron,River Buoy Tender 65' (WLR),65'
WLR-65503,Obion,River Buoy Tender 65' (WLR),65'
WLR-65504,Scioto,River Buoy Tender 65' (WLR),65'
WLR-65505,Osage,River Buoy Tender 65' (WLR),65'
WLR-65506,Sangamon,River Buoy Tender 65' (WLR),65'
WLI-65400,Bayberry,Inland Buoy Tender 65' (WLI),65'
WLI-65401,Elderberry,Inland Buoy Tender 65' (WLI),65'
WLI-65302,Blueberry,Inland Buoy Tender 65' (WLI),65'
WLI-65303,Blackberry,Inland Buoy Tender 65' (WLI),65'
WLI-65304,Chokeberry,Inland Buoy Tender 65' (WLI),65'
WLI-65305,Loganberry,Inland Buoy Tender 65' (WLI),65'
WYTL-65601,Capstan,Small Harbor Tug (WYTL),65'
WYTL-65602,Chock,Small Harbor Tug (WYTL),65'
WYTL-65603,Swivel,Small Harbor Tug (WYTL),65'
WYTL-65604,Tackle,Small Harbor Tug (WYTL),65'
WYTL-65605,Towline,Small Harbor Tug (WYTL),65'
WYTL-65606,Catenary,Small Harbor Tug (WYTL),65'
WYTL-65607,Bridle,Small Harbor Tug (WYTL),65'
WYTL-65608,Pendant,Small Harbor Tug (WYTL),65'
WYTL-65609,Shackle,Small Harbor Tug (WYTL),65'
WYTL-65610,Hawser,Small Harbor Tug (WYTL),65'
WYTL-65611,Line,Small Harbor Tug (WYTL),65'
WYTL-65612,Wire,Small Harbor Tug (WYTL),65'
WYTL-65613,Bitt,Small Harbor Tug (WYTL),65'
WYTL-65614,Bollard,Small Harbor Tug (WYTL),65'
WYTL-65615,Cleat,Small Harbor Tug (WYTL),65'
