vendor_uei,vendor_name,n_subawards,total_usd,n_distinct_components,top_components
YELYMYLF82L9,"LAKE SHORE SYSTEMS, INC.",70,28603194.12,4,CAPEX SOW LAKESHORE; REPLACE; ESO; VSR
WSK3WRSGKAU1,ALFA LAVAL INC,25,27393928.43,3,FUEL PURIFIER; DDG- FUEL PURIFIERS; ESO
JW6PXX1WALN4,HOWDEN NORTH AMERICA INC,45,25425882.63,9,CENTRIFUGAL FANS; REPAIR; GAS TURB COOL FANS; NFA; REPAIR REPAY; VANEAXIAL FANS
F42BKS7EHCL8,EMS DEVELOPMENT CORPORATION,27,24624705.91,1,DEGAUSSING SYSTEM
FCK2D4PSV1L2,DOVER PUMPS & PROCESS SOLUTIONS SEGMENT INC,70,23645194.16,8,PUMP ROTARY VANE; POS DIS PUMPS-GROUP; POS DISP PUMPS GRP; AFFF PROPORTIONER; NFA; PUMP ROTARY VINE
FGNQE3RF1FK5,"MORPAC INDUSTRIES, INC",32,22967613.36,2,ELEC MTR VALVES; MATL LOST WHSE
V1MQFNQB56Z5,RIX INDUSTRIES,30,22537145.13,3,AIR COMPRESSOR; VSR; RPAIR
MC77SUMRLXY5,"MILWAUKEE VALVE CO, INC",152,22480678.17,5,VALVE GLOBE; VALVE GATE; VALVE SCUPPER; CAPEX SOW MILWAUKEE VALVE; VALVE SWING
QNF5KM7YJSN7,"SOUTHCOAST WELDING & MANUFACTURING, LLC",77,20200193.25,9,SCW&M; HATCHES; STRUCTURAL DOORS; SCUTTLES; FRAMEWORK AGREEMENT; SCW FCT TRIAL CARDS SUPPORT
LR2HQKYJLDZ7,JA MOODY LLC,90,20148088.02,5,CLOSURE VENTILATION; CLOSURE VENT; PT- DDG-; ESR; NIS
JEP5GQGFPUL9,Portland Valve LLC,44,19513358.34,6,BLEED AIR REG VALVES; REPAIR; VALVE REGULATOR PRESSURE; TRIALCARD; RPR CDR; ESO
KNEFNMWXBK39,JO-KELL INC.,113,18652179.03,7,CIRCUIT BREAKER; BREAKER CIRCUIT; ESO; TRANSFORMERS; FRAMEWORK AGREEMENT; GEN
Q35JL9GFCAK3,MAROTTA CONTROLS INC,143,18179404.38,12,OSI; VALVE CONTROL; AIR PRES RED MANIFOLD; SOLENOID OPER VALVES; VALVE GLOBE CLOSE; RPR
G78MQ69BN636,AIRCRAFT APPLIANCES AND EQUIPMENT LIMITED,80,17829302.87,9,TURB STRT AIR FILTER; FUEL FILTER/SEPARATOR; FLTR/SEPR PURIFIER; FUEL SERV PREFILTER; RED GEAR L/O STRAINER; MEMBRANE OWS POL SYST
SKKACASET588,DYNALEC CORPORATION,218,17745660.21,6,INDICATOR; CONTROL UNIT FIRE ALARM; MODULE ALARM; MAIN SWITCHBOARD; DIGITAL ANNOUNC SYST; RBY
U23DM4ULNLS3,BAE SYSTEMS JACKSONVILLE SHIP REPAIR LLC,2,17715089.0,1,SOW UNIT OUTSOURCING
MEMSWT1LFU18,JERED LLC,28,17479987.99,4,HELI HANGER DOORS; PACKAGE CONVEYOR; DOORS CIWS EQUIP; HANDLING EQPT
HUK5MJK4MH39,"LESLIE CONTROLS, INC.",73,16562563.16,7,ESO; REBOU; DDGBOA; CAPEX SOW CIRCOR; Valves; LPD
MKXMUFJJYLY5,WARD LEONARD CT LLC,13,16125684.26,1,CAPEX SOW WARD LEONARD
HLFDNJU7KXJ1,BOGUE SYSTEMS INC,53,15792604.55,7,POWER SUPPLY; CHARGER; CURR LIMITING DEVICE; SOLID STATE ABT; REPAIR CLD SSABT; VSR
LCZDJ6YPNYG6,"MARTIN ENERGY SERVICES, LLC",27,15590348.84,4,FUEL; DEFUELING; BARGE RENTAL; FUEL FUEL
ELC5EVMWFVM8,"LAKE SHORE SYSTEMS, INC.",69,14997666.94,11,BOAT DAVIT WINCH; OVHD WEAPON HNDLG SYS; WARPING CAPSTAN; ANCHOR WINDLASS; AMMO STRIKEDN EQP; NIS DRL
V8HGGNTGDH59,PEERLESS MFG CO,17,13496231.98,1,MS/B-I PANEL SET
LGL1LNBH8KM5,"GRISWOLD INDUSTRIES, CO.",98,13207772.27,7,VALVE RELIEF PRESSURE; CONTROL VALVE; VALVE GLOBE; VALVE CONTROL; VALVE PRESS REG; VALVE CHECK
QNEXJLA47BM4,"JAMESTOWN METAL MARINE SALES, INC.",36,13041802.68,2,COMMISSARY EQUIPMENT; TELEVISIONS
DWUHNL9BC3U7,"HOWELL LABORATORIES, INC.",37,12946912.27,5,CHLORINATOR/DECHLOR; MEMBRANE DEHYDRATOR; DEHYDRATOR TYPE; AIR FILTER EQUIPMENT; VSR
KLDTZDR12ZB7,JUNIPER ELBOW CO. INC.,70,12825208.29,4,STRUCTURAL DOORS; SCUTTLES; HATCHES; AIRTIGHT CLOSURES
ENNXJDZUYCK3,MARMON AEROSPACE & DEFENSE LLC,1,11504541.0,1,CAPEX SOW MARMON
KYURG7LRSC89,CIRCOR NAVAL SOLUTIONS LLC,13,11487206.23,2,LUBE OIL SERV PUMP; NFA
FLMQAKFEMG64,INDEECO LLC,52,10798867.04,6,FUEL HEATERS; ELEC DUCT HEATERS; OIL TANK HEATERS; LUBE OIL PUR HEATER; RBY; RPR
DQ35GXAUTW61,INDUSTRIAL CORROSION CONTROL INC,41,10790594.79,4,DECK COVERING; AGREEMENT ICCI; BLAST PAINT; HIGH SOLIDS PAINT
N6P1AGPMV456,EVAC NORTH AMERICA INC,28,10717369.41,1,VCHT SYSTEM
ZA1KMNAJMVT3,SURFACE TECHNOLOGIES CORPORATION,43,10670004.75,3,DECK COVERING; VSR SURFACE TECH; NON SKID
TSCZLHCGNQ53,FACET (OKLAHOMA) LLC,32,10453793.35,1,OIL/WATER SEPARATOR
QYKAR7MJJXL7,MEGGITT SAFETY SYSTEMS INC,16,10002726.33,3,SHBD FIRE DETECTION; REPAIR// EVALUATION; MULTI
EV4ZGUNNKMJ6,"PACIFIC SHIP REPAIR & FABRICATION, INC.",56,9916983.38,8,STRUCTURAL DOORS; HATCHES; SCUTTLES; PACSHIP; WARRANTY; PACSHIP/ WORK
RMLGMBGNPCC8,KINGSBURY INC.,19,9836530.73,3,MAIN THRUST BEARINGS; VSR; CAPEX SOW KINGSBURY
M4ANYAZ8Q6H8,GEMS SENSORS INC.,37,9189820.83,3,TANK LEVEL INDICATORS; EPROM DIGITAL RECEIVERS; INDICATOR LEVEL
EVZMB1757DW5,"STEELFAB, INC.",1,8702994.0,1,CAPEX SOW STEELFAB
HWLGUR28KMS6,APPLETON MARINE INC,13,8623162.05,0,
PJRYS7EFXQD9,B N L INDUSTRIES INC,70,7772171.26,3,VALVE BALL; VALVES; LPD
JA2KCX21NL48,"DEFENSE MARITIME SOLUTIONS, INC.",52,7656098.41,7,VSR; SEAL ASSY RUDDER STK; STERN TUBE SEALS; VSR WARTSILLA; VENDOR SUPPORT REQUEST; COMPRESSION TOOL
H1PAVTLJBJ88,TYCO FIRE PRODUCTS LP,24,7590677.86,4,AFFF FIRE EXT SYST; HALON FIRE EXT SYSTEM; RE-BUY; PAYBACK
D2J1SSHB5EB7,THE HELLAN STRAINER CO,37,7488797.57,6,STRAINER; STRAINER WYE; STRAINER ABOM; HOSE ASSY; REEL HOSE; CAPEX SOW HELLAN STRAINER
LFVJABJDQVZ9,"W. & O. SUPPLY, INC.",31,7371544.96,3,VALVE SOLENOID; STRAINER SIMPLEX; VALVE BUTTERFLY
FLQJXSFMNQP6,LISTER CHAIN & FORGE INC,15,7334965.37,3,ANCHOR CHAINS; CAPEX SOW LISTER; CAPEX SOW LISTER CHAIN
EDNNTCM7SUS8,"IMIA, LLC",26,7147031.15,7,BLAST PAINT; SOW SURFACE PREP/COATING UPTAKES; AGREEMENT IMIA; SOW POTABLE WATER MIST TANKS; SOW SURFACE PREP COATING TANKS; SOW SP&C APPLICATION INTAKE SPACES
MMDRDDVELDX8,DANTE VALVE COMPANY,71,6992562.27,5,BLEED AIR RELIEF VLV; VALVE RELIEF ANGLE; VALVE RELIEF; ESO; RPR MATL POS
MDH6KH9D4SG7,"ASCO POWER TECHNOLOGIES, L.P.",14,6832499.11,2,AUTO BUS TRANSFERS; XMP
ZLM5NQE8LSR8,"IMECO, INC.",13,6774547.38,1,INTAKE SILENCERS
D44RA79E3K57,PRECISION PRODUCTS INC,52,6573693.26,4,ACCOM LADDER; LOCKER STOWAGE; LOCKER AMMUNITION; LOCKER WEAPONS
JU2ME5ZK8VL3,MMC METROLOGY LAB INC,45,6220216.0,3,GAUGES PRESS; GAGES PRESSURE; GAUGES PRESSURE
WMXDDH6HJNA5,HUNTINGTON INGALLS INCORPORATED,10,5967794.0,3,STRUT CASTINGS; RUDDER HUB CASTINGS; Flight III Subcontractor
XJTAAHL58NB6,"EASTERN SHIPBUILDING GROUP, INC.",3,5649604.67,3,SOW FAB PIPE DETAILS; UNIT OUTSOURCING; SOW UNIT OUTSOURCING
E3YNKWRANZ18,"AQUA-CHEM, INC.",13,5513503.42,1,MRG LUBE OIL CLR
PNLJW4UFU1A8,"MARK C. POPE ASSOCIATES, INC.",12,5346139.14,4,CONVERTER FREQ COA; BATTLESPARES PIECE; CONVERTER FREQ; RBY
JRHJJRY6DWK3,"CORNELL-CARR CO., INC.",32,5332148.03,1,WINDOW FXD TILTED
GCUTMML7MHH3,South Florida Van Lines Inc,9,5228932.11,5,VANEAXIAL FANS; CENTRIFUGAL FANS; VANEAXIAL TUBE; FAN VANEAXIAL; GAS TURB COOL FANS
S1LJCH88WHT5,W.R. DAVIS ENGINEERING LIMITED,12,5206753.16,1,ACTIVE SHAFT GRND SYS
NN7PCHZFNZP8,GOODWIN STEEL CASTINGS LIMITED,2,5074493.23,1,STRUT CASTINGS
L2EDH4DX27J5,WILLIAM E WILLIAMS VALVE CORP,41,5069860.0,2,VALVE SWING CHECK; CAPEX SOW WILLIAMS VALVE
H2VUYH8JMBY9,CURTISS-WRIGHT FLOW CONTROL CORPORATION,6,4983285.16,2,HYDRAULIC VALVES; CAPEX SOW CURTIS WRIGHT
Z9P3GJBTJUT5,"METALS USA PLATES AND SHAPES, INC.",1,4922836.0,1,CAPEX SOW METALS USA
FFZLXPAQCMD8,WHITING DOOR MANUFACTURING CORP.,26,4849816.21,1,Inco Spares
C7QHHMJEALN1,"MONROE CABLE COMPANY, INC., THE",1,4845382.0,1,CAPEX SOW MONROE CABLE
C1B6X8AADFB1,COMSACO INC,14,4546017.0,1,BOX TERMINAL
LGVPVLMRHH51,"W. & O. SUPPLY, INC.",30,4457876.31,0,
F3XKPA82MHQ5,NAG LLC,15,4378711.13,2,RADAR TDR TLIs; VSR
NYGUEDY27AM8,CURTISS-WRIGHT FLOW CONTROL CORPORATION,8,4147526.81,1,ESO
KQDAHF4VF266,"BEN M. RADCLIFF CONTRACTOR, INC.",1,4027771.0,1,SUPPORT TOWER
QVTKQ7LJE196,M.T. DAVIDSON COMPANY,27,3985560.61,3,PUMP CENTRIFUGAL; HOT WTR CIRC PUMP; ESO
D3QEMKB2X4N5,LEXAIR INC,2,3843087.0,1,CAPEX SOW LEXAIR
UK6NAHCH8459,CAROLINA POWER SYSTEMS OF SUMTER INC,20,3752398.8,1,COTS MFM III
RJGEKQDTZKT8,ELECTRIC HEATER CO,18,3749262.0,2,ELEC WATER HEATER; ELECTRIC WATER HEATER
ZJYJB7MBFE56,CRANE PUMPS & SYSTEMS PFT CORP,19,3499522.54,3,VCHT TRANSFER PUMP; BOA; RBY
G7SQBKZNPRN4,"ACCU-FAB AND CONSTRUCTION, INC.",9,3448140.52,3,FIXTURES IAW SOW; SOW IPD FOUNDATION WORK; SONAR DOME PLATE SHAPING OUTSOURCING
NQKEVF8KEMP1,PIVOTAL POWER INC,57,3424305.44,8,HELI STRT PWR SUPPLY; RECTIFIER PWR SUPPLY; POWER SUPPLY; WARRAMTY; WARR; UPS UNIT
T4RCBDVMPVM4,"MEGGITT DEFENSE SYSTEMS, INC.",10,3369142.99,1,RBY
GKPGD2F1LKL5,"ELLWOOD GROUP, INC.",10,3367507.48,1,RUDDER STOCKS
C6C8KS7Y1K76,MIDE TECHNOLOGY CORPORATION,27,3286785.79,3,VSR; BULKHEAD SHAFT SEAL; CAPEX SOW MIDE
FYS6F3284LN3,VELAN VALVE CORP.,23,3232177.01,0,
HMBSX7Z72UK4,"WESTLAND TECHNOLOGIES, INC.",26,3105052.58,1,TILE HALF ROUND
NBM4G4SAFQM3,QUALITY PERFORMANCE INC,32,3097709.43,0,
ZU51LS7JZ8L5,FCX SYSTEMS INC,5,3065470.18,3,AESS ASSFC; CAPEX SOW FCX; RBY
JR3NDKLB4BH9,PACIFIC MARINE SYSTEMS CORP,21,3004106.44,0,
VGCPT3NSM831,HII FLEET SUPPORT GROUP LLC,5,2984257.9,1,SOW FIBER OPTIC PERFORMANCE TESTING
LCYTE2L5JEP4,NAVAL ENGINEERING SUPPORT INC,13,2940135.0,2,TRIAL CARDS-; NAV ENG SUPPORT
K3URF4HUNQS5,"GLOBAL, INCORPORATED",25,2831268.97,1,UNREP SYSTEM
JNC1BUEVV3B9,"JGILS, LLC",33,2830532.92,4,OSI; TAPE; OSI TAPE; OSI/SRI
QEP4TKLKQDV3,"U.S. Pioneer, L.L.C.",34,2774189.63,3,ENCLOSURE; MULTIPLE; BOX INTERCONNECT
KH1SMVPKSHY4,GREAT LAKES SOUND & VIBRATION INC,3,2550367.19,0,
VDGQNU1VJC64,XCHANGER MANUFACTURING CORPORATION,11,2548193.45,1,BLEED AIR COOLERS
EZVMH8VEGL34,BAUER COMPRESSORS INC,13,2413921.62,2,AIR COMPRESSOR; VSR
EANJVKFHMSZ8,"GULF FASTENER, INC.",6,2372757.0,1,CAPEX SOW GULF FASTENER
J8ATNVMEGLK1,CHAND LLC,31,2225302.51,5,TAPE; OSI TAPE; OSI; MOD; ISS MOD
S3GFGJ1QGAE6,"M.S.M. INDUSTRIES, INC.",17,2214336.89,1,TILE FLAT HALF ROUND
VJHFDLA3NLG8,BRADKEN INC,6,2202560.33,2,LEAD TRAIL CASTINGS; BOLSTER CASTINGS
ZMBFGXHLGLM3,BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,13,1993771.22,2,WARRANTY; BAE SYSTEMS
RLXQHCXFT513,CUNICO CORPORATION,16,1923462.4,1,VALVE PLUG
JGNYLKEPEBL4,PEMCO-NAVAL ENGINEERING WORKS INC,40,1893615.8,6,TANK RCVR RELAY; DIFF PRES FLOW METER; WATER VENTURI METERS; TANK RCVR/RELAY; SPLIT RFQ; TANK RCVR RELAY ABOM
DV6YQV71ME11,Mar-Vac Products Inc,25,1852320.5,1,BID CONTROL
DW33W8L3N1P8,"PHOENIX GROUP OF VIRGINIA, INC.",9,1818588.31,3,OSI; VSR PHOENIX GROUP; VSR
V32LJNFLKBT7,RFD BEAUFORT INC.,8,1790916.0,1,LIFE RAFTS
UTWXQFNH47D5,"MEGGITT (NORTH HOLLYWOOD), INC.",6,1771119.2,2,WPN SYS AIR COMP; RPAIR
CXZ9PUEZ5SQ7,BLACK & DECKER (U.S.) INC.,8,1744465.88,0,
CJF6S4UR1LM8,EVOQUA WATER TECHNOLOGIES LLC,13,1664440.81,1,CATHODIC PROT SYS
M8ZHL8ZXGQP5,"CHROMALOX, INC.",14,1628097.05,1,ELEC CONV HEATERS
CAKCE9S4WL78,"AZTEC GLOBAL SOLUTIONS, INC.",28,1611322.76,1,NOZZLE
DJG7NEG7QRK5,"HUNT VALVE COMPANY, INC.",16,1581747.5,0,
G15JF2TNVBL6,SIGNET MARITIME CORPORATION,13,1567993.33,2,Tug Services; TUG SERVICES
P4XPJNTCHB68,SCHOELLHORN - ALBRECHT MACHINE CO INC,19,1549230.0,3,B&H; B&H BOLSTER CASTINGS; STEM BAR CASTING
KB45YQR3KSL5,MISSISSIPPI SECURITY POLICE INC,4,1476686.01,1,FORCE PROTECTION
FJMAMQK89ZB8,"Cameron Technologies Us, LLC",9,1465660.6,2,GAUGES PRESS; GAUGES PRESSURE
JK4WJKLD44G9,METALTEK INTERNATIONAL INC,17,1440760.47,4,RUDDER BEARING SLEEVE; RFQ; RUDDER SLEEVES; RUDDER SLEEVES B&H
G9N1X873CYJ6,THE TIMKEN COMPANY,8,1422964.64,1,RUDDER BEARINGS
VXJMLWN9XU18,"BRADKEN - ATLAS, LLC",12,1414710.02,3,LEAD TRAIL CASTINGS; STEM BAR CASTING; BOLSTER CASTINGS
WWMME88ERQG5,BESTWELD INC,21,1310222.11,0,
FUNJJEK23XN5,"TCH DISTRIBUTORS, LLC",21,1294092.65,3,SWITCH DISCONNECT; OSI; TAPE
DQLZFV6PFCB9,"TATE ANDALE, LLC",20,1278691.75,5,MANIFOLD VALVE; MANIFOLD; VALVE VENT; MANIFOLD VALVE ABOM; MAINFOLD VALVE
XFM4VGW1NBE4,"L.C.DOANE COMPANY,THE",2,1274880.0,1,CAPEX SOW DOANE
MSYWUDGYPKF5,"CP INDUSTRIES HOLDINGS, INC",23,1195164.0,0,
YMKJUADMJN79,"TRI-TEC MANUFACTURING, LLC",12,1182173.45,2,RBY; CAPEX SOW TRI-TEC
PW9GWUTL4KV5,"US, INC.",19,1170232.59,9,VSR; VSR PUMPING; VSR BILGE CLN; VSR WATER MIST/AFFF; VSR PUMP WATER BILGES; VSR TNKS
KHK8QYLFGLU1,Rolls-Royce Corporation,2,1167966.0,0,
C6KWNDH3EEB5,"CARDINAL ENGINEERING, LLC",2,1059066.43,1,Flt III Subcontract Lbr
LG8PRS9MR697,SFC VALVE CORPORATION,8,1048864.03,0,
J7JJKMJGC7K1,"NAC GROUP, INC.",15,1020441.38,1,SWITCH PUSH
ZFN2JJXBLZT3,LOCKHEED MARTIN CORPORATION,8,1001141.0,0,
D9T3VK42BLV7,"MILWAUKEE COMPOSITES, INC.",5,967903.84,1,PANEL FALSE DECK
HNJDANSKDZK9,"SPECTRONICS, INC.",23,935412.45,6,OSI; TAPE; OSI TAPE; SWITCH PUSH; RELAY; ENQUIRY
M467BSNHK9J8,KATO ENGINEERING INC.,5,919090.0,2,RBUY; REPAIR
LRYRHNM7EHJ8,"GAYLORD INDUSTRIES, INC.",9,899879.16,1,HOOD GRS INTCPR
MHR1KKAZ1NH5,"EDRO CORPORATION, THE",16,892990.7,1,EXTRACTOR WASHER
F98TZC6J5XV1,ARC TECHNOLOGIES LLC,8,849698.84,0,
W2H3SYSJNLK5,Arastaff,10,845608.05,3,VSR SHIP CLEANING; VSR; SOW ALO CLEANING
TT9AGM31ZHM5,"BURK-KLEINPETER, INC.",3,835891.42,1,SIDE SUPPORT BUILDING
C1NAJQ34VWM5,CAMERON ENERGY SERVICES CORP.,5,820129.11,2,GAUGES PRESS; NIS
JK16ZQ9FRJ51,TAVERNIER DIDIER,8,819738.0,2,AESS ASSFC; RPR
CBMZJ3Z5SC89,GOODRICH CORP,20,815527.82,1,VSR
NL7RNBHWHJQ1,DRS TECHNOLOGIES CANADA LTD,15,794192.57,1,LDDS
W2GBUE64GMZ6,"DERBYSHIRE MARINE PRODUCTS, LLC",16,792744.34,3,VALVE FOOT; VALVE GAGE; VALVE SOUNDING
JKPCAKFW8X93,AMERICAST TECHNOLOGIES INC,7,787140.36,1,BOLSTER CASTINGS
NJBMT6E7P7B4,INTERNATIONAL WELDING & FABRICATION INC.,2,778400.0,2,SOW FAB NOZZLE WASTER PIECES; FIXTURES IAW SOW
DKJ1R5ABCN48,SERCO INC.,7,774530.06,1,TRIAL CARDS
T99DCLB5NRH7,"OCENCO, INCORPORATED",3,736400.0,1,OSI
PDZUR2FMYD89,RANGER ENVIRONMENTAL SERVICES LLC,9,727624.45,3,VSR; VSR TANK; VSR BILGES
MYJHF1S2HGV5,"EPSILON SYSTEMS SOLUTIONS, INC.",14,720723.44,1,FRAMEWORK AGREEMENT
KK9FFUUML8N1,ABC APPLICATORS INC,3,710791.54,1,BLAST PAINT
REXPSJ7NAHU8,DERBYSHIRE MACHINE & TOOL CO,9,701530.0,2,EDUCTOR; REPLACES
LQP7LJVDX6M6,"WESCO DISTRIBUTION, INC.",9,696099.81,1,NOZZLE SPRAY
WPP2ABN6UCF5,"L3 TECHNOLOGIES, INC.",9,689788.0,0,
WAK3LFCLKJR4,BELL STEEL CO,10,689171.0,2,BULB TEE OUTSOURCING; BULB TEE
QV38GMJUBJQ3,L3HARRIS MARITIME SERVICES INC,6,685368.08,0,
TMDVSPNEFR69,IVES EQUIPMENT CORP,6,684723.48,1,VALVE BALL
N9DVRB18H324,ELLWOOD CITY FORGE COMPANY,2,680431.0,1,RUDDER STOCKS
GKN9NW23L2L9,HYSPAN PRECISION PRODUCTS INC,10,674381.0,1,CONNECTOR FLEXIBLE
KTMAJCY6JXM3,"LEIDOS, INC.",6,668772.0,1,COMPUTER FIREWALL SYS
CJ8CQLEM2RW3,SYSCO USA II LLC,6,646242.36,2,GROCERIES SEA TRIALS; Groceries Trials
V16LFA3JDR14,Limitorque Corporation,8,639463.2,0,
LN9YKAX66918,KULITE SEMICONDUCTOR PRODUCTS INC,15,636108.0,0,
XK8VBJ94L4E9,"AEROSPACE SUPPLY, INC",7,590740.0,1,VALVE BALL
C4C1WKKFJ8H5,ENERGY RENTAL SOLUTIONS LLC,7,588737.0,2,Distribution; Load bank
VD5WUGZUCJ44,"Triple Son Wholesale Timber, Inc.",6,575435.0,5,Blocking; GROUND BLOCKING; DRY DOCK LUMBER; Dry Docking DRY-DOC; Cradle
JFEWJZWTH4W4,The Tool House Inc,5,571515.5,0,
SLTUM1DV4433,"PARASENSE, INC",11,568140.8,0,
FRJQGQHDX4J3,"L3 TECHNOLOGIES, INC.",2,567051.8,0,
JU7ZGUDEJA79,RAILWAY SPECIALTIES CORPORATION,4,564730.0,3,STRUCTURAL DOORS; HATCHES; SCUTTLES
H11HD5VHGHN3,Lockheed Martin Corporation,1,550909.0,0,
N5RJW5NX32Y1,W R SYSTEMS LTD.,5,539712.72,1,OWN SHIPS SPEED LOG
NGE4ALP2M661,"WEAVER SUPPLY COMPANY, LLC",14,529469.5,4,HACKSAW; TRACK FACE DUAL DOUBLE; PARKER RELIEF VALVES; LATHE
RYRLL49HWN65,BAKER SHEET METAL CORPORATION,6,527324.0,1,LOCKER STOWAGE
UWH5HRSJ5ES7,AUTOMATIC COATING LIMITED,2,521075.37,0,
TKE2CB4A5YW4,HONEYWELL INTERNATIONAL INC.,7,516035.0,3,PSC; RBY; RBUY
XK68QNYRQCH8,"AMERICAN BOA, INCORPORATED",6,509370.0,0,
M6ZTA4NZGLQ5,ANDERSON METAL INDUSTRIES INC,13,504963.57,2,CPS PRESSURE CTRL VLV; KIT
CW48SQ7KJX68,"CRAFT MACHINE WORKS, INC.",1,501094.4,1,MECH PARTS MACHINED
XGUEGCF761T9,THE LOUISIANA ASSOCIATION FOR THE BLIND,7,485851.3,1,KIT ASSY NON-SKID
LX5BF78ZTHW4,"Hdt Expeditionary Systems, Inc.",8,485170.0,0,
EEJPJ342F3P1,TABET MANUFACTURING CO INC,7,475860.0,3,SWITCH ASSY COA; SWITCH ASSY; SWITCH ASSY DISCONNECT
FNQSY3S2MCM9,"STS OPERATING, INC.",10,458436.57,0,
TAB4FBLR5UM1,ANIXTER INC.,7,455355.4,1,LOCKS KEYS TAGS
HA3GWLK3JK58,Evoqua Water Technologies LLC,2,453718.0,0,
LSGYNGHKB863,DEBAN ENTERPRISES INC,10,450605.0,0,
GNFJGT9MKJW5,"CONNECTICUT VALLEY INDUSTRIES, LLC",4,450329.0,1,VISUAL LANDING AIDS
FX3GHG9B79N5,"TC/AMERICAN MONORAIL, INC.",1,449000.0,1,DDGFYS PAS
QH1NZM6TK6C9,"TEATR MUZYKI I POEZII P/R E.KAMBUROVOI, GBU",4,436857.04,1,LPD
HYN4GBTR6TF3,GULF COAST MARINE SUPPLY CO,7,424677.44,1,CDR-
FWF8QBPCGLG3,GENERAL TOOL COMPANY,6,417536.0,0,
