vintage,pb_year,li,class,category,is_total,fy,value_$M
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (7) - SHIPYARD MANUFACTURED ITEMS CONTINUOUS PRODUCTION,yes,2027,37.618
FY23,2023,1045,Columbia,NUCLEAR PROPULSION PLANT EQUIPMENT (8),yes,2021,816.737
FY23,2023,1045,Columbia,NUCLEAR PROPULSION PLANT EQUIPMENT (8),yes,2022,797.262
FY23,2023,1045,Columbia,NUCLEAR PROPULSION PLANT EQUIPMENT (8),yes,2023,772.686
FY23,2023,1045,Columbia,NUCLEAR PROPULSION PLANT EQUIPMENT (8),yes,2024,1259.684
FY23,2023,1045,Columbia,NUCLEAR PROPULSION PLANT EQUIPMENT (8),yes,2025,1267.857
FY23,2023,1045,Columbia,NUCLEAR PROPULSION PLANT EQUIPMENT (8),yes,2026,1282.928
FY23,2023,1045,Columbia,NUCLEAR PROPULSION PLANT EQUIPMENT (8),yes,2027,1302.451
FY23,2023,1045,Columbia,HM&E (9),yes,2021,3.100
FY23,2023,1045,Columbia,HM&E (9),yes,2022,42.857
FY23,2023,1045,Columbia,HM&E (9),yes,2023,86.285
FY23,2023,1045,Columbia,HM&E (9),yes,2024,66.824
FY23,2023,1045,Columbia,HM&E (9),yes,2025,68.408
FY23,2023,1045,Columbia,HM&E (9),yes,2026,70.030
FY23,2023,1045,Columbia,HM&E (9),yes,2027,71.689
FY23,2023,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (10) - LLTM,yes,2021,1.912
FY23,2023,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (10) - LLTM,yes,2022,71.094
FY23,2023,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (10) - LLTM,yes,2023,111.407
FY23,2023,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (10) - LLTM,yes,2024,71.867
FY23,2023,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (10) - LLTM,yes,2025,135.115
FY23,2023,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (10) - LLTM,yes,2026,103.017
FY23,2023,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (10) - LLTM,yes,2027,130.849
FY23,2023,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (11) - ECONOMIC ORDER QUANTITY,yes,2021,1.540
FY23,2023,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (11) - ECONOMIC ORDER QUANTITY,yes,2022,9.811
FY23,2023,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (11) - ECONOMIC ORDER QUANTITY,yes,2023,0.641
FY23,2023,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (11) - ECONOMIC ORDER QUANTITY,yes,2024,9.290
FY23,2023,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (11) - ECONOMIC ORDER QUANTITY,yes,2025,2.550
FY23,2023,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (11) - ECONOMIC ORDER QUANTITY,yes,2026,2.255
FY23,2023,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (11) - ECONOMIC ORDER QUANTITY,yes,2027,3.848
FY23,2023,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (12) - CONTINUOUS PRODUCTION,yes,2021,4.412
FY23,2023,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (12) - CONTINUOUS PRODUCTION,yes,2022,52.503
FY23,2023,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (12) - CONTINUOUS PRODUCTION,yes,2023,97.281
FY23,2023,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (12) - CONTINUOUS PRODUCTION,yes,2024,96.883
FY23,2023,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (12) - CONTINUOUS PRODUCTION,yes,2025,84.877
FY23,2023,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (12) - CONTINUOUS PRODUCTION,yes,2026,110.255
FY23,2023,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (12) - CONTINUOUS PRODUCTION,yes,2027,124.611
FY23,2023,1045,Columbia,ELECTRONICS (13),yes,2022,8.097
FY23,2023,1045,Columbia,ELECTRONICS (13),yes,2023,26.587
FY23,2023,1045,Columbia,ELECTRONICS (13),yes,2024,8.430
FY23,2023,1045,Columbia,ELECTRONICS (13),yes,2025,36.254
FY23,2023,1045,Columbia,ELECTRONICS (13),yes,2026,36.978
FY23,2023,1045,Columbia,ELECTRONICS (13),yes,2027,39.685
FY23,2023,1045,Columbia,TOTAL: Advance Procurement / Obligation Authority,grand,2021,1253.175
FY23,2023,1045,Columbia,TOTAL: Advance Procurement / Obligation Authority,grand,2022,1773.980
FY23,2023,1045,Columbia,TOTAL: Advance Procurement / Obligation Authority,grand,2023,2778.553
FY23,2023,1045,Columbia,TOTAL: Advance Procurement / Obligation Authority,grand,2024,3374.988
FY23,2023,1045,Columbia,TOTAL: Advance Procurement / Obligation Authority,grand,2025,3881.211
FY23,2023,1045,Columbia,TOTAL: Advance Procurement / Obligation Authority,grand,2026,3479.344
FY23,2023,1045,Columbia,TOTAL: Advance Procurement / Obligation Authority,grand,2027,3833.427
FY23,2023,2013,Virginia,Nuclear Propulsion Plant Equipment LLTM,subitem,2021,883.115
FY23,2023,2013,Virginia,Nuclear Propulsion Plant Equipment LLTM,subitem,2022,1121.470
FY23,2023,2013,Virginia,Nuclear Propulsion Plant Equipment LLTM,subitem,2023,1004.950
FY23,2023,2013,Virginia,Nuclear Propulsion Plant Equipment LLTM,subitem,2024,1035.070
FY23,2023,2013,Virginia,Nuclear Propulsion Plant Equipment LLTM,subitem,2025,1066.120
FY23,2023,2013,Virginia,Nuclear Propulsion Plant Equipment LLTM,subitem,2026,1097.900
FY23,2023,2013,Virginia,Nuclear Propulsion Plant Equipment LLTM,subitem,2027,1130.900
FY23,2023,2013,Virginia,Electronics Equipment LLTM,subitem,2021,30.540
FY23,2023,2013,Virginia,Electronics Equipment LLTM,subitem,2022,31.150
FY23,2023,2013,Virginia,Electronics Equipment LLTM,subitem,2023,31.774
FY23,2023,2013,Virginia,Electronics Equipment LLTM,subitem,2024,32.408
FY23,2023,2013,Virginia,Electronics Equipment LLTM,subitem,2025,33.056
FY23,2023,2013,Virginia,Electronics Equipment LLTM,subitem,2026,33.718
FY23,2023,2013,Virginia,Electronics Equipment LLTM,subitem,2027,34.392
FY23,2023,2013,Virginia,Long Lead-Time CFE One Year AP,subitem,2021,542.188
FY23,2023,2013,Virginia,Long Lead-Time CFE One Year AP,subitem,2022,533.556
FY23,2023,2013,Virginia,Long Lead-Time CFE One Year AP,subitem,2023,723.879
FY23,2023,2013,Virginia,Long Lead-Time CFE One Year AP,subitem,2024,568.213
FY23,2023,2013,Virginia,Long Lead-Time CFE One Year AP,subitem,2025,820.075
FY23,2023,2013,Virginia,Long Lead-Time CFE One Year AP,subitem,2026,598.620
FY23,2023,2013,Virginia,Long Lead-Time CFE One Year AP,subitem,2027,611.171
FY23,2023,2013,Virginia,Advance Procurement,yes,2021,1745.767
FY23,2023,2013,Virginia,Advance Procurement,yes,2022,2105.407
FY23,2023,2013,Virginia,Advance Procurement,yes,2023,2025.651
FY23,2023,2013,Virginia,Advance Procurement,yes,2024,1855.467
FY23,2023,2013,Virginia,Advance Procurement,yes,2025,2214.983
FY23,2023,2013,Virginia,Advance Procurement,yes,2026,2050.264
FY23,2023,2013,Virginia,Advance Procurement,yes,2027,2256.373
FY23,2023,2013,Virginia,Economic Order of Quantity,yes,2021,427.420
FY23,2023,2013,Virginia,Economic Order of Quantity,yes,2024,1088.028
FY23,2023,2013,Virginia,Economic Order of Quantity,yes,2025,973.761
FY23,2023,2013,Virginia,Economic Order of Quantity,yes,2026,471.908
FY23,2023,2013,Virginia,TOTAL: Advance Procurement / Obligation Authority,grand,2021,2173.187
FY23,2023,2013,Virginia,TOTAL: Advance Procurement / Obligation Authority,grand,2022,2105.407
FY23,2023,2013,Virginia,TOTAL: Advance Procurement / Obligation Authority,grand,2023,2025.651
FY23,2023,2013,Virginia,TOTAL: Advance Procurement / Obligation Authority,grand,2024,2943.495
FY23,2023,2013,Virginia,TOTAL: Advance Procurement / Obligation Authority,grand,2025,3188.744
FY23,2023,2013,Virginia,TOTAL: Advance Procurement / Obligation Authority,grand,2026,2522.172
FY23,2023,2013,Virginia,TOTAL: Advance Procurement / Obligation Authority,grand,2027,2256.373
FY24,2024,1045,Columbia,PLANS,yes,2022,110.000
FY24,2024,1045,Columbia,PLANS,yes,2023,541.000
FY24,2024,1045,Columbia,PLANS,yes,2024,400.000
FY24,2024,1045,Columbia,PLANS,yes,2025,395.000
FY24,2024,1045,Columbia,PLANS,yes,2026,151.000
FY24,2024,1045,Columbia,PLANS,yes,2027,149.894
FY24,2024,1045,Columbia,PLANS,yes,2028,20.361
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (3) - SHIPBUILDER PROCURED LLTM,yes,2022,225.550
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (3) - SHIPBUILDER PROCURED LLTM,yes,2023,564.070
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (3) - SHIPBUILDER PROCURED LLTM,yes,2024,364.957
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (3) - SHIPBUILDER PROCURED LLTM,yes,2025,594.091
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (3) - SHIPBUILDER PROCURED LLTM,yes,2026,452.697
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (3) - SHIPBUILDER PROCURED LLTM,yes,2027,704.787
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (3) - SHIPBUILDER PROCURED LLTM,yes,2028,886.907
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (4) - MISSILE TUBE CONTINUOUS PRODUCTION & OUTFITTING,yes,2022,177.391
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (4) - MISSILE TUBE CONTINUOUS PRODUCTION & OUTFITTING,yes,2023,221.311
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (4) - MISSILE TUBE CONTINUOUS PRODUCTION & OUTFITTING,yes,2024,174.136
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (4) - MISSILE TUBE CONTINUOUS PRODUCTION & OUTFITTING,yes,2025,216.389
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (4) - MISSILE TUBE CONTINUOUS PRODUCTION & OUTFITTING,yes,2026,261.305
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (4) - MISSILE TUBE CONTINUOUS PRODUCTION & OUTFITTING,yes,2027,297.420
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (4) - MISSILE TUBE CONTINUOUS PRODUCTION & OUTFITTING,yes,2028,301.624
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (5) - ADVANCE CONSTRUCTION,yes,2022,87.060
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (5) - ADVANCE CONSTRUCTION,yes,2023,184.669
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (5) - ADVANCE CONSTRUCTION,yes,2024,124.678
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (5) - ADVANCE CONSTRUCTION,yes,2025,608.727
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (5) - ADVANCE CONSTRUCTION,yes,2026,583.783
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (5) - ADVANCE CONSTRUCTION,yes,2027,623.336
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (5) - ADVANCE CONSTRUCTION,yes,2028,638.378
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (6) - EOQ IN SUPPORT OF MULTI PROGRAM PROCUREMENT,yes,2022,166.419
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (6) - EOQ IN SUPPORT OF MULTI PROGRAM PROCUREMENT,yes,2023,140.871
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (6) - EOQ IN SUPPORT OF MULTI PROGRAM PROCUREMENT,yes,2024,769.628
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (6) - EOQ IN SUPPORT OF MULTI PROGRAM PROCUREMENT,yes,2025,476.141
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (6) - EOQ IN SUPPORT OF MULTI PROGRAM PROCUREMENT,yes,2026,379.612
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (6) - EOQ IN SUPPORT OF MULTI PROGRAM PROCUREMENT,yes,2027,172.643
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (6) - EOQ IN SUPPORT OF MULTI PROGRAM PROCUREMENT,yes,2028,175.213
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (7) - SHIPYARD MANUFACTURED ITEMS CONTINUOUS PRODUCTION,yes,2022,25.936
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (7) - SHIPYARD MANUFACTURED ITEMS CONTINUOUS PRODUCTION,yes,2023,31.745
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (7) - SHIPYARD MANUFACTURED ITEMS CONTINUOUS PRODUCTION,yes,2024,31.607
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (7) - SHIPYARD MANUFACTURED ITEMS CONTINUOUS PRODUCTION,yes,2025,45.692
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (7) - SHIPYARD MANUFACTURED ITEMS CONTINUOUS PRODUCTION,yes,2026,46.155
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (7) - SHIPYARD MANUFACTURED ITEMS CONTINUOUS PRODUCTION,yes,2027,37.618
FY24,2024,1045,Columbia,BASIC CONSTRUCTION (7) - SHIPYARD MANUFACTURED ITEMS CONTINUOUS PRODUCTION,yes,2028,38.923
FY24,2024,1045,Columbia,NUCLEAR PROPULSION PLANT EQUIPMENT (8),yes,2022,797.262
FY24,2024,1045,Columbia,NUCLEAR PROPULSION PLANT EQUIPMENT (8),yes,2023,772.686
FY24,2024,1045,Columbia,NUCLEAR PROPULSION PLANT EQUIPMENT (8),yes,2024,1272.405
FY24,2024,1045,Columbia,NUCLEAR PROPULSION PLANT EQUIPMENT (8),yes,2025,1269.131
FY24,2024,1045,Columbia,NUCLEAR PROPULSION PLANT EQUIPMENT (8),yes,2026,1284.014
FY24,2024,1045,Columbia,NUCLEAR PROPULSION PLANT EQUIPMENT (8),yes,2027,1303.675
FY24,2024,1045,Columbia,NUCLEAR PROPULSION PLANT EQUIPMENT (8),yes,2028,1331.961
FY24,2024,1045,Columbia,HM&E (9),yes,2022,42.857
FY24,2024,1045,Columbia,HM&E (9),yes,2023,86.285
FY24,2024,1045,Columbia,HM&E (9),yes,2024,66.824
FY24,2024,1045,Columbia,HM&E (9),yes,2025,68.408
FY24,2024,1045,Columbia,HM&E (9),yes,2026,70.030
FY24,2024,1045,Columbia,HM&E (9),yes,2027,71.689
FY24,2024,1045,Columbia,HM&E (9),yes,2028,73.387
FY24,2024,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (10) - LLTM,yes,2022,71.094
FY24,2024,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (10) - LLTM,yes,2023,111.407
FY24,2024,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (10) - LLTM,yes,2024,71.867
FY24,2024,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (10) - LLTM,yes,2025,135.115
FY24,2024,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (10) - LLTM,yes,2026,103.017
FY24,2024,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (10) - LLTM,yes,2027,130.849
FY24,2024,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (10) - LLTM,yes,2028,107.845
FY24,2024,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (11) - ECONOMIC ORDER QUANTITY,yes,2022,9.811
FY24,2024,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (11) - ECONOMIC ORDER QUANTITY,yes,2023,0.641
FY24,2024,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (11) - ECONOMIC ORDER QUANTITY,yes,2024,9.297
FY24,2024,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (11) - ECONOMIC ORDER QUANTITY,yes,2025,2.546
FY24,2024,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (11) - ECONOMIC ORDER QUANTITY,yes,2026,2.257
FY24,2024,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (11) - ECONOMIC ORDER QUANTITY,yes,2027,3.852
FY24,2024,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (11) - ECONOMIC ORDER QUANTITY,yes,2028,1.799
FY24,2024,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (12) - CONTINUOUS PRODUCTION,yes,2022,52.503
FY24,2024,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (12) - CONTINUOUS PRODUCTION,yes,2023,97.281
