rank,uei,vendor,amount_M_lifetime,primary_naics,naics_desc,naics_2digit,naics_4digit,naics_sector_label,cage,country,lookup_status
,UR64LG5YKUE8,LYNN LADDER AND SCAFFOLDING CO INC,1.174,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,0PR81,USA,ok
,G58FFJ6F2CA7,GK MECHANICAL SYSTEMS LLC,1.239,336611,Ship Building and Repairing ,33,3366,Manufacturing — Machinery/Electronics/Transport Eq,3BU57,USA,ok
,VD1NLZGAJ2L4,"DURAMAX MARINE, LLC",1.411,326291,Rubber Product Manufacturing for Mechanical Use ,32,3262,Manufacturing — Chemicals/Plastics/Metals,1PNP7,USA,ok
,ZVKEBJ4HQHB8,"HEILIND ELECTRONICS, INC",1.122,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers ",42,4236,Wholesale Trade,1DJ61,USA,ok
,C1H7UWEXRVN7,HOTTINGER BRUEL & KJAER INC.,1.074,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals ,33,3345,Manufacturing — Machinery/Electronics/Transport Eq,1TS68,USA,ok
,HYE2RPK5SHM4,OAKWOOD INDUSTRIES INC,1.073,,,,,Unknown,,,not_found
,KYFUJ83L3UY9,THE TIMKEN COMPANY,1.06,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing ",33,3336,Manufacturing — Machinery/Electronics/Transport Eq,97674,USA,ok
,HNAKLNNSE339,"HOWELL LABORATORIES, INC.",1.048,332710,Machine Shops,33,3327,Manufacturing — Machinery/Electronics/Transport Eq,39UG2,USA,ok
,Y5R2L8HWAUA8,"NAVUS AUTOMATION, INC.",6.643,333998,All Other Miscellaneous General Purpose Machinery Manufacturing ,33,3339,Manufacturing — Machinery/Electronics/Transport Eq,5RQS4,USA,ok
,NKNLZEBJBM67,TRANSDIGM INC,1.035,332912,Fluid Power Valve and Hose Fitting Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,21392,USA,ok
,N1C5QLNPJLS4,DELL FEDERAL SYSTEMS L.P,1.003,334111,Electronic Computer Manufacturing ,33,3341,Manufacturing — Machinery/Electronics/Transport Eq,3XAU1,USA,ok
,GHVMX1DLDAK6,"WURTH REVCAR FASTENERS, INC.",0.994,332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing ",33,3327,Manufacturing — Machinery/Electronics/Transport Eq,7U571,USA,ok
,UNG7G6S4JRA6,"5TH AXIS, LLC",2.918,339999,All Other Miscellaneous Manufacturing ,33,3399,Manufacturing — Machinery/Electronics/Transport Eq,4KCK3,USA,ok
,JA3LXNZMCTA9,KK MOLD DESIGN & MACHINING LLC,0.973,332710,Machine Shops,33,3327,Manufacturing — Machinery/Electronics/Transport Eq,6YQY6,USA,ok
,FQJTKZNF6GY5,THE HILLER COMPANIES LLC,0.969,561990,All Other Support Services,56,5619,Admin/Support/Waste/Remediation,1DA54,USA,ok
,GFBTEVXB65X7,BERKSHIRE HATHAWAY INC.,3.96,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing ,33,3364,Manufacturing — Machinery/Electronics/Transport Eq,6GWD5,USA,ok
,JHPXZQA4R1X1,"BLACK ROCK TECHNOLOGY GROUP, LLC",2.083,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,42,4234,Wholesale Trade,6DM82,USA,ok
,RJGEKQDTZKT8,ELECTRIC HEATER CO,0.923,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing ,33,3334,Manufacturing — Machinery/Electronics/Transport Eq,19857,USA,ok
,LW88Z8MMJHT3,"INSIGHT GLOBAL, LLC",0.795,561320,Temporary Help Services,56,5613,Admin/Support/Waste/Remediation,4RWP7,USA,ok
,EDNNTCM7SUS8,"IMIA, LLC",0.906,336611,Ship Building and Repairing ,33,3366,Manufacturing — Machinery/Electronics/Transport Eq,50VU1,USA,ok
,UR5TFK3LAVL5,FEDERAL RESOURCES SUPPLY COMPANY,1.041,339999,All Other Miscellaneous Manufacturing ,33,3399,Manufacturing — Machinery/Electronics/Transport Eq,1Q3Z9,USA,ok
,RK6GKSXPC8W7,ARNOLD MAGNETICS CORPORATION,3.174,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing ,33,3359,Manufacturing — Machinery/Electronics/Transport Eq,04879,USA,ok
,QLTXH525A671,"RAPID PREP, LLC",2.235,532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing ,53,5324,Real Estate & Rental,4JWY4,USA,ok
,V627Y8NS1JM1,"MILCOTS, LLC",2.978,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing ,33,3341,Manufacturing — Machinery/Electronics/Transport Eq,5ACD8,USA,ok
,S9FENR91JGV9,THE CARONDELET FOUNDRY CORPORATION,0.868,331513,Steel Foundries (except Investment) ,33,3315,Manufacturing — Machinery/Electronics/Transport Eq,4Y861,USA,ok
,EK4EVQQNEFC6,"HEXAGON MANUFACTURING INTELLIGENCE, INC.",0.829,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables ",33,3345,Manufacturing — Machinery/Electronics/Transport Eq,1WUK4,USA,ok
,M35SG6PKLJB3,"ALASKAN COPPER COMPANIES, INC.",0.823,332996,Fabricated Pipe and Pipe Fitting Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,5M429,USA,ok
,VUA5GYK66K98,CHAPCO INC,0.811,332322,Sheet Metal Work Manufacturing ,33,3323,Manufacturing — Machinery/Electronics/Transport Eq,8S006,USA,ok
,TJCDPVN6RNP7,Dell Technologies Inc.,0.868,,,,,Unknown,,,not_found
,SN8JQ8XJ55N9,"LOVEJOY, LLC",0.801,333613,Mechanical Power Transmission Equipment Manufacturing ,33,3336,Manufacturing — Machinery/Electronics/Transport Eq,83529,USA,ok
,P33VWHC39MN5,"ADMIRAL VALVE, LLC",1.608,332912,Fluid Power Valve and Hose Fitting Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,99565,USA,ok
,MEQJENNPRLG9,"MASS CRANE & HOIST SERVICES, INC",0.789,333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing ",33,3339,Manufacturing — Machinery/Electronics/Transport Eq,1TJK2,USA,ok
,VERVZNQLJQM6,ABRASIVE FINISHING INDUSTRIES LLC,0.78,,,,,Unknown,,,not_found
,GFSJF2WNK1E1,SCHNEIDER ELECTRIC SE,2.191,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables ",33,3345,Manufacturing — Machinery/Electronics/Transport Eq,1MHW8,USA,ok
,G8VYMKM2VG59,"NORTH AMERICAN CONTROLS, INC.",1.306,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing ",33,3369,Manufacturing — Machinery/Electronics/Transport Eq,0VUL5,USA,ok
,CE4UBZFNCKU9,"MOHAWK NORTHEAST, INC.",0.833,237990,Other Heavy and Civil Engineering Construction ,23,2379,Construction,1QLQ9,USA,ok
,VJFKVNQBYVL5,"GREENE RUBBER COMPANY, INC.",1.007,326291,Rubber Product Manufacturing for Mechanical Use ,32,3262,Manufacturing — Chemicals/Plastics/Metals,73801,USA,ok
,J632BG3ZB8L9,"TTM TECHNOLOGIES, INC.",0.704,334412,Bare Printed Circuit Board Manufacturing  ,33,3344,Manufacturing — Machinery/Electronics/Transport Eq,5L706,USA,ok
,EKY1E33VMH27,"UNITED RENTALS (NORTH AMERICA), INC.",0.702,532490,OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING,53,5324,Real Estate & Rental,1KK86,USA,ok
