prime_piid,prime_agency_id,prime_referenced_idv_piid,prime_recipient,sub_award_report_id,sub_award_number,amount_type,amount,dollars_basis,sub_action_date,fiscal_year,submitted_date,sub_entity_name,sub_entity_uei,sub_parent_uei,sub_parent_name,sub_description,prime_naics,capability_node,source_system,source_id,extract_run_id,row_hash
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29742494,M17476-1,subaward,42707.0,then_year,2025-04-08,2025,2025-11-26,"ROBICHAUX AUTOMATION AND CONTROL, INCORPORATED",GL52MNUHMZ23,,,"Post Delivery Support and IECSS Troubleshooting
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,73b0bfcbcbe35e7d
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29742440,M18296-1,subaward,34179.14,then_year,2025-05-20,2025,2025-11-26,"ROBICHAUX AUTOMATION AND CONTROL, INCORPORATED",GL52MNUHMZ23,,,"Onsite Support
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,c65d9565de5d55ad
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29742412,M17229,subaward,79968.0,then_year,2025-03-26,2025,2025-11-26,"RAYKON SOLUTIONS, LLC",M2ATTJWSGFH6,,,"Manual MRP and M&S Support for Production Program
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,fa13f728721bc8a7
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29742410,M18765,subaward,286039.39,then_year,2025-09-25,2025,2025-11-26,"PACIFIC POWER GROUP, LLC",VCWRFP45TJA9,,,"Engine Accessories
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,d26e6148074ea52b
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29742406,M18506,subaward,49343.47,then_year,2025-06-11,2025,2025-11-26,"PACIFIC POWER GROUP, LLC",VCWRFP45TJA9,,,"MSVL Engine Installation
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,b0abca7f761fa40d
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29742403,M18291,subaward,39891.0,then_year,2025-03-21,2025,2025-11-26,"PACIFIC POWER GROUP, LLC",VCWRFP45TJA9,,,"Onsite Support
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,695f68f66324b2d8
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29742398,M18745,subaward,34752.62,then_year,2025-09-02,2025,2025-11-26,"PACIFIC POWER GROUP, LLC",VCWRFP45TJA9,,,"ROUTER FOR COPPER CABLES
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,9ebb5020282922a5
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29742397,M15382,subaward,101397.62,then_year,2025-09-04,2025,2025-11-26,NORTHROP GRUMMAN SYSTEMS CORPORATION,FLFWQK6517M3,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,"Onsite Support
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,0c67542de484ea39
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29742390,M18503,subaward,518315.72,then_year,2025-06-10,2025,2025-11-26,"MARISCO, LTD.",PM2FDF7CCNC2,,,"Clean, Restoration, and Repair service
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,072559b0170e797b
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29742383,M18288,subaward,48054.42,then_year,2025-03-20,2025,2025-11-26,"MARISCO, LTD.",PM2FDF7CCNC2,,,"Berth, Shore power, and Fresh Watter Connections
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,0f84df365db03bde
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29742376,M18927,subaward,46461.0,then_year,2025-10-15,2026,2025-11-26,"MARISCO, LTD.",PM2FDF7CCNC2,,,"EMD mast Repair
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,374cac37ce6e7a4b
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29742373,M18771,subaward,189719.49,then_year,2025-09-05,2025,2025-11-26,MARINE JET POWER INC,DV4GC4LJ1AW3,DV4GC4LJ1AW3,MARINE JET POWER INC,"41978 Cylinder 750 DRB Steer 100/65-358
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,ef1e34e9501823fa
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29742368,M18545,subaward,88774.26,then_year,2025-07-25,2025,2025-11-26,MARINE JET POWER INC,DV4GC4LJ1AW3,DV4GC4LJ1AW3,MARINE JET POWER INC,"Onsite Support
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,af8f6f407004f8db
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29742361,M18772,subaward,56231.42,then_year,2025-09-05,2025,2025-11-26,MARINE JET POWER INC,DV4GC4LJ1AW3,DV4GC4LJ1AW3,MARINE JET POWER INC,"Pump, Axial Piston, WaterJets,
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,31867ed8d57fb920
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29742357,M19009,subaward,287126.0,then_year,2025-10-29,2026,2025-11-26,ILS CONSULTANTS LLC,F54EQD5J38C5,,,"Consulting Service
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,c4b0ccfcb4a7c5ba
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29742350,M12697-1,subaward,61261.96,then_year,2025-09-12,2025,2025-11-26,"CHAND, L.L.C.",J8ATNVMEGLK1,J8ATNVMEGLK1,"CHAND, L.L.C.","Technical Manual and Training
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,c9440070348399f8
0001,9700,W56HZV17D0086,VIGOR WORKS LLC,29742336,M18504,subaward,49850.0,then_year,2025-06-10,2025,2025-11-26,BRONSWERK MARINE CORPORATION,DX93N5ALFEC8,,,"Survey Service
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,127efef4abf68a6b
W912CH24FL062,9700,W56HZV21DL031,HII FLEET SUPPORT GROUP LLC,29385179,S212485N15 CO10,subaward,6187.74,then_year,2025-03-06,2025,2025-07-07,"DELPHINUS ENGINEERING, INC.",KF3NGNBNQ271,KF3NGNBNQ271,"DELPHINUS ENGINEERING, INC.","Emergency Repairs to the US Army Vessel, Landing Craft Utility (LCU) 2017 | Provide troubleshooting, diagnostics, and repair services on LCU 2017 supporting completion of tasks outlined in sections C.301, C.305, C.306, and M.301 in and in accordance with Work Specification for LCU 2017 _Rev1 and Sta",488390,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,8be6b1b930eddcf6
W912CH24FL062,9700,W56HZV21DL031,HII FLEET SUPPORT GROUP LLC,21914473,S212485N15,subaward,8606.66,then_year,2025-01-15,2025,2025-02-19,"DELPHINUS ENGINEERING, INC.",KF3NGNBNQ271,KF3NGNBNQ271,"DELPHINUS ENGINEERING, INC.",Other Support Activities for Water Transportation,488390,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,7ad85664c6f4ad90
W56HZV24F0026,9700,W56HZV23D0017,DCS CORPORATION,30161654,260918,subaward,88268.4,then_year,2026-03-19,2026,2026-04-30,"FORANNE MANUFACTURING, INC",MHALNPNAJH16,MHALNPNAJH16,"FORANNE MANUFACTURING, INC","Cable Shield Ground ADAP""3"" SS; SEEPA ""C"" Stuffing Tube; SEEPA ""D"" Stuffing Tube;",541330,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,5368720257d6a777
W56HZV24F0026,9700,W56HZV23D0017,DCS CORPORATION,29588245,257636,subaward,107436.0,then_year,2025-09-11,2025,2025-09-28,COMROD INC,CSU4UK5CNUX1,P3MDPXTW8Z49,COMROD,Triband antenna,541330,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,dd5af43e7264bd49
W56HZV24F0026,9700,W56HZV23D0017,DCS CORPORATION,29588239,257714,subaward,135048.0,then_year,2025-09-05,2025,2025-09-28,"L3HARRIS TECHNOLOGIES, INC.",LB5KVANFKPY7,SJULQDJ8NZU7,"L3HARRIS TECHNOLOGIES, INC","Power supply, cable assembly, shock mt assembly",541330,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,6d454ff6f7f587e3
W56HZV24F0026,9700,W56HZV23D0017,DCS CORPORATION,29588211,257762,subaward,858290.0,then_year,2025-09-04,2025,2025-09-28,"CURTISS-WRIGHT DS, INC.",V329X3PJGJB3,,,"PacStar w/Cisco Blackheart ESR, Small Form Factor GIG-E, Software P2400, PS200 router upgrade",541330,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,c8c3c2f908672607
W56HZV24F0026,9700,W56HZV23D0017,DCS CORPORATION,29023236,255730,subaward,119690.0,then_year,2025-03-07,2025,2025-03-20,"PACIFIC STAR COMMUNICATIONS, INC.",P4EGSZ1KNMN9,,,"ESR 6300 Network Essentials, PS400, PS200 Upgrade, GIG-E Switch module",541330,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,729473dec8dcbce1
W912BU19C0048,9700,,"METAL TRADES, LLC",21906189,536,subaward,600750.0,then_year,2021-08-02,2021,2019-10-28,"STEVENS TOWING CO., INC.",CNTXSVDD5XT5,,,Towing from MTI to Cleveland (quote is subject to change),336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,5fcb63472aa1300a
W912BU19C0048,9700,,"METAL TRADES, LLC",21906188,536,subaward,76000.0,then_year,2019-10-10,2020,2019-10-28,BRISTOL HARBOR GROUP,G5W8NZNYN1P6,,,Engineering ,336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,61236ef39cb14547
W56HZV20F0192,9700,W56HZV18D0077,NOBLIS MSD LLC,21747476,0077190081,subaward,36672.52,then_year,2021-05-28,2021,2021-06-30,HII FLEET SUPPORT GROUP LLC,VGCPT3NSM831,F9SDJAZFTLG6,"HUNTINGTON INGALLS INDUSTRIES, INC.",Acoustic Hailing Device,541330,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,89355963a778556d
W912CH25F0041,9700,W56HZV17D0086,VIGOR WORKS LLC,29994801,M19501,subaward,832181.61,then_year,2026-02-06,2026,2026-03-02,ITEN DEFENSE LLC,GFJ6HN3NNEQ5,,,"BALLISTIC ARMOR, OPAQUE
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,ad13d805d16861ac
W912CH25F0041,9700,W56HZV17D0086,VIGOR WORKS LLC,29994799,M19498,subaward,677041.6,then_year,2026-02-06,2026,2026-03-02,ITEN DEFENSE LLC,GFJ6HN3NNEQ5,,,"BALISTIC ARMOR, TRANSPARENT,
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,fd9a0ff696889b8f
W912CH25F0041,9700,W56HZV17D0086,VIGOR WORKS LLC,29994796,M19555,subaward,695644.95,then_year,2026-02-20,2026,2026-03-02,"TELEDYNE FLIR DEFENSE, INC.",G7WGK6L5ES76,,,"Cable Assembly and Electronics
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,ce7997a7aebc50f6
W912CH25F0041,9700,W56HZV17D0086,VIGOR WORKS LLC,29919509,M18272,subaward,3739421.0,then_year,2025-03-07,2025,2026-02-03,"PACIFIC POWER GROUP, LLC",VCWRFP45TJA9,,,"MTU Engines
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,834f13aacf6429cb
W912CH25F0041,9700,W56HZV17D0086,VIGOR WORKS LLC,29919375,M19324,subaward,483765.0,then_year,2026-01-09,2026,2026-02-03,AMERICAN BUREAU OF SHIPPING,MMU8RZF8HMH9,MMU8RZF8HMH9,AMERICAN BUREAU OF SHIPPING,"Classification Service
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,9a5059046a7562a8
W56HZV21F0381,9700,W56HZV17D0086,VIGOR WORKS LLC,30084632,M19790,subaward,41051.0,then_year,2026-04-02,2026,2026-04-07,"MILPOWER SOURCE, INC.",M44TGLVY8LQ1,,,"ELECTRONICS, POWER SUPPLY, 24 VDC OUTPUT, 355-485 VAC INPUT, 2640W, MILPOWER M9204-102
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,00baf508d52a3dd2
W56HZV21F0381,9700,W56HZV17D0086,VIGOR WORKS LLC,30084626,M19753,subaward,46973.64,then_year,2026-03-26,2026,2026-04-07,"WESTERN INTEGRATED TECHNOLOGIES, INC.",DHG4LHMMFKU4,XKRMZCLZL2K3,"Western Integrated Technologies, LLC","FITTING HOSE, JIC FLARE, 316, .750 CRIMP x .750 FJX, SHORT DROP 90 DEG, PARKER 77 SERIES 13977-12-12C
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,7ea970684b29d20b
W56HZV21F0381,9700,W56HZV17D0086,VIGOR WORKS LLC,30084624,M17763,subaward,51315.0,then_year,2026-03-11,2026,2026-04-07,GIBBS & COX INC,FP4RE6MMV6P8,ZL41ERXMPAR3,"LEIDOS HOLDINGS, INC.","T&M Line for Onsite Support
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,ba1f1494e806bfe9
W56HZV21F0381,9700,W56HZV17D0086,VIGOR WORKS LLC,30084623,M17779,subaward,59931.48,then_year,2026-03-20,2026,2026-04-07,NORTHROP GRUMMAN SYSTEMS CORPORATION,FLFWQK6517M3,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,"""NGSC On-site support of C5N equipment installation - Letter MGP-26-30635-01 

Northrop Grumman Systems Corporation (NGSC), is pleased to provide this Time and Material (T&M) proposal to Vigor Works, LLC (Vigor), as requested via References (a), for Northrop Grumman on-site support of C5N equipment ",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,b2ab4d6f93b80c96
W56HZV21F0381,9700,W56HZV17D0086,VIGOR WORKS LLC,30084620,M19320,subaward,70406.1,then_year,2026-03-20,2026,2026-04-07,"JR MERIT, INC.",GDL7K7FPEC13,,,"""LRIP-1 Handrail Fabrication – JR Merit Change Event #002
JR Merit is pleased to provide our proposal for procurement of additional labor and materials to complete the
fabrication work for the LRIP-1 Handrail Project. Our proposal for the subject matter project is as follows
based on Time and Materi",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,41a090d725b6fcff
W56HZV21F0381,9700,W56HZV17D0086,VIGOR WORKS LLC,30084618,M19600,subaward,236314.0,then_year,2026-03-05,2026,2026-04-07,QUALITY MARINE RESOURCES INC,JMZ4KVYLJW13,SY9KXMJAZ3Q8,QUALITY MARINE RESOURCES INC,"""QMR offers billing rate $103.50 per man hour.
Materials, or fittings required to adapt the piping to QMR flushing equipment, will be charged as they are procured. 
Estimated cost to accomplish this scope 1912 MH @ $103.50. Materials as defined on the quote $38,422.00.

Provide pressure testing with",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,badd0dd185f43c1c
W56HZV21F0381,9700,W56HZV17D0086,VIGOR WORKS LLC,30084615,M18680,subaward,256841.74,then_year,2026-03-03,2026,2026-04-07,"JR MERIT, INC.",GDL7K7FPEC13,,,"""11731-99820 – JR Merit Change Event #98 11731-25600-411-C – Sea Water Cooling Production Booklet – Unit 1 Rev. C
Booklet Name: 11731-25600-411-C
 Sea Water Cooling Production Booklet – Unit 1 Rev. C
Inclusions:
• Fabrication Labor: $ 86,642.50
• Pressure Testing Labor: $ 11,746.87
• Pressure Testin",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,a7b1d411e7e0ca03
W56HZV21F0381,9700,W56HZV17D0086,VIGOR WORKS LLC,30084613,M19269,subaward,389519.2,then_year,2026-03-31,2026,2026-04-07,MARITIME TECHNOLOGY GROUP INC,KG7ATM3AJ826,,,"Maritime Technology Group, Inc. (MTG) - Redline Assessment
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,273577132a46ee24
W56HZV21F0381,9700,W56HZV17D0086,VIGOR WORKS LLC,29994531,M19473,subaward,59228.75,then_year,2026-02-04,2026,2026-03-02,THE SHERWIN-WILLIAMS COMPANY,YJYCG49SBFL1,GAJ1F3WQCWY5,THE SHERWIN-WILLIAMS COMPANY,"Paint
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,d02e889e4a62b0b5
W56HZV21F0381,9700,W56HZV17D0086,VIGOR WORKS LLC,29994530,M19291,subaward,80308.0,then_year,2026-02-20,2026,2026-03-02,"THE HILLER COMPANIES, LLC",SSD8KRDXKG46,,,"ECR 2 Revise 11731-55500-001_I_Gaseous Fire Fighting Schematic_ and 11731-55500-014_J_Fixed_Gas_Extinguishing_Sys_Arrgt_CDRL_A023 to include the background 
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,81e70755835cf259
W56HZV21F0381,9700,W56HZV17D0086,VIGOR WORKS LLC,29994501,M19567,subaward,30367.92,then_year,2026-02-23,2026,2026-03-02,TORK SYSTEMS INC,QMXJLLJZ5QY4,SDD9PKYQAXZ7,TORK SYSTEMS INCORPORATED,"VALVE, BALL, BRONZE, 1.500, CUNI END PIECES, TITANIUM BALL, SILVER BRAZE END PIECES, STRAIGHT CONFIGURATION, PER NAVSEA 803-5001003;  1-1/2 BRZ 700 SW 3-PC BALL VALVE TI BALL CUNI ENDS 90/10
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,9a442b94ab02ff7c
W56HZV21F0381,9700,W56HZV17D0086,VIGOR WORKS LLC,29994500,M19487,subaward,420400.0,then_year,2026-02-05,2026,2026-03-02,MARITIME TECHNOLOGY GROUP INC,KG7ATM3AJ826,,,"Onsite Compartment Lead support at Vigor’s Vancouver facility for work on the MSVL program. 
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,8950369bb46beab6
W56HZV21F0381,9700,W56HZV17D0086,VIGOR WORKS LLC,29994498,M18800,subaward,69698.6,then_year,2026-02-26,2026,2026-03-02,ITEN DEFENSE LLC,GFJ6HN3NNEQ5,,,"Ballistic Test Coupons 
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,b57f02b3abde0513
W56HZV21F0381,9700,W56HZV17D0086,VIGOR WORKS LLC,29994495,M19529,subaward,50730.0,then_year,2026-02-13,2026,2026-03-02,"GENUINE CABLE GROUP, LLC",EP6JXEP15RF3,EP6JXEP15RF3,"GENUINE CABLE GROUP, LLC","CABLE, ANNEALED COPPER, 1 CONDUCTOR, 650 MCM, LOW SMOKE, 1kV, M24643/14-07UN, LSSSGU-650
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,420ee59cd3cb2d0b
W56HZV21F0381,9700,W56HZV17D0086,VIGOR WORKS LLC,29919138,M19446,subaward,59567.38,then_year,2026-01-29,2026,2026-02-03,HARDWARE SPECIALTY CO. INC,PP5UU6N2GGK9,,,"Cables
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,1fed460e55db11f4
W56HZV21F0381,9700,W56HZV17D0086,VIGOR WORKS LLC,29919137,M19440,subaward,58060.0,then_year,2026-01-29,2026,2026-02-03,"RAINIER INDUSTRIES, LIMITED",V4GCDMHW9SF5,V4GCDMHW9SF5,"RAINIER INDUSTRIES, LIMITED","Overhead Protection 
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,f76ff0ca8178dbfc
W56HZV21F0381,9700,W56HZV17D0086,VIGOR WORKS LLC,29919134,M19428,subaward,103500.0,then_year,2026-01-27,2026,2026-02-03,BRONSWERK MARINE CORPORATION,DX93N5ALFEC8,,,"Bronswerk A/C Unit and HVAC system
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,730b30e72f06dab6
W56HZV21F0381,9700,W56HZV17D0086,VIGOR WORKS LLC,29919131,M19425,subaward,41722.57,then_year,2026-01-26,2026,2026-02-03,REXEL USA INC,F4EVAJHGWSU5,F4EVAJHGWSU5,REXEL USA INC,"Siemens Breaker
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,af05226b8f224fca
W56HZV21F0381,9700,W56HZV17D0086,VIGOR WORKS LLC,29919128,M19417,subaward,90000.0,then_year,2026-01-22,2026,2026-02-03,CENTARR CORPORATION,UW7ANGMTBF23,UW7ANGMTBF23,CENTARR CORPORATION,"Blanket Order, Electrical parts for 2026. 
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,95a5fecab79a78e7
W56HZV21F0381,9700,W56HZV17D0086,VIGOR WORKS LLC,29919126,M19403,subaward,47873.0,then_year,2026-01-20,2026,2026-02-03,"THE HILLER COMPANIES, LLC",SSD8KRDXKG46,,,"Fire detection equipment and Engineering for fire detection system
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,304e66981157f99c
W56HZV21F0381,9700,W56HZV17D0086,VIGOR WORKS LLC,29919122,M19378,subaward,18237.32,then_year,2026-01-15,2026,2026-02-03,REXEL USA INC,F4EVAJHGWSU5,F4EVAJHGWSU5,REXEL USA INC,"Breaker and Enclosure
",336611,,sam_subaward,SAM-SUBAWARD,army-contracts-aggregate-2026-06-20,11e4d967f54be81d
