company,fy,quarter,file,category,speaker,matched_phrase,context
HII,2026,1,FY2026_Q1_fool.txt,pct_outsource,Christopher Kastner,30% increase in outsourc,"I'll start, and then I'll kick it over to Kari to talk about Charleston. But yes, we do anticipate 30% increase in outsourcing in 2026 over increases that we had in 2025. We continue to expand our distributed shipbuilding network. Charleston is doing well. As I said, I kick that over to Kari. But from a Hyundai standpoint, we still have -- we're still engaging in discussions with them and evaluating potential. We don't see them in the network right now. for this year that could provide upside if we're able to jointly"
HII,2026,1,FY2026_Q1_fool.txt,our_suppliers,,"our supply chain partners, I am confident we will continue to see improvement in Newport News outcomes","he hard and soft skills they need to do the important work we are asking them to do.

With our 2025 and 2026 successes in hiring, reducing attrition and our continued efforts to enable and strengthen our supply chain partners, I am confident we will continue to see improvement in Newport News outcomes. Now I'll hand the call over to Tom for some remarks on our financial results. Tom?

Thomas Stiehle: Thanks, Kari, and good morning. Let me start by briefly discussing our first quarter results, and then I'll provide some color on our expectations for the remainder of the year. For more detail, please refer to the earnings release issued this morning and posted to our website."
HII,2026,1,FY2026_Q1_fool.txt,our_outsource,,our outsourc,"g catalysts, while the company highlighted medium-term upside from battleship and frigate program developments.

Kastner explained the company's distributed shipbuilding strategy is ""on track to grow our outsourcing hours year over year by 30%,"" supporting customer program delivery.

Wilkinson noted Newport News Shipbuilding's Charleston operations contributed nearly ""0.5 million earned hours of progress"" in its first year, with plans to double throughput in 2026.

Stiehle referenced ""guidance for 2026 is predicated on achieving the shipbuilding throughput improvements that we've outlined as well as reach"
HII,2026,1,FY2026_Q1_insidermonkey.txt,pct_outsource,Christopher Kastner,30% increase in outsourc,"I’ll start, and then I’ll kick it over to Kari to talk about Charleston. But yes, we do anticipate 30% increase in outsourcing in 2026 over increases that we had in 2025. We continue to expand our distributed shipbuilding network. Charleston is doing well. As I said, I kick that over to Kari. But from a Hyundai standpoint, we still have — we’re still engaging in discussions with them and evaluating potential. We don’t see them in the network right now. for this year that could provide upside if we’re able to jointly i"
HII,2026,1,FY2026_Q1_insidermonkey.txt,our_suppliers,,"our supply chain partners, I am confident we will continue to see improvement in Newport News outcomes","e hard and soft skills they need to do the important work we are asking them to do.

 With our 2025 and 2026 successes in hiring, reducing attrition and our continued efforts to enable and strengthen our supply chain partners, I am confident we will continue to see improvement in Newport News outcomes. Now I’ll hand the call over to Tom for some remarks on our financial results. Tom?

Thomas Stiehle: Thanks, Kari, and good morning. Let me start by briefly discussing our first quarter results, and then I’ll provide some color on our expectations for the remainder of the year. For more detail, please refer to the earnings release issued this morning and posted to our website."
GD,2020,1,FY2020_Q1_fool.txt,pct_outsource,Noah Poponak,100% of that from supply chain,"irman and Chief Executive Officer

Hi, Noah.

Noah Poponak -- Goldman Sachs Group -- Analyst

Phebe, is 100% of the Gulfstream delivery and revenue outlook reduction that you've made here today -- is 100% of that from supply chain disruption and inability to fly to deliver airplane disruption and none of it from demand impact?

Phebe N. Novakovic -- Chairman and Chief Executive Officer

It really isn't demand driven. I think I had noted two factors a couple of times. Let me just help reiterate, as I think I've discussed for some detail the supply chain. But we also have some efficiency issues within these plants, within ou"
GD,2020,1,FY2020_Q1_fool.txt,spend_with_suppliers,,$300 million to our supplier,"In fact, as of last week, we had received approximately $65 [Phonetic] million in accelerated payments from our customers and advanced almost $300 million to our suppliers on an accelerated basis.

After all this, we ended the first quarter with a cash balance of $5.3 billion and a net debt position of $12.7 billion, down slightly from this time last year. Our net interest expense in the quarter was $107 million, down from $117 million in the first quarter of 2019 on a lower average outstanding commercial paper balance."
GD,2020,1,FY2020_Q1_fool.txt,our_suppliers,,our suppliers to help sustain our supply base,"accelerated payments coming from some of our customers starting in the month of April in the form of increased progress payment rates and other contract mechanisms, but we've passed those monies onto our suppliers to help sustain our supply base. In fact, as of last week, we had received approximately $65 [Phonetic] million in accelerated payments from our customers and advanced almost $300 million to our suppliers on an accelerated basis.

After all this, we ended the first quarter with a cash balance of $5.3 billion and a net debt position of $12.7 billion, down slightly from this time last year."
GD,2020,1,FY2020_Q1_fool.txt,our_suppliers,,our suppliers entered this crisis somewhat impaired both from exposure to the commercial aviation market and some financial difficulties,"Our reduction in production this year was driven almost exclusively by perturbations in the supply chain. Some of our suppliers entered this crisis somewhat impaired both from exposure to the commercial aviation market and some financial difficulties. The crisis exacerbated that. And even before this all hit, they were having some difficulty keeping up with our original production rate. So we took down production, which we believe helped derisk the current environment and frankly derisk some of '21 as in fact we see weakening demand. But look, with respect to this year's production, you can only go as fast as your weakest link and in your cha"
GD,2020,1,FY2020_Q1_fool.txt,our_suppliers,,our supply chain can keep up with it but also recognizing that it prepares us if in fact demand does increasingly weaken next year to manage that risk as well,"And what we have done is, in the moment, sized our production so that our supply chain can keep up with it but also recognizing that it prepares us if in fact demand does increasingly weaken next year to manage that risk as well. So I think we have bound our risk as well as we possibly can in the moment, understanding what we see.

Operator

The next question comes from Cai von Rumohr with Cowen. Please go ahead.

Cai von Rumohr -- Cowen and Company -- Analyst

Yes. Thank you very much. So a number of dealers we've talked to kind of expect as you indicate that demand should pick up later in the year as kind of COVID impa"
GD,2020,2,FY2020_Q2_fool.txt,supplier_spend,,suppliers to support their liquidity compared with approximately $360 million,"Importantly, operating working capital remained essentially flat during the quarter, even as we've advanced in excess of $1.1 billion to our suppliers to support their liquidity compared with approximately $360 million advanced to us by our customers over the same period.

At this point, we continue to expect free cash flow for the year to be in the range of 80% to 85% of net income. As previously signaled, we repaid the $2.5 billion of notes that matured in May, along with just over $1 billion of our outstanding commercial paper balance, for a total debt repayment in the quarter of $3.5 billion."
GD,2020,3,FY2020_Q3_fool.txt,supplier_spend,Jason Aiken,"suppliers, keep in mind, that's not a cumulative $1.3 billion","The numbers on the payment advances and accelerations from our customers and to our suppliers, keep in mind, that's not a cumulative $1.3 billion of implied pent-up cash on the balance sheet as of the end of the quarter.

As we are accelerating -- this is what I was trying to get into on an earlier question. As we are accelerating cash to suppliers, we're helping keep them going on an ongoing basis from month-to-month and quarter to quarter. So if they've got implicit receivables that are due 60 days from now and we're accelerating that to"
GD,2020,3,FY2020_Q3_fool.txt,spend_with_suppliers,,$1.7 billion to our supplier,"turn, continue to do the same for our supply chain.

Through the end of the third quarter, we've received approximately $400 million of accelerated payments from our customers and advanced more than $1.7 billion to our suppliers. To the extent we eventually see additional relief from our U.S. government customer in the form of incremental contract funds to offset the ongoing impact of COVID to our business, we'll include the benefit of that relief in our results only when it's authorized and funds are made available. As I mentioned earlier, our net debt is down to just below $12 billion, and our interest expense in the"
GD,2020,3,FY2020_Q3_fool.txt,spend_with_suppliers,,$1.7 billion to your supplier,"m superbly on the manufacturing line.

Cai von Rumohr -- Cowen and Company -- Analyst

And then the last one, Jason mentioned you had $400 million in advances COVID cares related and yet you advanced $1.7 billion to your supplier. So that's a delta of like $1.3 billion. When do you expect to recover that? When do you expect that to burn down to near 0?

Jason Aiken -- Chief Financial Officer

So Cai, keep in mind, that's a cumulative number that's been building throughout the year. And so that sort of pays in and then gets phased out and paid in and phased out over time. That said, you'll note, if you look at our cash flo"
GD,2020,3,FY2020_Q3_fool.txt,spend_with_suppliers,,$1.7 billion to those supplier,"And so that kind of comes off the balance sheet naturally.

But cumulatively, we've been accelerating over time for call it the past six -- five, six months in excess of $1.7 billion to those suppliers. So you've got to kind of reconcile that with the -- in the quarter, what was the net build of OWC which speaks to the numbers you were speaking to coming off the cash flow statement. So that's kind of how you reconcile those two concepts.

Operator

And our next question today comes from Joseph DeNardi with Stifel. Please go ahead.

Joseph DeNardi -- Stifel Financial Corp. -- Analyst

Thanks."
GD,2020,3,FY2020_Q3_fool.txt,our_suppliers,,our supply chain as we settle on production and delivery rates for next year,"ue to target free cash flow for the year to be in the 80% to 85% of net income range.

The biggest variable in achieving that mark will be Gulfstream order activity and our ongoing efforts to support our supply chain as we settle on production and delivery rates for next year. You heard Phebe's remarks on that subject. So assuming things continue to trend favorably as we've seen of late, we've got a path to close on our cash target for the year. On the defense side, our Pentagon customer continues to lean forward with accelerated contract payments to support the industrial base and we, in turn, continue to do the same for our supply chain."
GD,2020,3,FY2020_Q3_fool.txt,our_suppliers,,our supply chain,"On the defense side, our Pentagon customer continues to lean forward with accelerated contract payments to support the industrial base and we, in turn, continue to do the same for our supply chain.

Through the end of the third quarter, we've received approximately $400 million of accelerated payments from our customers and advanced more than $1.7 billion to our suppliers. To the extent we eventually see additional relief from our U.S. government customer in the form of incremental contract funds to offset the ongoing impact of COVID to our business, we'll include the benefit of that relie"
GD,2020,3,FY2020_Q3_fool.txt,our_suppliers,,our suppliers,"to do the same for our supply chain.

Through the end of the third quarter, we've received approximately $400 million of accelerated payments from our customers and advanced more than $1.7 billion to our suppliers. To the extent we eventually see additional relief from our U.S. government customer in the form of incremental contract funds to offset the ongoing impact of COVID to our business, we'll include the benefit of that relief in our results only when it's authorized and funds are made available. As I mentioned earlier, our net debt is down to just below $12 billion, and our interest expense in the q"
GD,2020,3,FY2020_Q3_fool.txt,our_suppliers,,"our supply chain which is we're all in a symbiotic relationship here, and what's good for one is good for the other","and the customer sort of moves its payment practices back to normal and we'll, in kind, sort of move back to a normal cadence from our perspective.

In the meantime, our priority is to make sure that our supply chain which is we're all in a symbiotic relationship here, and what's good for one is good for the other. We've got to continue to support the elements of that supply chain that need it, particularly on the smaller business side. And so we're going to continue to do that as the impact of the pandemic continues.

Operator

And our next question today comes from Robert Stallard with Vertical Research. Please go ahead.

Robert Stallard -- Vertical Research -- Analyst

Thanks so much. Good morning."
GD,2021,3,FY2021_Q3_fool.txt,spend_with_suppliers,,$20 million settlement of a supplier,"This was the result of an additional $28 million in G&A expenses driven by higher R&D expense and around a $20 million settlement of a supplier claim related to the allocation of warranties after the end of G550 production. This was offset, but only in part by improved gross margins on delivered aircraft and better margins in the Gulf Street service centers. The real story here is the quarter-over-quarter sequential improvement.

Sales, earnings and margins are ramping up as planned. I will not dwell on these numbers."
GD,2022,4,FY2022_Q4_fool.txt,pct_outsource,,"80%, putting them in a good position to emerge from the supply chain","almost 20% higher than 2021, representing more new work than any year since the CSRA acquisition.

And Mission Systems finished the year with a 1.1 times book-to-bill and a capture rate in excess of 80%, putting them in a good position to emerge from the supply chain headwinds they've been facing. With that, I'll turn to some of the financial particulars before turning it back over to Phebe to give you our guidance for 2023, starting with capital deployment in 2022. Capital expenditures, as I noted, were elevated in the fourth quarter at $494 million or 4.6% of sales. That brings us to $1.1 billion for the full year.

At 2."
GD,2022,4,FY2022_Q4_fool.txt,our_suppliers,,"our supply chain, engineering, and really on the shop floor","And so, I think we have demonstrated incremental improvement in margins as our operating efficiency and discipline in our supply chain, engineering, and really on the shop floor. All of that has improved.

So, I think there's an upward over-time margin opportunity, but we're not going to get into parsing specifics until we have good clarity. But we're very comfortable that we will improve steadily and repeatedly.

Rob Spingarn -- Melius Research -- Analyst

OK. And just a clarification on the FAA. You talked about it earlier."
GD,2023,2,FY2023_Q2_fool.txt,our_suppliers,Phebe Novakovic,"our supply chain is increasing its transparency, improving its processes","or the non-G700 deliveries, is there any risk around what the plan was there and what Gulfstream expects to do?

Phebe Novakovic -- Chairman and Chief Executive Officer

So, as I noted in my remarks, our supply chain is increasing its transparency, improving its processes. And we have reliable -- increasingly reliable schedules. That said, they're more likely -- likely to anticipate more catch-up in the fourth quarter, which will allow us to complete a number of those airplanes, but they're still impacting the third quarter deliveries.

Operator

Your next question comes from the line of Robert Stallard from Vertical Research. Your line is open."
GD,2023,3,FY2023_Q3_fool.txt,spend_with_suppliers,,"$315 million from the year-ago quarter, driven by fewer deliveries at Gulfstream due to supply chain","Aerospace had revenue of $2.03 billion and operating earnings of $268 million with a 13.2% operating margin. Revenue was down $315 million from the year-ago quarter, driven by fewer deliveries at Gulfstream due to supply chain constraints. Operating earnings were down $44 million on lower revenue and a 10 basis point contraction in margin.

The sequential comparison is much better -- revenue was up $79 million or 4%, and operating earnings were up $32 million or 13.6% on 110 basis point improvement in margin. There were 27 deliveries in the quarter, three more than in the second quarter."
GD,2023,3,FY2023_Q3_fool.txt,our_suppliers,,our supply chain in order to achieve appropriate operating leverage,"In short, our defense businesses are experiencing significant growth in revenue and to a lesser degree in earnings; however, we need to continue to work with our supply chain in order to achieve appropriate operating leverage. With that, let me turn it over to Bill.

Bill Moss -- Vice President and Corporate Controller

Thank you, Jason, and good morning. We had another very good quarter from an orders perspective with an overall book-to-bill ratio of 1.4 to 1 for the company. This is particularly impressive with the strong revenue growth in the quarter. Marine systems and aerospace led the way with book-to-bill ratio"
GD,2024,4,FY2024_Q4_fool.txt,our_suppliers,,"our suppliers some consideration, but not anything that I think is too material","Novakovic -- Chairman and Chief Executive Officer

So taking it in the inverse order, some of -- we have worked out with our suppliers some consideration, but not anything that I think is too material. But let's talk about the 800. So we expect the 800 certification sometime in the first half, and we think we have worked our way through the most significant problems on the seven that we experienced on the 700. Remember the commonality of parts is almost identical between the 800 and the 700.

So we think the learning that we achieved on the 700 will be very advantageous on the 800."
GD,2025,2,FY2025_Q2_fool.txt,our_suppliers,Phebe Novakovic,our supply chain,"for some time, the margin improvement at the Marine Group in particularly within the submarine industrial base improves at electric when we get additional stabilization in that industrial base and in our supply chain. So that has been a key driver of really the productivity at the shipyard. And as you know, part of our strategy is really dependent on controlling what we can control. And on the deck plates getting better and better and better maximizing or optimizing the work have in house, with workarounds on, you know, late deliveries of major supply from major suppliers. Well as any quality escapes."
GD,2025,4,FY2025_Q4_fool.txt,supplier_pct,Scott Deuschle,"supply chain side, I guess, wouldn't the delivery growth in 2026 be higher than this 1%","Not to our knowledge. Okay. And then, Danny, given the strong orders and demand at Gulfstream, as well as the strength on the production and supply chain side, I guess, wouldn't the delivery growth in 2026 be higher than this 1% increase? Ask another way. What's the limiting factor on delivery growth at Gulfstream?

Phebe Novakovic: So well, let me take that on. We have provided you with the deliveries that we are quite comfortable at the moment that we can execute. Final test, delivery tend to be the long poles in the tent. But we are working to expand our completion capacity through increased efficiency and where neces"
