Subawardee UEI,Subawardee Vendor Name,Subawardee DBA Name,Parent UEI,Parent Vendor Name,Subaward Report ID,Subaward Report Number,Subaward Number,Subaward Date,Submitted Date,Subaward Amount $,Subaward Description,Subawardee Street Address,Subawardee Street Address 2,Subawardee City,Subawardee Congressional District,Subawardee State Code,Subawardee State Name,Country Code,Country Name,Subawardee ZIP,Business Type Codes,Business Type Names,Top Pay Salaries,Top Pay Employee Names,Prime PIID,Prime Contract Key,Agency ID,Referenced IDV PIID,Referenced IDV Agency ID,Prime Award Type,Total Contract Value $,Base Award Date Signed,Prime Entity UEI,Prime Entity Name,Description of Requirement,Prime NAICS,Prime NAICS Description,Funding Agency Code,Funding Agency Name,Funding Office Code,Funding Office Name,Funding Department Code,Funding Department Name,Contracting Agency Code,Contracting Agency Name,Contracting Office Code,Contracting Office Name,Contracting Department Code,Contracting Department Name
C1B6X8AADFB1,"COMSACO, LLC",ELECTRIC BOAT CORPORATION,,,20956858,a5505d4a-fcba-11ef-8e2a-e7034f2d18cd,1000090474,2024-09-19,2025-03-04,31160.0,See Below,3737 E VIRGINIA BEACH BLVD,,norfolk,02,VA,Virginia,USA,United States,235023217,2X; MF,For-Profit Organization; Manufacturer of Goods,,,N0002417C2117,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,9700,,,AWARD,2.1121991953E10,2025-03-04,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,STREAMLINED CHANGES COUPONS SSBN 826,541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N62789,SUP OF SHIPBUILDING GROTON,9700,DEPT OF DEFENSE
C1B6X8AADFB1,"COMSACO, LLC",ELECTRIC BOAT CORPORATION,,,20956860,a55062c2-fcba-11ef-8e2a-e7034f2d18cd,1000100183,2025-01-24,2025-03-03,48739.0,See remarks,3737 E VIRGINIA BEACH BLVD,,norfolk,02,VA,Virginia,USA,United States,235023217,2X; MF,For-Profit Organization; Manufacturer of Goods,,,N0002417C2117,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,9700,,,AWARD,2.1121991953E10,2025-03-03,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,WEAPON CRADLE ROLLER LEAF SPRING FASTENERS HOLDING DESIGN LOAD REQUIREMENTS CHANGE,541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N62789,SUP OF SHIPBUILDING GROTON,9700,DEPT OF DEFENSE
C1H7UWEXRVN7,HOTTINGER BRUEL & KJAER INC.,ELECTRIC BOAT CORPORATION,,,20958066,a62070b6-fcba-11ef-8e2a-e7034f2d18cd,1000041224,2023-06-27,2025-03-05,61386.0,see complete description,3079 PREMIERE PKWY STE 120,,duluth,07,GA,Georgia,USA,United States,300975245,20; 2X,Foreign Owned and Located; For-Profit Organization,,,N0002417C2117,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,9700,,,AWARD,2.1121991953E10,2025-03-04,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,STREAMLINED CHANGES COUPONS SSBN 826,541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N62789,SUP OF SHIPBUILDING GROTON,9700,DEPT OF DEFENSE
C1H7UWEXRVN7,HOTTINGER BRUEL & KJAER INC.,ELECTRIC BOAT CORPORATION,,,20958067,a6207354-fcba-11ef-8e2a-e7034f2d18cd,1000089317,2024-10-18,2025-03-03,1013110.62,See remarks,3079 PREMIERE PKWY STE 120,,duluth,07,GA,Georgia,USA,United States,300975245,20; 2X,Foreign Owned and Located; For-Profit Organization,,,N0002417C2117,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,9700,,,AWARD,2.1121991953E10,2025-03-03,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,WEAPON CRADLE ROLLER LEAF SPRING FASTENERS HOLDING DESIGN LOAD REQUIREMENTS CHANGE,541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N62789,SUP OF SHIPBUILDING GROTON,9700,DEPT OF DEFENSE
C1NAJQ34VWM5,CAMERON ENERGY SERVICES CORP.,ELECTRIC BOAT CORPORATION,,,20956511,a48a4380-fcba-11ef-8e2a-e7034f2d18cd,1000043682,2022-11-04,2025-03-06,146743.9,See Below,4040 CAPITOL AVE,,city of industry,32,CA,California,USA,United States,906011735,20; 2X; MF,Foreign Owned and Located; For-Profit Organization; Manufacturer of Goods,,,N0002417C2117,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,9700,,,AWARD,2.1121991953E10,2025-03-04,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,STREAMLINED CHANGES COUPONS SSBN 826,541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N62789,SUP OF SHIPBUILDING GROTON,9700,DEPT OF DEFENSE
C1NAJQ34VWM5,CAMERON ENERGY SERVICES CORP.,ELECTRIC BOAT CORPORATION,,,20956507,a48a389a-fcba-11ef-8e2a-e7034f2d18cd,1000055974,2023-05-25,2025-03-06,37529.0,See Below,4040 CAPITOL AVE,,city of industry,32,CA,California,USA,United States,906011735,20; 2X; MF,Foreign Owned and Located; For-Profit Organization; Manufacturer of Goods,,,N0002417C2117,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,9700,,,AWARD,2.1121991953E10,2025-03-04,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,STREAMLINED CHANGES COUPONS SSBN 826,541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N62789,SUP OF SHIPBUILDING GROTON,9700,DEPT OF DEFENSE
C1NAJQ34VWM5,CAMERON ENERGY SERVICES CORP.,ELECTRIC BOAT CORPORATION,,,20956508,a48a3b06-fcba-11ef-8e2a-e7034f2d18cd,1000056882,2023-06-02,2025-03-05,74696.0,see complete description,4040 CAPITOL AVE,,city of industry,32,CA,California,USA,United States,906011735,20; 2X; MF,Foreign Owned and Located; For-Profit Organization; Manufacturer of Goods,,,N0002417C2117,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,9700,,,AWARD,2.1121991953E10,2025-03-04,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,STREAMLINED CHANGES COUPONS SSBN 826,541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N62789,SUP OF SHIPBUILDING GROTON,9700,DEPT OF DEFENSE
C1NAJQ34VWM5,CAMERON ENERGY SERVICES CORP.,ELECTRIC BOAT CORPORATION,,,20956512,a48a45ec-fcba-11ef-8e2a-e7034f2d18cd,1000055031,2024-04-25,2025-03-04,172732.0,See Below,4040 CAPITOL AVE,,city of industry,32,CA,California,USA,United States,906011735,20; 2X; MF,Foreign Owned and Located; For-Profit Organization; Manufacturer of Goods,,,N0002417C2117,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,9700,,,AWARD,2.1121991953E10,2025-03-04,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,STREAMLINED CHANGES COUPONS SSBN 826,541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N62789,SUP OF SHIPBUILDING GROTON,9700,DEPT OF DEFENSE
C1NAJQ34VWM5,CAMERON ENERGY SERVICES CORP.,ELECTRIC BOAT CORPORATION,,,20956513,a48a4858-fcba-11ef-8e2a-e7034f2d18cd,1000092573,2024-10-24,2025-03-03,188052.0,See remarks,4040 CAPITOL AVE,,city of industry,32,CA,California,USA,United States,906011735,20; 2X; MF,Foreign Owned and Located; For-Profit Organization; Manufacturer of Goods,,,N0002417C2117,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,9700,,,AWARD,2.1121991953E10,2025-03-03,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,WEAPON CRADLE ROLLER LEAF SPRING FASTENERS HOLDING DESIGN LOAD REQUIREMENTS CHANGE,541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N62789,SUP OF SHIPBUILDING GROTON,9700,DEPT OF DEFENSE
C1NAJQ34VWM5,CAMERON ENERGY SERVICES CORP.,ELECTRIC BOAT CORPORATION,,,20956510,a48a40f6-fcba-11ef-8e2a-e7034f2d18cd,1000092593,2024-10-30,2025-01-27,90136.0,See remarks,4040 CAPITOL AVE,,city of industry,32,CA,California,USA,United States,906011735,20; 2X; MF,Foreign Owned and Located; For-Profit Organization; Manufacturer of Goods,,,N0002417C2117,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,9700,,,AWARD,2.1121991953E10,2025-01-03,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,REVISE SOW,541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N4109A,PROGRAM EXECUTIVE OFFICE,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE
C1NAJQ34VWM5,CAMERON ENERGY SERVICES CORP.,ELECTRIC BOAT CORPORATION,,,20956509,a48a3dd6-fcba-11ef-8e2a-e7034f2d18cd,1000092593,2024-10-30,2024-12-17,90136.0,See remarks,4040 CAPITOL AVE,,city of industry,32,CA,California,USA,United States,906011735,20; 2X; MF,Foreign Owned and Located; For-Profit Organization; Manufacturer of Goods,,,N0002417C2117,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,9700,,,AWARD,2.1121991953E10,2024-12-13,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,"FUNDING, KEY PERSONNEL AND SOW",541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N4109A,PROGRAM EXECUTIVE OFFICE,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE
C2HBVLFX4AH7,"ARLAND TOOL & MFG., INC.",ELECTRIC BOAT CORPORATION,,,20956180,a48635e2-fcba-11ef-8e2a-e7034f2d18cd,C000023221,2022-03-18,2025-03-06,44440.0,See Below,421 MAIN ST,,sturbridge,01,MA,Massachusetts,USA,United States,015661055,2X; MF; XS,For-Profit Organization; Manufacturer of Goods; S Corporation,,,N0002417C2117,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,9700,,,AWARD,2.1121991953E10,2025-03-04,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,STREAMLINED CHANGES COUPONS SSBN 826,541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N62789,SUP OF SHIPBUILDING GROTON,9700,DEPT OF DEFENSE
C3B4GMUXK277,BOWMAR LLC,ELECTRIC BOAT CORPORATION,,,20956406,a4890614-fcba-11ef-8e2a-e7034f2d18cd,1000031802,2022-06-10,2025-03-06,166000.0,See Below,8000 BLUFFTON RD,,fort wayne,03,IN,Indiana,USA,United States,468093018,2X; LJ; MF,For-Profit Organization; Limited Liability Company; Manufacturer of Goods,,,N0002417C2117,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,9700,,,AWARD,2.1121991953E10,2025-03-04,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,STREAMLINED CHANGES COUPONS SSBN 826,541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N62789,SUP OF SHIPBUILDING GROTON,9700,DEPT OF DEFENSE
C3L9A8H3TWG5,"AERO NAV LABORATORIES, INC.",ELECTRIC BOAT CORPORATION,,,20699134,9c58449c-fcb9-11ef-8e2a-e7034f2d18cd,SNC038=051,2016-02-24,2016-12-19,39825.0,RE-TEST,18 CONNOR LN,,deer park,02,NY,New York,USA,United States,117297210,23; 2X; G9,Minority-Owned business; For-Profit Organization; Other than one of the preceding,,,N0002413C2128,CONT_AWD_N0002413C2128_9700_-NONE-_-NONE-,9700,,,AWARD,2.975331483E9,2016-12-16,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,OHIO REPLACEMENT DESIGN SUPPORT,541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N48160,PROGRAM EXECUTIVE OFFICER SUBMARINE,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE
C3L9A8H3TWG5,"AERO NAV LABORATORIES, INC.",ELECTRIC BOAT CORPORATION,,,20955937,a4838d88-fcba-11ef-8e2a-e7034f2d18cd,SND243=038,2017-12-18,2018-01-22,191930.0,FINAL TEST REPORT,18 CONNOR LN,,deer park,02,NY,New York,USA,United States,117297210,23; 2X; G9,Minority-Owned business; For-Profit Organization; Other than one of the preceding,,,N0002417C2117,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,9700,,,AWARD,1.358659769E10,2018-01-19,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,COLUMBIA CLASS DESIGN COMPLETION,541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N48160,PROGRAM EXECUTIVE OFFICER SUBMARINE,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE
C3L9A8H3TWG5,"AERO NAV LABORATORIES, INC.",ELECTRIC BOAT CORPORATION,,,20955936,a4838b08-fcba-11ef-8e2a-e7034f2d18cd,SND243=038,2017-12-18,2018-01-22,191930.0,FINAL TEST REPORT,18 CONNOR LN,,deer park,02,NY,New York,USA,United States,117297210,23; 2X; G9,Minority-Owned business; For-Profit Organization; Other than one of the preceding,,,N0002417C2117,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,9700,,,AWARD,1.358659769E10,2018-01-19,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,COLUMBIA CLASS DESIGN COMPLETION,541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N48160,PROGRAM EXECUTIVE OFFICER SUBMARINE,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE
C3L9A8H3TWG5,"AERO NAV LABORATORIES, INC.",ELECTRIC BOAT CORPORATION,,,20955935,a483882e-fcba-11ef-8e2a-e7034f2d18cd,SND243=038,2017-12-18,2019-01-04,64261.0,REPORT,18 CONNOR LN,,deer park,02,NY,New York,USA,United States,117297210,23; 2X; G9,Minority-Owned business; For-Profit Organization; Other than one of the preceding,,,N0002417C2117,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,9700,,,AWARD,1.358659769E10,2018-12-07,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,PIF FUNDING FOR CLIN 8000 INCENTIVES (MPMP AND UK KITS (MS3 AND MS4)) AND INCREMENTAL FUNDING ON CLIN 2000.,541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N48160,PROGRAM EXECUTIVE OFFICER SUBMARINE,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE
C3L9A8H3TWG5,"AERO NAV LABORATORIES, INC.",ELECTRIC BOAT CORPORATION,,,20955934,a48385a4-fcba-11ef-8e2a-e7034f2d18cd,SNE197=028,2018-10-10,2018-11-28,34845.0,SEE TEXT,18 CONNOR LN,,deer park,02,NY,New York,USA,United States,117297210,23; 2X; G9,Minority-Owned business; For-Profit Organization; Other than one of the preceding,,,N0002417C2117,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,9700,,,AWARD,1.358659769E10,2018-11-13,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,COLUMBIA CLASS DESIGN COMPLETION,541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N62797,SUPV SHIPBUILD CONV - REP 2 ERP,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N62789,SUP OF SHIPBUILDING GROTON,9700,DEPT OF DEFENSE
C3L9A8H3TWG5,"AERO NAV LABORATORIES, INC.",ELECTRIC BOAT CORPORATION,,,20955933,a48382e8-fcba-11ef-8e2a-e7034f2d18cd,SNE197=028,2018-10-10,2018-10-30,34845.0,SEE TEXT,18 CONNOR LN,,deer park,02,NY,New York,USA,United States,117297210,23; 2X; G9,Minority-Owned business; For-Profit Organization; Other than one of the preceding,,,N0002417C2117,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,9700,,,AWARD,1.358659769E10,2018-10-12,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,INCREMENTAL FUNDING,541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N48160,PROGRAM EXECUTIVE OFFICER SUBMARINE,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE
C3L9A8H3TWG5,"AERO NAV LABORATORIES, INC.",ELECTRIC BOAT CORPORATION,,,20955930,a4837b86-fcba-11ef-8e2a-e7034f2d18cd,SNE197=028,2018-10-10,2025-03-06,16315.0,See Below,18 CONNOR LN,,deer park,02,NY,New York,USA,United States,117297210,23; 2X; G9,Minority-Owned business; For-Profit Organization; Other than one of the preceding,,,N0002417C2117,CONT_AWD_N0002417C2117_9700_-NONE-_-NONE-,9700,,,AWARD,2.1121991953E10,2025-03-04,E7BEKJ4V9528,ELECTRIC BOAT CORPORATION,STREAMLINED CHANGES COUPONS SSBN 826,541330,541330 -- Engineering Services,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N62789,SUP OF SHIPBUILDING GROTON,9700,DEPT OF DEFENSE
