tier,pre_award,type,posted,deadline,title,agency_path,naics,psc,set_aside,solicitation_number,notice_id,ui_link,matched_queries
MEDIUM,yes,Solicitation,2026-06-08,2026-06-15,OCEAN FLOOR MAPPING WITH LONG-ENDURANCE UNMANNED SYSTEMS,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP GLOBAL LOGISTICS SUPPORT.NAVSUP FLC NORFOLK.NAVSUP FLT LOG CTR NORFOLK,541330,R702,SBA,N0018926RL021,0530ce59a5084be0b0f720a7ef4daaff,https://sam.gov/workspace/contract/opp/0530ce59a5084be0b0f720a7ef4daaff/view,title_unmanned
MEDIUM,yes,Sources Sought,2026-06-11,2026-06-26,Micro-Uncrewed (UxS) Systems for Dangerous Vessel Compartment Inspections,"HOMELAND SECURITY, DEPARTMENT OF.US COAST GUARD.HQ CONTRACT OPERATIONS (CG-912)(000",541715,AJ12,,70Z02326RFI0003,a59703eddd0a4e02b05461557049744d,https://sam.gov/workspace/contract/opp/a59703eddd0a4e02b05461557049744d/view,title_uncrewed;title_vessel
VESSEL,yes,Special Notice,2025-12-17,2024-03-18,Domestic Private Sector CMAV Workload Estimate,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSEA.NAVSEA HQ.NAVSEA HQ,336611,J020,,CNRMC-CMAV-Projection,a6f064c736744b438ec14d905939675f,https://sam.gov/workspace/contract/opp/a6f064c736744b438ec14d905939675f/view,naics_336611
VESSEL,yes,Special Notice,2025-12-17,2024-12-19,Private Sector Workload Forecast Material for Public Website,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSEA.NAVSEA HQ.NAVSEA HQ,336611,J020,,CNRMC-Projection2,6e5cad2ba2254abdac40550d7a458eae,https://sam.gov/workspace/contract/opp/6e5cad2ba2254abdac40550d7a458eae/view,naics_336611
VESSEL,yes,Solicitation,2025-06-19,2025-06-27,USNS EARL WARREN (T-AO 207) POST SHAKEDOWN AVAILABILITY Solicitation,DEPT OF DEFENSE.DEPT OF THE NAVY.MSC.MSC HQS.MSCHQ NORFOLK,336611,J999,,N3220525R4020,cfda51b224934fa2be7d2904b485ae56,https://sam.gov/workspace/contract/opp/cfda51b224934fa2be7d2904b485ae56/view,naics_336611
VESSEL,yes,Solicitation,2025-06-20,2025-06-27,"Maintenance, Repair, and Preservation of Bangor Caisson 1 Prime",DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSEA.NAVSEA SHIPYARD.PUGET SOUND NAVAL SHIPYARD IMF,336611,J019,,N4523A25R6002,d834469937c44d2cb2612b1315591e75,https://sam.gov/workspace/contract/opp/d834469937c44d2cb2612b1315591e75/view,naics_336611
VESSEL,yes,Combined Synopsis/Solicitation,2025-06-23,2025-06-30,Custom electrofishing boat,DEPT OF DEFENSE.DEPT OF THE ARMY.AMC.ACC.MISSION INSTALLATION CONTRACTING COMMAND.419TH CSB.W6QM MICC-FT DRUM,336611,1920,SBA,W911S225U0854,3dcc446cb6e9406dbdc6ebf40a77edc7,https://sam.gov/workspace/contract/opp/3dcc446cb6e9406dbdc6ebf40a77edc7/view,naics_336611;title_boat
VESSEL,yes,Combined Synopsis/Solicitation,2025-06-24,2025-07-01,Jet Skis,DEPT OF DEFENSE.DEPT OF THE ARMY.AMC.ACC.MISSION INSTALLATION CONTRACTING COMMAND.419TH CSB.W6QM MICC-FT DRUM,336612,1940,SBA,W911S225U0978,056f2d78a40c4369a5919b88bb5be310,https://sam.gov/workspace/contract/opp/056f2d78a40c4369a5919b88bb5be310/view,naics_336612;psc_1940
VESSEL,yes,Solicitation,2025-06-23,2025-07-09,"USNS ROBERT E. SIMANEK, PSA",DEPT OF DEFENSE.DEPT OF THE NAVY.MSC.MSC HQS.MSCHQ NORFOLK,336611,J998,,N3220525R4083,e2a3d2a59815454788908eac0e5d3739,https://sam.gov/workspace/contract/opp/e2a3d2a59815454788908eac0e5d3739/view,naics_336611
VESSEL,yes,Solicitation,2025-07-08,2025-07-15,Army Watercraft Sustainment Maintenance (AWSM) Program Zone 1 CONUS (UPDATE 0008)(AMENDMENT 0005),DEPT OF DEFENSE.DEPT OF THE ARMY.AMC.ACC.ACC-CTRS.ACC-DTA.W6QK ACC- DTA,336611,J019,SBP,W912CH25RA005,d7af01a351cc4ae8a10143c52a489209,https://sam.gov/workspace/contract/opp/d7af01a351cc4ae8a10143c52a489209/view,naics_336611
VESSEL,yes,Solicitation,2025-07-08,2025-07-15,Army Watercraft Sustainment Maintenance (AWSM) Program Zone 2 OCONUS (UPDATE 0008)(AMENDMENT 0005),DEPT OF DEFENSE.DEPT OF THE ARMY.AMC.ACC.ACC-CTRS.ACC-DTA.W6QK ACC- DTA,336611,J019,,W912CH25RA006,6deeb3980f8b4b61bdc8d17fc1184993,https://sam.gov/workspace/contract/opp/6deeb3980f8b4b61bdc8d17fc1184993/view,naics_336611
VESSEL,yes,Solicitation,2025-07-31,2025-08-01,East Coast General Ship Repair IDIQ,DEPT OF DEFENSE.DEPT OF THE NAVY.MSC.MSC HQS.MSCHQ NORFOLK,336611,J998,SBA,N3220522R0012,4a6cbf883a5a452c8d74b19a16782e5b,https://sam.gov/workspace/contract/opp/4a6cbf883a5a452c8d74b19a16782e5b/view,naics_336611
VESSEL,yes,Solicitation,2025-08-07,2025-08-08,N3220525R4094 - USNS BIG HORN Deactivation Availability,DEPT OF DEFENSE.DEPT OF THE NAVY.MSC.MSC HQS.MSCHQ NORFOLK,336611,J998,SBA,N3220525R4094,8d0d7c8b4c4744a59895884662571b38,https://sam.gov/workspace/contract/opp/8d0d7c8b4c4744a59895884662571b38/view,naics_336611
VESSEL,yes,Combined Synopsis/Solicitation,2025-08-08,2025-08-14,DRY DOCK OVERHAUL REPAIRS TO TUG KENOSHA,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION GREAT LAKES AND OHIO.ENDIST CHICAGO.W072 ENDIST CHICAGO,336611,J998,SBA,W912P625QA007,2a6193fa6ed6466f91f8bfce1a7a3cbc,https://sam.gov/workspace/contract/opp/2a6193fa6ed6466f91f8bfce1a7a3cbc/view,naics_336611
VESSEL,yes,Solicitation,2025-08-07,2025-08-15,MV CHARLES MERRILL DRYDOCK AND REPAIRS,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION GREAT LAKES AND OHIO.ENDIST HUNTINGTON.W072 ENDIST HUNTINGTON,336611,J019,SBA,W9123725QA040,f587a0b189fc4dbd9ec40f1ac962fb48,https://sam.gov/workspace/contract/opp/f587a0b189fc4dbd9ec40f1ac962fb48/view,naics_336611
VESSEL,yes,Presolicitation,2025-08-19,2025-08-25,Prototype Boat Target,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVAIR.NAVAIR NAWC WD.NAVAL AIR WARFARE CENTER,336612,6920,,N6893625Q5141,bcac9219edc940d494297c47f83d3cfc,https://sam.gov/workspace/contract/opp/bcac9219edc940d494297c47f83d3cfc/view,naics_336612;title_boat
VESSEL,yes,Presolicitation,2025-08-21,2025-08-26,Specialized Target,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVAIR.NAVAIR NAWC WD.NAVAL AIR WARFARE CENTER,336612,6920,,N6893625Q5146,fcee79c98f1047f295a15113878a451e,https://sam.gov/workspace/contract/opp/fcee79c98f1047f295a15113878a451e/view,naics_336612
VESSEL,yes,Combined Synopsis/Solicitation,2025-08-28,2025-09-04,Swiftwater Rescue Boat,DEPT OF DEFENSE.DEPT OF THE ARMY.AMC.ACC.MISSION INSTALLATION CONTRACTING COMMAND.419TH CSB.W6QM MICC-FT DRUM,336611,4240,SBA,W911S225U1845,18bbbda1a4c04b2daf9d89af7794c48c,https://sam.gov/workspace/contract/opp/18bbbda1a4c04b2daf9d89af7794c48c/view,naics_336611;title_boat
VESSEL,yes,Solicitation,2025-08-28,2025-09-05,FY25 Debris Vessel Reynolds Maintenance,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTH ATLANTIC.ENDIST BALTIMORE.W2SD ENDIST BALTIMORE,336611,J019,SBA,W912DR25QA037,5d1d5dcf32f141179439d9cdfcbdebee,https://sam.gov/workspace/contract/opp/5d1d5dcf32f141179439d9cdfcbdebee/view,naics_336611;title_vessel
VESSEL,yes,Solicitation,2025-08-15,2025-09-08,USNS LEROY GRUMMAN (T-AO 195) FY26 MTA,DEPT OF DEFENSE.DEPT OF THE NAVY.MSC.MSC HQS.MSCHQ NORFOLK,336611,J998,SBA,N3220525R0008,ea7e6d9a693a4efab04ba10dc0a89c69,https://sam.gov/workspace/contract/opp/ea7e6d9a693a4efab04ba10dc0a89c69/view,naics_336611
VESSEL,yes,Solicitation,2025-09-09,2025-09-19,3251 MVS Crane Barge Replacement,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTH ATLANTIC.ENDIST PHILADELPHIA.W2SD ENDIST PHILADELPHIA,336611,1935,SBA,W912BU25BA019,73ecaea2f9894ad491fdc7bcdbfecb39,https://sam.gov/workspace/contract/opp/73ecaea2f9894ad491fdc7bcdbfecb39/view,naics_336611
VESSEL,yes,Solicitation,2025-09-12,2025-09-19,Burnsville Floating Dock,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION GREAT LAKES AND OHIO.ENDIST HUNTINGTON.W072 ENDIST HUNTINGTON,336612,5670,SBA,W9123725QA079,f5ee2104b6ec4a44a9fc4001403410ca,https://sam.gov/workspace/contract/opp/f5ee2104b6ec4a44a9fc4001403410ca/view,naics_336612
VESSEL,yes,Solicitation,2025-09-15,2025-09-22,3489 CELRE Soo Area Lift Floating Crane,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTH ATLANTIC.ENDIST PHILADELPHIA.W2SD ENDIST PHILADELPHIA,336611,1935,,W912BU25BA020,f75113da58454234884c2d337304c205,https://sam.gov/workspace/contract/opp/f75113da58454234884c2d337304c205/view,naics_336611
VESSEL,yes,Solicitation,2025-09-18,2025-09-23,3348 NAB MV REYNOLDS REPLACEMENT,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTH ATLANTIC.ENDIST PHILADELPHIA.W2SD ENDIST PHILADELPHIA,336611,1925,SBA,W912BU25BA021,0f6bcd1a8dfa472783b950505703c250,https://sam.gov/workspace/contract/opp/0f6bcd1a8dfa472783b950505703c250/view,naics_336611
VESSEL,yes,Combined Synopsis/Solicitation,2025-08-14,2025-09-29,Watercraft Targets MATOC(s),DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR FORCE MATERIEL COMMAND.AIR FORCE TEST CENTER.FA2823  AFTC PZIO,336612,1990,,FA282325R0004,df2a140525aa46419b3a1b2c23e0cf23,https://sam.gov/workspace/contract/opp/df2a140525aa46419b3a1b2c23e0cf23/view,naics_336612
VESSEL,yes,Presolicitation,2025-07-25,2025-10-10,N3904025Q1008- SSTG PNSY,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSEA.NAVSEA SHIPYARD.PORTSMOUTH NAVAL SHIPYARD GF,336611,2830,,N3904025Q1008,4759abe846114581861f1b38426a37c2,https://sam.gov/workspace/contract/opp/4759abe846114581861f1b38426a37c2/view,naics_336611
VESSEL,yes,Solicitation,2025-10-07,2025-10-10,"N4523A25R1107 - Maintenance, Repair, and Preservation of YTT-10",DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSEA.NAVSEA SHIPYARD.PUGET SOUND NAVAL SHIPYARD IMF,336611,J019,SBA,N4523A25R1107,707c3f4efbf548d9ac78c3fd090dc1d0,https://sam.gov/workspace/contract/opp/707c3f4efbf548d9ac78c3fd090dc1d0/view,naics_336611
VESSEL,yes,Solicitation,2025-10-08,2025-10-10,USNS GRASP (T-ARS 51),DEPT OF DEFENSE.DEPT OF THE NAVY.MSC.MSC HQS.MSCHQ NORFOLK,336611,J999,SBA,N3220525R4081,b365d20d1f414759950dcfbc78a5e589,https://sam.gov/workspace/contract/opp/b365d20d1f414759950dcfbc78a5e589/view,naics_336611
VESSEL,yes,Presolicitation,2025-10-08,2025-10-14,Bullfrog target tow package,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVAIR.NAVAIR NAWC WD.NAVAL AIR WARFARE CENTER,336612,1940,,N6893626Q5003,cb274a1edb8244628c364028d9947eba,https://sam.gov/workspace/contract/opp/cb274a1edb8244628c364028d9947eba/view,naics_336612;psc_1940
VESSEL,yes,Solicitation,2025-10-10,2025-10-17,USS IWO JIMA (LHD 7) FY26 Selected Restricted Availability (SRA) Request for Proposal (RFP),DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSEA.NAVSEA HQ.NAVSEA HQ,336611,J998,,N0002425R4405,d47677da823d4f3fb4107d351cce0e3c,https://sam.gov/workspace/contract/opp/d47677da823d4f3fb4107d351cce0e3c/view,naics_336611
VESSEL,yes,Solicitation,2025-10-14,2025-10-21,Solicitation Notice is for the USNS WASHINGTON CHAMBERS FY26 ROH/DD. ,DEPT OF DEFENSE.DEPT OF THE NAVY.MSC.MSC HQS.MSCHQ NORFOLK,336611,J999,,N3220525R4045,9f77eb1165444d35886906cb6280d67e,https://sam.gov/workspace/contract/opp/9f77eb1165444d35886906cb6280d67e/view,naics_336611
VESSEL,yes,Solicitation,2025-10-22,2025-10-23,USNS JOSHUA HUMPHREYS FY26 MTA,DEPT OF DEFENSE.DEPT OF THE NAVY.MSC.MSC HQS.MSCHQ NORFOLK,336611,J998,SBA,N3220525R6034,e82c67835f0245659c8385cf2941a2fb,https://sam.gov/workspace/contract/opp/e82c67835f0245659c8385cf2941a2fb/view,naics_336611
VESSEL,yes,Solicitation,2025-10-29,2025-10-29,USS TRUXTUN (DDG 103) FY26 Depot Modernization Period (DMP) Request for Proposal,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSEA.NAVSEA HQ.NAVSEA HQ,336611,J998,,N0002425R4410,795b22764cd047aaa543d1be9416dbf9,https://sam.gov/workspace/contract/opp/795b22764cd047aaa543d1be9416dbf9/view,naics_336611
VESSEL,yes,Solicitation,2025-11-03,2025-11-10,FY26 USNS JOHN ERISSON DEACTIVATION,DEPT OF DEFENSE.DEPT OF THE NAVY.MSC.MSC HQS.MSCHQ NORFOLK,336611,J998,,N3220525R6014,04d3a4fef878465bbaeaced1b43895bf,https://sam.gov/workspace/contract/opp/04d3a4fef878465bbaeaced1b43895bf/view,naics_336611
VESSEL,yes,Solicitation,2025-11-03,2025-11-12,R3F LCF Binkley Barge Spuds,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION GREAT LAKES AND OHIO.ENDIST HUNTINGTON.W072 ENDIST HUNTINGTON,336611,2040,,W9123726QA002,a34fc62f6c674d0688feee44ce0d37f3,https://sam.gov/workspace/contract/opp/a34fc62f6c674d0688feee44ce0d37f3/view,naics_336611
VESSEL,yes,Solicitation,2025-10-07,2025-11-14,3228 CESWG Survey Vessel,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTH ATLANTIC.ENDIST PHILADELPHIA.W2SD ENDIST PHILADELPHIA,336611,1925,SBA,W912BU25RA018,080d18ae939f4eb994d8899a6fdab948,https://sam.gov/workspace/contract/opp/080d18ae939f4eb994d8899a6fdab948/view,naics_336611;title_vessel
VESSEL,yes,Solicitation,2025-11-06,2025-11-14,USNS COMFORT (T-AH 20) Mid-Term Availability (MTA),DEPT OF DEFENSE.DEPT OF THE NAVY.MSC.MSC HQS.MSCHQ NORFOLK,336611,J998,SBA,N3220525R4087,680bfe7cb9b54718ac1f12a288767f3d,https://sam.gov/workspace/contract/opp/680bfe7cb9b54718ac1f12a288767f3d/view,naics_336611
VESSEL,yes,Solicitation,2025-11-04,2025-11-18,3577 NASA PEGASUS Barge FY25 Drydock,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTH ATLANTIC.ENDIST PHILADELPHIA.W2SD ENDIST PHILADELPHIA,336611,J998,SBA,W912BU25BA023,2b94277d34e645e096934a878f76aa50,https://sam.gov/workspace/contract/opp/2b94277d34e645e096934a878f76aa50/view,naics_336611
VESSEL,yes,Solicitation,2025-11-20,2025-12-01,USS SAN ANTONIO (LPD 17) FY26 Selected Restricted Availability (SRA) Request for Proposal (RFP),DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSEA.NAVSEA HQ.NAVSEA HQ,336611,J998,,N0002425R4417,0d3d02a47f4845f19e84b10fda1c79fa,https://sam.gov/workspace/contract/opp/0d3d02a47f4845f19e84b10fda1c79fa/view,naics_336611
VESSEL,yes,Solicitation,2025-11-26,2025-12-01,Ventilation Cleaning TRF Bangor,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSEA.NAVSEA SHIPYARD.PUGET SOUND NAVAL SHIPYARD IMF,336611,J999,SBA,N4523A26R0801,db533d9f3c7e46c3bbc7a1426a80b3a6,https://sam.gov/workspace/contract/opp/db533d9f3c7e46c3bbc7a1426a80b3a6/view,naics_336611
VESSEL,yes,Solicitation,2025-12-05,2025-12-11,Littoral Combat Ship Planning Yard Support,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSEA.NAVSEA HQ.NAVSEA HQ,336611,1905,,N0002424R4313,ba93d3c438844453955c8230d9bd1491,https://sam.gov/workspace/contract/opp/ba93d3c438844453955c8230d9bd1491/view,naics_336611;psc_1905
VESSEL,yes,Sources Sought,2025-12-03,2025-12-15,"MODULE ASSEMBLY,JET",DEPT OF DEFENSE.DEFENSE LOGISTICS AGENCY.DLA MARITIME.DLA MARITIME COLUMBUS.DLA LAND AND MARITIME,336611,1720,SBA,SPE7M126R0003,8c72a34e0a634ae08d8be87803d3d02b,https://sam.gov/workspace/contract/opp/8c72a34e0a634ae08d8be87803d3d02b/view,naics_336611
VESSEL,yes,Solicitation,2025-12-10,2025-12-15,USNS MERCY (T-AH 19) FY26 ROH/DD,DEPT OF DEFENSE.DEPT OF THE NAVY.MSC.MSC HQS.MSCHQ NORFOLK,336611,J999,,N3220525R4149,19b9ee33eb424e7abe1948d3632eb3cd,https://sam.gov/workspace/contract/opp/19b9ee33eb424e7abe1948d3632eb3cd/view,naics_336611
VESSEL,yes,Solicitation,2025-12-15,2025-12-17,USNS ROBERT E. PEARY (T-AKE 5) FY26 ROH,DEPT OF DEFENSE.DEPT OF THE NAVY.MSC.MSC HQS.MSCHQ NORFOLK,336611,J998,SBA,N3220525R6040,1b53082770b84a12bcd3a232c1cc2bde,https://sam.gov/workspace/contract/opp/1b53082770b84a12bcd3a232c1cc2bde/view,naics_336611
VESSEL,yes,Sources Sought,2025-11-20,2026-01-06,"Special Service Vessel for Pituffik Space Base, Greenland","DEPT OF DEFENSE.DEPT OF THE AIR FORCE.FA2523  DETACHMENT 1, 21 CONS",336612,1925,,FA252326R0003,84c957ba58844e87be36e398d30cf5bb,https://sam.gov/workspace/contract/opp/84c957ba58844e87be36e398d30cf5bb/view,naics_336612;title_vessel
VESSEL,yes,Solicitation,2026-01-09,2026-01-22,USNS GUADALUPE FY26 Mid-Term Availability,DEPT OF DEFENSE.DEPT OF THE NAVY.MSC.MSC HQS.MSCHQ NORFOLK,336611,J999,,N3220526R6010,bd0d23bd00a64fbe861faaa82d29e431,https://sam.gov/workspace/contract/opp/bd0d23bd00a64fbe861faaa82d29e431/view,naics_336611
VESSEL,yes,Presolicitation,2025-12-12,2026-01-23,Marine Boatyard Support and Industrial Support Lot II Follow-on MAC-IDIQ,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSEA.REGIONAL MAINTENANCE CENTER.SOUTHWEST REGIONAL MAINT CENTER,336611,J999,SBA,N5523625R0012,822c8f30712b484f8ea0bef79e4c2de7,https://sam.gov/workspace/contract/opp/822c8f30712b484f8ea0bef79e4c2de7/view,naics_336611;title_boat
VESSEL,yes,Solicitation,2026-01-14,2026-01-28," LPD17 SCD 31127 and 86344 under Big Blue 3 MAC, N6449821D0013-0023",DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSEA.NAVSEA WARFARE CENTER.NSWC PHILADELPHIA DIV,336611,R425,,N6449826Q5042,6bc5aeb7da9b4560bf53e317b19a15d1,https://sam.gov/workspace/contract/opp/6bc5aeb7da9b4560bf53e317b19a15d1/view,naics_336611
VESSEL,yes,Solicitation,2026-01-15,2026-01-28,USNS LARAMIE ROH/DD FY 26,DEPT OF DEFENSE.DEPT OF THE NAVY.MSC.MSC HQS.MSCHQ NORFOLK,336611,J998,,N3220526R6027,ed81787b95ff4242b59d27ed64956231,https://sam.gov/workspace/contract/opp/ed81787b95ff4242b59d27ed64956231/view,naics_336611
VESSEL,yes,Solicitation,2026-02-02,2026-02-09,Vessel Repair IDIQ MATOC,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTH ATLANTIC.ENDIST NORFOLK.W2SD ENDIST NORFOLK,336611,J019,SBA,W9123626RA001,11fbfebebdb14a7691702dc55749effc,https://sam.gov/workspace/contract/opp/11fbfebebdb14a7691702dc55749effc/view,naics_336611;title_vessel
VESSEL,yes,Combined Synopsis/Solicitation,2026-01-28,2026-02-11,Dredge McFarland Miscellaneous Steel Repairs,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTH ATLANTIC.ENDIST PHILADELPHIA.W2SD ENDIST PHILADELPHIA,336611,J019,SBA,W912BU26QA008,52015d3a96ec42f19f84ea17179a4f76,https://sam.gov/workspace/contract/opp/52015d3a96ec42f19f84ea17179a4f76/view,naics_336611
VESSEL,yes,Combined Synopsis/Solicitation,2026-01-28,2026-02-12,Tent Barge Recessed Shell Bitts,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION MISSISSIPPI VALLEY.ENDIST ST LOUIS.W07V ENDIST ST LOUIS,336611,2040,SBA,W912P926QA006,7cb9bce19733457291903ab4bf53cef5,https://sam.gov/workspace/contract/opp/7cb9bce19733457291903ab4bf53cef5/view,naics_336611
VESSEL,yes,Solicitation,2026-01-29,2026-02-12,FY26 USNS KANAWHA MTA,DEPT OF DEFENSE.DEPT OF THE NAVY.MSC.MSC HQS.MSCHQ NORFOLK,336611,J998,SBA,N3220525R6023,c1af1562ceae436baf0bd667d1467596,https://sam.gov/workspace/contract/opp/c1af1562ceae436baf0bd667d1467596/view,naics_336611
