uei,entity_name,sam_legal,primary_naics,naics4,ddg_signed_$M,subs_signed_$M,combined_$M,foreign,registered,role,bucket,confidence,basis
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,GULF COPPER & MANUFACTURING CORPORATION,336611,3366,31.6,0.0,31.6,,Yes,supplier,structural,high,NAICS 336611
HLE1E2KALJA5,"L3HARRIS TECHNOLOGIES, INC","L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC",335311,3353,31.2,0.0,31.2,,Yes,supplier,electrical,high,NAICS 335311 power equip
UHXFGP3DCRK7,"HANSOME ENERGY SYSTEMS, INC.",,,,0.0,31.1,31.1,,no,residual,,low,NAICS none unresolved
ZC5JNMHPHWA9,"TECHNOLOGY DYNAMICS, INC.","TECHNOLOGY DYNAMICS, INC.",335999,3359,30.7,0.0,30.7,,Yes,supplier,electrical,high,NAICS 335999 power equip
JG6AMW7E23Z6,C. H. POWELL COMPANY,C. H. POWELL COMPANY,488510,4885,0.0,30.2,30.2,,Yes,service,,high,NAICS 488510 service
CJ1ZQVEWNVY3,DUCOMMUN INCORPORATED,"DUCOMMUN LABARGE TECHNOLOGIES, INC.",334511,3345,29.6,0.0,29.6,,Yes,mission_systems,,med,NAICS 334511 electronics/aero
YNJNTZWVC3H6,BAE SYSTEMS PLC,BAE SYSTEMS LAND & ARMAMENTS L.P.,336611,3366,0.8,28.1,28.9,,Yes,supplier,structural,high,NAICS 336611
J645RTMFWMW1,"MAXIM EVAPORATORS OF AMERICA, LLC","MAXIM EVAPORATORS OF AMERICA, LLC",339999,3399,28.5,0.0,28.5,,Yes,mission_systems,,med,NAICS 339999 electronics/aero
F76KN7T9YP64,WAUKESHA BEARINGS CORPORATION,WAUKESHA BEARINGS CORPORATION,333613,3336,0.0,28.3,28.3,,Yes,supplier,machining,high,NAICS 333613
GJNEBDUDNTA1,"EURO MACHINERY SPECIALISTS, INC","EURO MACHINERY SPECIALISTS, INC",811310,8113,0.0,28.1,28.1,,Yes,service,,high,NAICS 811310 service
MXTJBDD1L4T4,"TAYLOR DEVICES, INC.",TAYLOR DEVICES INC,333995,3339,24.7,3.3,27.9,,Yes,supplier,piping,high,NAICS 333995
LJCSMLKU1MR5,"GENERAL MICRO SYSTEMS, INC","General Micro Systems, Inc",334111,3341,27.8,0.0,27.8,,Yes,mission_systems,,med,NAICS 334111 electronics/aero
K294P4QJHFU9,MW JONES & COMPANY INC,MW JONES & COMPANY INC,541611,5416,0.0,26.7,26.7,,Yes,service,,high,NAICS 541611 service
K442K4T21K53,BECON INC,BECON INC,333998,3339,26.6,0.0,26.6,,Yes,supplier,piping,high,NAICS 333998
SWB8H4CX8JA1,ELMA ELECTRONIC AG,OPTIMA STANTRON CORP,332322,3323,26.5,0.0,26.5,,Yes,supplier,structural,high,NAICS 332322
SSD8KRDXKG46,PON HOLDINGS B.V.,"THE HILLER COMPANIES, LLC",238210,2382,26.5,0.0,26.5,,Yes,residual,,low,NAICS 238210 unresolved
LL3PZJHUKZV3,AMERICAN STEEL AND ALUMINUM LLC,AMERICAN STEEL AND ALUMINUM LLC,332312,3323,0.0,26.2,26.2,,Yes,supplier,structural,high,NAICS 332312
WN1PJNXJJ831,"TAYLOR FORGE ENGINEERED SYSTEMS, INC.","Taylor Forge Engineered Systems, Inc.",332996,3329,0.0,26.1,26.1,,Yes,supplier,piping,high,NAICS 332996
HJR5VDSHMMX5,"NEVADA HEAT TREATING, LLC","NEVADA HEAT TREATING, LLC",332811,3328,25.6,0.0,25.6,,Yes,supplier,coatings,high,NAICS 332811
RLXQHCXFT513,CITADEL CAPITAL CORPORATION,CUNICO CORPORATION,332996,3329,1.5,23.1,24.5,,Yes,supplier,piping,high,NAICS 332996
XYNDM1Y7XGG7,"MARISCO, LTD.",AMERICAN METAL BEARING CO,332991,3329,24.3,0.0,24.3,,Yes,supplier,piping,high,NAICS 332991
QNEXJLA47BM4,"JAMESTOWN METAL MARINE SALES, INC.","JAMESTOWN METAL MARINE SALES, INC.",336611,3366,10.0,14.2,24.2,,Yes,supplier,structural,high,NAICS 336611
GXAYGRWJPQK6,"DUCOMMUN LABARGE TECHNOLOGIES, INC.","DUCOMMUN LABARGE TECHNOLOGIES, INC.",334418,3344,24.1,0.0,24.1,,Yes,mission_systems,,med,NAICS 334418 electronics/aero
GV6WMAJUK1R9,SIOUX MANUFACTURING CORPORATION,SIOUX MANUFACTURING CORPORATION,336992,3369,23.9,0.0,23.9,,Yes,supplier,structural,high,NAICS 336992
L4UCL5K5H5J9,WOODWARD GOVERNOR COMPANY,"WOODWARD, INC.",336412,3364,23.5,0.0,23.5,,Yes,mission_systems,,med,NAICS 336412 electronics/aero
U23DM4ULNLS3,BAE SYSTEMS PLC,BAE SYSTEMS JACKSONVILLE SHIP REPAIR LLC,336611,3366,17.7,5.8,23.5,,Yes,supplier,structural,high,NAICS 336611
HUK5MJK4MH39,"CIRCOR INTERNATIONAL, INC.","LESLIE CONTROLS, INC.",332911,3329,15.7,7.6,23.3,,Yes,supplier,piping,high,NAICS 332911
DLLCKA14LMZ5,"MERRILL AVIATION, INC.",,,,23.3,0.0,23.3,,no,residual,,low,NAICS none unresolved
JW6PXX1WALN4,HOWDEN NORTH AMERICA INC,HOWDEN NORTH AMERICA INC,,,22.9,0.0,22.9,,No,residual,,low,NAICS none unresolved
M4ELQDG7JLM5,AMPCO-PITTSBURGH CORPORATION,AIR & LIQUID SYSTEMS CORPORATION,333914,3339,22.4,0.0,22.4,,Yes,supplier,piping,high,NAICS 333914
WJ11TE8ERKT1,RAYTHEON TECHNOLOGIES CORPORATION,"Nightwing Intelligence Solutions, LLC",541519,5415,22.4,0.0,22.4,,Yes,service,,high,NAICS 541519 service
TFJMUN5RL718,BARNES GROUP INC,BARNES GROUP INC.,336412,3364,22.3,0.0,22.3,,Yes,mission_systems,,med,NAICS 336412 electronics/aero
WSK3WRSGKAU1,ALFA LAVAL AB,ALFA LAVAL INC,332410,3324,22.3,0.0,22.3,,Yes,supplier,structural,high,NAICS 332410
USBJG7R2LPQ3,AMPHENOL CORPORATION,"SV MICROWAVE, INC.",334417,3344,22.2,0.0,22.2,,Yes,mission_systems,,med,NAICS 334417 electronics/aero
FCK2D4PSV1L2,"DOVER PUMPS & PROCESS SOLUTIONS SEGMENT, INC.",DOVER PUMPS & PROCESS SOLUTIONS SEGMENT INC,333914,3339,21.8,0.2,22.0,,Yes,supplier,piping,high,NAICS 333914
H9DTZCLEYHD5,TELEDYNE TECHNOLOGIES INCORPORATED,"Teledyne Defense Electronics, LLC",335929,3359,21.9,0.0,21.9,,Yes,supplier,electrical,high,NAICS 335929 power equip
LM35HWEVUPH3,"J.F. LEHMAN & COMPANY, INC.",ADI TECHNOLOGIES INC.,541613,5416,21.9,0.0,21.9,,Yes,service,,high,NAICS 541613 service
WMXDDH6HJNA5,"HUNTINGTON INGALLS INDUSTRIES, INC",HUNTINGTON INGALLS INC,336611,3366,0.1,21.6,21.7,,Yes,supplier,structural,high,NAICS 336611
QNF5KM7YJSN7,"SOUTHCOAST WELDING & MANUFACTURING, LLC","Southcoast Welding & Manufacturing, LLC.",336611,3366,21.6,0.0,21.6,,Yes,supplier,structural,high,NAICS 336611
MS9XWCRV8XD8,"RICHLIND METAL FABRICATORS, INC.","RICHLIND METAL FABRICATORS, LLC",332999,3329,21.4,0.0,21.4,,Yes,supplier,piping,high,NAICS 332999
X6N2CNV552X7,"OCEANEERING INTERNATIONAL, INC.",OCEANEERING INTERNATIONAL INC,336611,3366,0.0,21.3,21.3,,Yes,supplier,structural,high,NAICS 336611
WVW5FMYALEL6,"PLAINVILLE ELECTRICAL PRODUCTS COMPANY, THE","PLAINVILLE ELECTRICAL PRODUCTS COMPANY, THE",335313,3353,0.2,20.8,21.0,,Yes,supplier,electrical,high,NAICS 335313 power equip
LR2HQKYJLDZ7,ESI ACQUISITION CORP.,JA MOODY LLC,423830,4238,18.1,2.9,20.9,,Yes,residual,,low,NAICS 423830 unresolved
VN3RY9NGWD83,RAMBUS INC.,RAMBUS INC,334413,3344,20.9,0.0,20.9,,Yes,mission_systems,,med,NAICS 334413 electronics/aero
MC77SUMRLXY5,"MILWAUKEE VALVE COMPANY, INC.","MILWAUKEE VALVE CO, INC",332911,3329,16.8,3.2,20.0,,Yes,supplier,piping,high,NAICS 332911
M6N8EM57NLL3,PARKER-HANNIFIN CORPORATION,PARKER-HANNIFIN CORPORATION,339991,3399,20.0,0.0,20.0,,Yes,mission_systems,,med,NAICS 339991 electronics/aero
