Subawardee UEI,Subawardee NAICS-6 (Primary),Subawardee NAICS-6 Description,Parent UEI,Parent Vendor Name,Subawardee Vendor Name,Predominant Place of Performance (by records),Subaward $M,Published Subaward Records,First Subaward,Last Subaward,Capability Domain Archetype (D),Capability Domain Archetype Basis,Primary Output Archetype (P),Primary Output Archetype Basis,Role / Description,Source URLs
NYGUEDY27AM8,332911,Industrial Valve Manufacturing,,CURTISS-WRIGHT CORPORATION,CURTISS-WRIGHT FLOW CONTROL CORPORATION,Domestic,65.208317,122,2017-01-25,2025-07-21,,,,,"Curtiss-Wright Flow Control is documented as a Virginia-class valve supplier, especially for nuclear-propulsion/reactor-plant applications. Public releases describe awards to provide critical valves for Virginia-class submarines, including reactor-plant valves for multiple shipsets, and identify Flow Control as designing and manufacturing highly engineered valves, pumps, motors, generators, electronics and systems for military/naval programs.",https://curtisswright.com/news/press-releases/news-release-details/2011/Curtiss-Wright-Awarded-66-Million-Contract-for-US-Navy-Virginia-Class-Submarine-Program | https://www.prnewswire.com/news-releases/curtiss-wright-awarded-66-million-contract-for-us-navy-virginia-class-program-117403738.html | https://curtisswright.com/news/press-releases/news-release-details/2008/Curtiss-Wright-Awarded-83-Million-Contract-for-US-Navy-Virginia-Class-Submarine-and-Ford-Class-Aircraft-Carrier-Programs | https://www.vma.org/news/88188/Curtiss-Wright-Flow-Control-Awarded-40-Million-in-Contracts-for-U.S.-Navy-Nuclear-Powered-Ships.htm
RG6LJJM6JBS3,336611,Ship Building and Repairing,,,"AUSTAL USA, LLC",Domestic,63.222675,8,2022-12-22,2024-08-09,,,,,"Austal USA is a submarine industrial-base capacity partner for General Dynamics Electric Boat. Public sources describe Austal USA fabricating and outfitting critical module components for Virginia-class and Columbia-class submarines, including orders for electronic deck modules and a command-deck module/structural assembly in support of the Virginia-class submarine program.",https://www.austalusa.com/submarines | https://seapowermagazine.org/austal-usa-receives-order-for-three-virginia-class-submarine-modules/ | https://www.navalnews.com/naval-news/2023/01/austal-secures-command-deck-module-contract-for-virginia-class-submarine-program/ | https://www.navalnews.com/naval-news/2024/09/austal-usa-wins-contract-to-expand-submarine-module-production-capacity/
CBMZJ3Z5SC89,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",,UNITED TECHNOLOGIES CORPORATION,GOODRICH CORP,Domestic,58.780127,30,2017-01-24,2024-04-15,,,,,"Goodrich is documented as a supplier of major composite structures for Virginia-class submarines. Public sources report Goodrich delivery of the first composite sail cusp for Virginia-class Block III submarines, contracts for lightweight composite sail cusps, composite components including a hydrodynamically shaped bow dome that houses/protects the sonar array, and later manufacturing support for Virginia-class propulsors.",https://www.prnewswire.com/news-releases/goodrich-delivers-first-composite-sail-cusp-for-virginia-class-submarine-149801805.html | https://www.defenseindustrydaily.com/49M-to-Goodrich-for-Virginia-Class-Block-III-Composite-Components-06089/ | https://www.naval-technology.com/news/pentagon-changes-propulsor-supplier/ | https://www.war.gov/News/Contracts/Contract/Article/4319114/contracts-for-sep-30-2025/
FK17Z7DJWLL1,,"n/a (SAM record, no NAICS)",,Apco Technologies SA,Apco Technologies SA,Foreign,55.608765,11,2016-11-08,2022-09-06,,,,,"The exact Virginia-class deliverable could not be confirmed publicly. APCO's naval business designs, manufactures, integrates, and installs advanced assembly and welding fixtures used to fabricate naval structures and components.","https://www.apco-technologies.eu/naval/
https://www.apco-technologies.eu/turnkey-projects/"
F42BKS7EHCL8,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",,ULTRA ELECTRONICS HOLDINGS PLC,EMS DEVELOPMENT CORPORATION,Domestic,48.478947,22,2018-02-01,2025-02-24,,,,,"Produces the Circuit-D naval computer-controlled power-supply system, originally designed for the Virginia-class program and described as a critical platform electronic system. EMS also supplies parts and spares for advanced degaussing/signature-management systems.","https://www.lse.co.uk/news/ultra-electronics-bags-21m-submarine-systems-contract-rw45tb5ru9vt5k4.html
https://www.highergov.com/awardee/ems-development-corporation-10119694/"
WREEAHYMRQ45,334419,Other Electronic Component Manufacturing,,MTS SYSTEMS CORPORATION,"PCB PIEZOTRONICS, INC.",Domestic,46.893311,17,2016-08-30,2023-06-21,,,,,Supplies linear electrical accelerometers for Virginia-class submarines. Federal logistics data identifies PCB part 631M15/003JV (NSN 6680-01-589-2611) as an SSN-774 end-item component.,"https://www.wbparts.com/rfq/6680-01-589-2611.html
https://www.parttarget.com/PCB-Piezotronics-Inc_nsn-parts_607A11-030BZ_A001620.html"
DK14KTLXA9M5,332919,Other Metal Valve and Pipe Fitting Manufacturing,,"KME AMERICA MARINE TUBE & FITTING, LLC","KME AMERICA MARINE TUBE & FITTING, LLC",Domestic,41.578762,182,2016-07-05,2025-07-23,,,,,"KME America Marine Tube & Fitting manufactures complex metallic formed fittings and flanges and specializes in copper-nickel and high-performance-alloy fittings, flanges and piping components for demanding maritime/shipbuilding environments. Public sources describe it as a U.S. Navy subcontractor crafting piping and fittings for naval ships and submarines and as producing components for aircraft carriers and submarines.",https://kmetf.com/ | https://kmetf.com/what-we-do/ | https://resources.ardalyst.com/hubfs/Case%20Studies/Tesseract_KMETFCaseStudy.pdf | https://www.industrynet.com/listing/3666970/kme-america-marine-tube-fitting-llc | https://opengovus.com/sam-entity/DK14KTLXA9M5
DJG7NEG7QRK5,332911,Industrial Valve Manufacturing,,"HUNT VALVE COMPANY, INC.","HUNT VALVE COMPANY, INC.",Domestic,40.020365,111,2016-01-29,2025-05-23,,,,,"Hunt Valve, a Fairbanks Morse Defense operation, is documented as a major supplier of valves for construction of new Virginia-class and Columbia-class submarines. Fairbanks Morse Defense announced purchase orders totaling $96 million to provide valves for 12 Virginia-class and five Columbia-class submarines, including ship-service ball valves and forged high-pressure system valves. Hunt/FMD also markets Navy-standard gate, globe, ball and relief valves.",https://www.fairbanksmorsedefense.com/blog/fairbanks-morse-defenses-hunt-valve-awarded-96-million-in-pos-to-deliver-essential-valves-for-virginia-and-columbia-class-submarine-programs/ | https://www.fairbanksmorsedefense.com/solutions/valves/ | https://www.navaltoday.com/2025/01/08/fairbanks-morse-defense-to-provide-equipment-for-us-navys-submarines/ | https://www.businesswire.com/news/home/20210913005669/en/Fairbanks-Morse-Defense-Acquires-Hunt-Valve-Company-Inc.
MMCKJNNMSG23,332710,Machine Shops,,"ADVANCE MFG.CO., INC.","ADVANCE MFG.CO., INC.",Domestic,37.584923,237,2016-02-01,2025-08-14,,,,,"Performs precision machining, welding, fabrication, and assembly for Electric Boat submarine work; public vendor records identify products such as pump housings, manifolds, and submarine torque tooling. No public source ties a specific part number to this Virginia-class row.","https://govtribe.com/vendors/advance-mfg-dot-co-dot-inc-dot-29293
https://www.advancemfg.com/pages/history.html
https://www.advancemfg.com/pages/capabilities/group10_2.html"
WJ45NXW2TVD7,333995,Fluid Power Cylinder and Actuator Manufacturing,,MOOG INC.,MOOG INC.,Domestic,36.37022,42,2016-01-05,2025-05-23,,,,,"This UEI is Moog’s Orrville, Ohio AMPAC-ISP operation, whose distinct product line is fluid-power cylinders and actuators. I found no public source naming the exact Virginia-class actuator supplied by this site, so the program role can be confirmed only at the fluid-power-actuation level.","https://www.highergov.com/awardee/moog-inc-10110703/
https://app.g2xchange.com/companies/WJ45NXW2TVD7"
Y6X3BDLEPNJ6,336611,Ship Building and Repairing,,,"W INTERNATIONAL SC, LLC",Domestic,32.308815,19,2019-10-08,2021-11-18,,,,,"W International SC was a South Carolina complex metal fabricator whose Goose Creek operation produced modules used in Virginia-class and Columbia-class submarine construction. HII/NNS acquired substantially all assets and workforce in 2025 to expand production of nuclear-powered submarine modules and aircraft-carrier units. Public reporting says modules from the Goose Creek operation include Virginia-class habitability, auxiliary machine room, and weapons modules.",https://news.usni.org/2025/01/27/hii-completes-aqusition-of-w-international-assets | https://news.usni.org/2024/12/04/newport-news-shipbuilding-acquires-south-carolina-facility-from-w-international | https://www.hii.com/news/hii-expands-shipbuilding-capacity-announcing-intent-to-acquire-south-carolina-advanced-metal-fabricator-assets-and-workforce | https://virginiabusiness.com/newport-news-shipbuildings-south-carolina-manufacturing-facility-is-up-and-running/
RLXQHCXFT513,332996,Fabricated Pipe and Pipe Fitting Manufacturing,,Citadel Capital Corporation,CUNICO CORPORATION,Domestic,29.478023,50,2016-01-26,2025-08-11,,,,,"Supplies highly engineered naval-nuclear submarine fluid-system hardware, including proprietary valves, manifolds, pipe fittings, and flanges. Public filings identify these product lines as components for U.S. naval nuclear submarines.","https://www.highergov.com/awardee/cunico-corporation-10116319/
https://www.sec.gov/Archives/edgar/data/1486957/000148695723000033/bwxt-20230630.htm"
XQW8RJNNAXX8,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",,"W INTERNATIONAL, LLC","W INTERNATIONAL, LLC",Domestic,29.105623,51,2016-12-05,2024-10-09,,,,,"W International, as a group/facility network, is publicly described as a manufacturer of large complex metal fabrications, shipbuilding structures, modules and assemblies. Public reporting states that W International produced modules for General Dynamics Electric Boat and Newport News and that the acquired Goose Creek facility made modules used in Virginia-class and Columbia-class submarine construction. Because this row is W International, LLC rather than the W International SC entity, I treat the role as the same module/fabrication family but with slightly lower UEI-specific certainty.",https://news.usni.org/2025/01/27/hii-completes-aqusition-of-w-international-assets | https://news.usni.org/2024/12/04/newport-news-shipbuilding-acquires-south-carolina-facility-from-w-international | https://www.highergov.com/awardee/w-international-llc-10425136/ | https://www.highergov.com/awardee/w-international-sc-llc-12674116/ | https://virginiabusiness.com/hii-closes-on-south-carolina-plant-acquisition/
KYURG7LRSC89,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",,"Circor International, Inc.",CIRCOR NAVAL SOLUTIONS LLC,Domestic,28.750696,34,2017-01-25,2025-05-05,,,,,"This UEI is CIRCOR Naval Solutions/Warren Pumps in Warren, Massachusetts. It supplies engineered centrifugal pumps and pump components for submarine cooling, seawater, auxiliary, and other fluid systems; the exact Virginia-class pump service in this subaward is not publicly identified.","https://www.highergov.com/awardee/circor-naval-solutions-llc-10110392/
https://www.circor.com/news/circor-brand-warren-pumps-holds-125th-year-anniversary-event
https://www.circor.com/brands/warren-pumps"
QNEXJLA47BM4,336611,Ship Building and Repairing,,"JAMESTOWN METAL MARINE SALES, INC.","JAMESTOWN METAL MARINE SALES, INC.",Domestic,28.14873,50,2016-04-21,2024-11-15,,,,,Supplies marine accommodation/joiner systems and interior hardware for Virginia-class submarines. A hardware supplier states that Jamestown commissioned the class's stainless-steel 3811-series mortise door-lock system.,"https://www.thebrassworksinc.com/military/
https://www.jmms.com/marine/"
PUG1H9MFJD63,332313,Plate Work Manufacturing,,"AMERICAN TANK & FABRICATING CO, THE","AMERICAN TANK & FABRICATING CO, THE",Domestic,26.424071,47,2016-09-13,2024-08-21,,,,,"Supplies heavy fabricated material for the Virginia-class propulsor forward assembly. A disclosed AT&F subcontract sits under BAE’s Navy contract for Virginia-class propulsor forward-subassembly material, manufacturing, and delivery.","https://www.highergov.com/subcontract/N0016724D0004-N0016725F1185-412960/
https://www.highergov.com/contract/N0016724D0004-N0016725F1185/
https://www.baesystems.com/en-us/article/bae-systems-awarded-92-million-us-navy-contract-for-virginia-class-submarine-propulsors"
K3XPS1HXNBF3,332710,Machine Shops,,"B & F MACHINE CO., INC.","B & F MACHINE CO., INC.",Domestic,25.797259,217,2016-02-19,2025-08-22,,,,,"Machines long, tight-tolerance submarine parts for Electric Boat using a dedicated facility built to bore and hone long components. Public sources confirm submarine manufacturing support but do not identify the specific Virginia-class part.","https://bfmachine.com/whats-new/
https://bfmachine.com/capabilities-equipment/cnc-milling/"
UHXFGP3DCRK7,335312,Motor and Generator Manufacturing,,HANSOME ENERGY SYSTEMS INC,HANSOME ENERGY SYSTEMS INC,Domestic,25.35929,9,2020-01-08,2024-08-21,,,,,Designs and manufactures precision motors and generators for naval and submarine electrical machinery. The exact Virginia-class motor or generator model covered by the subaward was not publicly disclosed.,"https://hanenergy.com/about-us/
https://www.highergov.com/awardee/hansome-energy-systems-inc-10009380/"
K294P4QJHFU9,541611,Administrative Management and General Management Consulting Services,,,MW JONES & COMPANY INC,Domestic,24.31,4,2017-05-12,2023-07-26,,,,,"Provides shipbuilding and program-management advisory services, including design-for-affordability, production planning, coordination, and industry expertise. The exact Virginia-class task performed under the subaward was not publicly described.","https://mwjones.com/industry-advisors/
https://www.highergov.com/subcontract/N0002417C2100-1000042259/"
NEGFNA8YS723,339999,All Other Miscellaneous Manufacturing,,"ALLARD NAZARIAN GROUP, INC.","ALLARD NAZARIAN GROUP, INC.",Domestic,24.098969,16,2016-10-07,2024-08-23,,,,,"Through Granite State Manufacturing, produces precision-machined, welded, and electromechanical submarine components. Public reporting on Block V work says its products help submarines breathe, listen, and communicate, and identifies cable-handling systems; the exact product names were not released.","https://granitestatemfg.com/granite-state-manufacturing-secures-25-million-in-new-us-navy-contracts/
https://www.businessnhmagazine.com/article/submarine-manufacturing-spurs-workforce-demand"
V1MQFNQB56Z5,333912,Air and Gas Compressor Manufacturing,,RIX INDUSTRIES,RIX INDUSTRIES,Domestic,23.436192,16,2017-05-11,2024-11-19,,,,,"RIX Industries supplies high-pressure air compressor equipment for Virginia-class submarines. Public RIX and defense-contract reporting describe a multimillion-dollar U.S. Navy contract to deliver 25 Virginia-class high-pressure air compressors, continuing a long naval relationship. These compressors support submarine high-pressure air systems used for critical onboard functions.",https://www.rixindustries.com/rix-industries-awarded-us-navy-contract | https://www.defenseindustrydaily.com/rix-industries-tapped-for-virginia-class-compressors-nigeria-to-boost-counter-terrorism-capabilities-japan-philippines-to-hold-defense-talks-0241652/
MU3CM1145E44,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",,PROGENY SYSTEMS CORPORATION,PROGENY SYSTEMS CORPORATION,Domestic,21.830266,34,2016-05-18,2022-02-22,,,,,"Develops, integrates, produces, and supports AN/BYG-1 submarine combat-control capabilities, including weapon-launch hardware and software, trainers/simulators, and systems engineering. AN/BYG-1 is fielded on Virginia-class submarines.","https://gdmissionsystems.com/submarine-systems/combat-systems/an-byg-1
https://gdmissionsystems.com/sea/progeny-systems"
GZ57A195G7K6,541330,Engineering Services,,Dover Corporation,WAUKESHA BEARINGS CORPORATION,Domestic,21.569487,6,2017-05-24,2017-05-24,,,,,Supplies electrical-resistance temperature “lower probe” assemblies used in Virginia-class submarine engineering and diesel systems. Federal logistics data identifies Waukesha part C370-023 and related part F061-000-033 item 168 for SSN-774; a public source for the exact bearing assembly monitored was not found.,"https://www.lqlite.com/NSN/6685-01-379-6353
https://www.waukbearing.com/en/industries/marine.html"
PTMFLMD2CUB4,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,,"L3HARRIS TECHNOLOGIES, INC.","L3 TECHNOLOGIES, INC.",Domestic,21.035295,24,2016-05-23,2025-01-15,,,,,"This UEI is an L3 Technologies corporate/Camden registration associated with communications and electronic systems contracting. I found no public evidence that separates a concrete Virginia-class deliverable for this entity from the affiliated Henschel, KEO, Chesapeake Sciences, or maritime-power operating units.",https://www.highergov.com/awardee/l3-technologies-inc-10109684/
TZVRTYNM3MN3,332313,Plate Work Manufacturing,,,"PEGASUS STEEL, LLC",Domestic,20.777159,68,2016-10-31,2025-08-15,,,,,"Fabricates large, complex, and fracture-critical steel structures for Virginia- and Columbia-class submarines. Its work includes plate cutting and forming, precision machining, welding, and assembly.","https://arlingtoncap.com/news/arlington-capital-partners-announces-the-acquisition-of-pegasus-steel/
https://peprofessional.com/2023/06/pegasus-steel-acquired-by-arlington/"
E9DKKLZNCQS9,334419,Other Electronic Component Manufacturing,,AGI UK ACQUISITION LIMITED,AISH TECHNOLOGIES LTD,Foreign,19.111383,18,2017-07-27,2025-04-08,,,,,"Designs and manufactures critical electronic and electromechanical equipment for Virginia-class Blocks I-V. Public parts data links Aish terminal-board hardware to a Virginia-class data-acquisition unit, although the exact subaward configuration is not disclosed.","https://www.aishtechnologies.com/news/success-in-virginia-class-sub-delivery/
https://www.asapsemi.com/nsn/rfq/aish-technologies-ltd/5940015162439/s9633-b3-mma-010-item-7-4-11/"
C256E427Q518,332323,Ornamental and Architectural Metal Work Manufacturing,,,"DELTAK MANUFACTURING, INC.",Domestic,18.679934,6,2017-03-30,2022-03-31,,,,,"The exact Virginia-class component could not be confirmed publicly. Deltak is a custom metal fabricator providing laser/plasma cutting, forming, machining, robotic welding, and contract manufacturing.","https://deltakmfg.com/
https://deltakmfg.com/about/
https://www.highergov.com/subcontract/N0002417C2100-SNG091-028/"
N79NY6FRL2F3,332996,Fabricated Pipe and Pipe Fitting Manufacturing,,CUSTOM ALLOY CORPORATION,CUSTOM ALLOY CORPORATION,Domestic,18.358981,80,2016-10-31,2024-12-17,,,,,"Supplies Level I Navy seamless and welded fittings, forgings, and pipe. Public transaction materials identify Custom Alloy as a dual source for Virginia-class main-seawater-system fittings.","https://customalloycorp.com/about-custom-alloy/
https://www.ssgca.com/client-transaction/custom-alloy-corporation/"
F76KN7T9YP64,333613,Mechanical Power Transmission Equipment Manufacturing,,WAUKESHA BEARINGS CORPORATION,WAUKESHA BEARINGS CORPORATION,Domestic,17.636409,4,2023-03-10,2024-10-09,,,,,Public parts-catalog data links Waukesha bearing hardware and associated temperature-sensing/probe components to Virginia-class submarine systems. The exact bearing assembly covered by this subaward was not publicly disclosed.,"https://www.parttarget.com/Waukesha-Bearings-Corporation_nsn-parts_061000083ITEM200_000080010-000.html
https://www.asapsemi.com/nsn/rfq/waukesha-bearings-corporation/6685013796353/f061-000-033pc168/"
KENVPMBVBT39,336611,Ship Building and Repairing,,"RHOADS METAL FABRICATIONS, INC.","RHOADS METAL FABRICATIONS, INC.",Domestic,17.568601,17,2022-02-08,2024-10-09,,,,,"The exact Virginia-class deliverable could not be confirmed publicly. Rhoads performs heavy and custom metal fabrication, machining, welding, and shipboard/maritime construction and repair for Navy customers.","https://www.rhoadsinc.com/
https://www.highergov.com/awardee/rhoads-metal-fabrications-inc-12007090/"
LB1XJ5UY5961,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",,"Circor International, Inc.","CIRCOR PUMPS NORTH AMERICA, LLC",Domestic,17.019982,22,2016-11-23,2018-01-26,,,,,"This UEI resolves to the IMO Pump Division in Monroe, North Carolina, not Warren Pumps. It manufactures rotary/screw pump units and pump components for naval fluid systems; public notices confirm pump-unit supply, but do not identify the exact Virginia-class service.","https://www.highergov.com/awardee/imo-industries-inc-10117597/
https://sam.gov/workspace/contract/opp/992660437aa71da16d879234889bfea0/view
https://www.circor.com/brands/imo"
GLU5BML5XQK2,,n/a (no SAM record),,,Romey Paul Ventures LLC,Domestic,16.112232,7,2017-12-18,2018-01-26,,,,,"The subaward record establishes participation in the Virginia-class program, but no reliable public source was found that identifies this company's specific component, material, or service.",No reliable public source located
