primary_naics_6,desc,vendors,dollars_$M,pct_dollars
423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers ",13,35.21,0.2
334111,Electronic Computer Manufacturing ,16,34.99,0.2
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,13,33.63,0.19
423830,Industrial Machinery and Equipment Merchant Wholesalers ,14,32.74,0.18
513210,Software Publishers,6,32.0,0.18
541613,Marketing Consulting Services ,1,31.57,0.18
488510,Freight Transportation Arrangement ,1,30.22,0.17
811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance ,3,29.45,0.17
331529,Other Nonferrous Metal Foundries (except Die-Casting) ,6,28.34,0.16
332322,Sheet Metal Work Manufacturing ,6,27.5,0.15
541519,Other Computer Related Services,7,25.75,0.14
333120,Construction Machinery Manufacturing,3,25.71,0.14
236220,Commercial and Institutional Building Construction ,9,25.13,0.14
332323,Ornamental and Architectural Metal Work Manufacturing ,2,23.49,0.13
561320,Temporary Help Services,6,21.68,0.12
532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing ,6,20.63,0.12
333517,MACHINE TOOL MANUFACTURING,6,20.57,0.12
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing ,6,20.23,0.11
335929,Other Communication and Energy Wire Manufacturing ,4,18.37,0.1
333618,Other Engine Equipment Manufacturing ,1,15.82,0.09
325991,Custom Compounding of Purchased Resins ,2,15.82,0.09
424710,Petroleum Bulk Stations and Terminals ,1,15.59,0.09
423690,Other Electronic Parts and Equipment Merchant Wholesalers ,8,15.45,0.09
334519,Other Measuring and Controlling Device Manufacturing ,8,15.31,0.09
423840,Industrial Supplies Merchant Wholesalers,13,14.87,0.08
333992,Welding and Soldering Equipment Manufacturing ,3,14.33,0.08
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing ,2,13.81,0.08
541512,Computer Systems Design Services ,5,13.78,0.08
331420,"Copper Rolling, Drawing, Extruding, and Alloying",3,13.56,0.08
332721,Precision Turned Product Manufacturing ,4,13.5,0.08
238320,Painting and Wall Covering Contractors,2,11.5,0.06
325510,Paint and Coating Manufacturing,2,10.56,0.06
332112,Nonferrous Forging ,2,10.53,0.06
332321,Metal Window and Door Manufacturing ,2,10.25,0.06
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing ",3,9.83,0.06
483113,Coastal and Great Lakes Freight Transportation ,1,9.81,0.06
336612,Boat Building ,2,9.79,0.05
238290,Other Building Equipment Contractors ,1,9.69,0.05
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing ,1,8.99,0.05
423510,Metal Service Centers and Other Metal Merchant Wholesalers ,5,8.42,0.05
484121,"General Freight Trucking, Long-Distance, Truckload ",1,8.14,0.05
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers ",3,7.54,0.04
336411,Aircraft Manufacturing ,2,7.53,0.04
423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,9,6.54,0.04
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing ,2,6.2,0.03
325520,Adhesive Manufacturing,3,5.9,0.03
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing ,5,5.71,0.03
335314,Relay and Industrial Control Manufacturing ,4,5.42,0.03
238220,"Plumbing, Heating, and Air-Conditioning Contractors ",7,5.32,0.03
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing ",6,5.24,0.03
551112,Offices of Other Holding Companies ,1,5.23,0.03
237990,Other Heavy and Civil Engineering Construction ,2,4.8,0.03
335931,Current-Carrying Wiring Device Manufacturing ,3,4.48,0.03
561910,Packaging and Labeling Services,1,4.44,0.02
335910,Battery Manufacturing ,1,4.36,0.02
339113,Surgical Appliance and Supplies Manufacturing ,2,4.35,0.02
334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing ,4,4.3,0.02
561311,Employment Placement Agencies ,1,4.03,0.02
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",3,3.67,0.02
332216,Saw Blade and Handtool Manufacturing ,1,3.25,0.02
332510,Hardware Manufacturing,3,3.15,0.02
423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers ,3,3.05,0.02
425120,Wholesale Trade Agents and Brokers ,1,2.83,0.02
423710,Hardware Merchant Wholesalers ,2,2.83,0.02
331110,Iron and Steel Mills and Ferroalloy Manufacturing ,2,2.69,0.02
335132,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing ",2,2.66,0.01
322211,Corrugated and Solid Fiber Box Manufacturing ,1,2.64,0.01
562910,Remediation Services ,2,2.61,0.01
221310,WATER SUPPLY AND IRRIGATION SYSTEMS,3,2.51,0.01
333248,All Other Industrial Machinery Manufacturing ,2,2.5,0.01
541990,"All Other Professional, Scientific, and Technical Services",2,2.31,0.01
336414,Guided Missile and Space Vehicle Manufacturing ,1,2.24,0.01
541511,Custom Computer Programming Services ,3,2.21,0.01
541380,Testing Laboratories and Services,4,1.98,0.01
337127,Institutional Furniture Manufacturing ,2,1.97,0.01
561612,Security Guards and Patrol Services ,2,1.88,0.01
325211,Plastics Material and Resin Manufacturing ,1,1.74,0.01
332613,Spring Manufacturing ,1,1.61,0.01
326113,UNLAMINATED PLASTICS FILM AND SHEET (EXCEPT PACKAGING) MANUFACTURING,1,1.45,0.01
238350,Finish Carpentry Contractors,1,1.35,0.01
332311,Prefabricated Metal Building and Component Manufacturing ,2,1.34,0.01
923110,Administration of Education Programs ,1,1.25,0.01
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing ",3,1.16,0.01
334516,Analytical Laboratory Instrument Manufacturing ,1,1.13,0.01
561990,All Other Support Services,1,1.01,0.01
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive) ",1,0.99,0.01
333999,All Other Miscellaneous General Purpose Machinery Manufacturing ,1,0.94,0.01
238990,All Other Specialty Trade Contractors,3,0.93,0.01
326199,ALL OTHER PLASTICS PRODUCT MANUFACTURING,3,0.91,0.01
337214,Office Furniture (except Wood) Manufacturing ,2,0.87,0.0
541310,Architectural Services,1,0.82,0.0
326220,Rubber and Plastics Hoses and Belting Manufacturing,3,0.81,0.0
424690,Other Chemical and Allied Products Merchant Wholesalers ,2,0.8,0.0
331524,Aluminum Foundries (except Die-Casting) ,2,0.8,0.0
334412,Bare Printed Circuit Board Manufacturing  ,1,0.7,0.0
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use ",1,0.7,0.0
444190,Other Building Material Dealers ,1,0.68,0.0
424410,General Line Grocery Merchant Wholesalers ,1,0.65,0.0
713990,All Other Amusement and Recreation Industries ,1,0.63,0.0
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",2,0.57,0.0
334310,Audio and Video Equipment Manufacturing,1,0.55,0.0
532310,General Rental Centers,1,0.53,0.0
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers ",1,0.52,0.0
332618,Other Fabricated Wire Product Manufacturing ,2,0.52,0.0
332114,Custom Roll Forming ,1,0.52,0.0
339920,Sporting and Athletic Goods Manufacturing,1,0.5,0.0
327910,Abrasive Product Manufacturing,1,0.49,0.0
326299,All Other Rubber Product Manufacturing ,2,0.48,0.0
333994,Industrial Process Furnace and Oven Manufacturing ,1,0.48,0.0
333996,Fluid Power Pump and Motor Manufacturing ,1,0.46,0.0
238120,STRUCTURAL STEEL AND PRECAST CONCRETE CONTRACTORS,1,0.45,0.0
811210,Electronic and Precision Equipment Repair and Maintenance ,1,0.44,0.0
321213,Engineered Wood Member (except Truss) Manufacturing ,1,0.43,0.0
532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing ",1,0.43,0.0
314910,Textile Bag and Canvas Mills ,2,0.41,0.0
444130,Hardware Stores ,1,0.39,0.0
561621,Security Systems Services (except Locksmiths) ,2,0.38,0.0
339950,Sign Manufacturing,1,0.35,0.0
541620,Environmental Consulting Services,1,0.35,0.0
488330,Navigational Services to Shipping ,1,0.33,0.0
562211,Hazardous Waste Treatment and Disposal ,1,0.33,0.0
423490,Other Professional Equipment and Supplies Merchant Wholesalers ,1,0.31,0.0
524291,Claims Adjusting ,1,0.29,0.0
561622,Locksmiths ,1,0.29,0.0
423740,Refrigeration Equipment and Supplies Merchant Wholesalers ,1,0.24,0.0
531120,Lessors of Nonresidential Buildings (except Miniwarehouses) ,1,0.23,0.0
325120,Industrial Gas Manufacturing,1,0.23,0.0
423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers ,1,0.21,0.0
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,1,0.15,0.0
