code,n_subawards,total_usd,modal_swbs_group,top_components
02517-01,30,9804268.8,,CLOSURE VENTILATION; CLOSURE VENT
01022-01,40,9645176.41,,HATCHES
01021-01,44,9573639.91,,STRUCTURAL DOORS
01013-03,18,9494092.64,581,ANCHOR WINDLASS
04071-01,8,9458742.17,436,SHBD FIRE DETECTION
03062-01,15,9265431.57,259,INTAKE SILENCERS
03191-02,14,9170417.53,593,VCHT SYSTEM
04068-01,28,8900464.58,504,TANK LEVEL INDICATORS
03247-01,23,8880086.23,593,MEMBRANE OWS POL SYST
03174-02,14,8734964.22,,HALON INSTALLATION
03006-01,19,8721732.99,541,FUEL FILTER/SEPARATOR
01003-05,13,8623162.05,583,
03031-01,8,8559184.97,505,HYDRAULIC VALVES
03249-01,19,8448595.02,262,FLTR/SEPR PURIFIER
02537-01,20,8395311.52,512,FAN COIL ASSEMBLIES
08253-01,22,7818608.56,,
03204-01,8,7813566.79,244,MAIN THRUST BEARINGS
02537-03,28,7704551.84,512,FAN COIL UNITS
03236-01,11,7659147.6,503,CENTRALIZED PUMP
09137-01,23,7415961.55,,SOW POTABLE WATER MIST TANKS; HIGH SOLIDS PAINT
02507-01,20,7343404.78,512,COILS UNIT COOLER
04067-01,16,7272594.85,351,CURR LIMITING DEVICE
03106-01,37,7153155.52,,GAUGES PRESS; GAGES PRESSURE; GAUGES PRESSURE
09108-01,27,6975514.32,,BLAST PAINT; AGREEMENT ICCI; AGREEMENT IMIA
03029-01,12,6656289.68,555,AFFF PROPORTIONER
01039-01,19,6607462.37,,COMMISSARY EQUIPMENT
04020-01,24,6307578.52,314,TRANSFORMERS
03078-01,13,6131516.59,,CONTROL VALVE
07047-01,15,6013776.56,,
03035-01,13,5513503.42,262,MRG LUBE OIL CLR
04091-01,17,5473048.41,324,
01140-01,18,5419383.45,730,OVHD WEAPON HNDLG SYS
04072-01,2,5410898.0,,FREQUENCY CHANGER
04090-01,15,5355245.07,310,GROUNDING ASSY
04077-01,12,5206753.16,475,ACTIVE SHAFT GRND SYS
01027-01,37,5067554.02,,SCUTTLES
03235-01,12,4936490.56,551,WPN SYS AIR COMP
08254-01,16,4842702.56,,
05149-01,39,4659596.68,,
07020-01,20,4658345.59,,
02545-02,9,4643450.66,512,VANEAXIAL FANS
01003-04,14,4616913.62,583,BOAT DAVIT WINCH
03197-01,13,4573584.66,555,AFFF FIRE EXT SYST
01061-01,14,4544755.12,,
02000-04,12,4464419.48,516,MOD SYS S/S
07016-01,33,4391740.92,,
03090-01,18,4377254.99,262,RED GEAR L/O STRAINER
05246-01,10,4334658.0,,
04068-02,12,4295394.13,504,RADAR TDR TLIs
07012-02,27,4285920.24,,
03030-03,10,4228763.5,503,CHILLED WATER PUMP
04017-01,11,4121209.66,314,POWER SUPPLY
05011-01,12,4047938.48,,RUDDER STOCKS
03065-01,18,3967176.2,551,AIR PRES RED MANIFOLD
01140-02,18,3822244.03,730,TORPEDO CHOCKS
03189-01,18,3749262.0,532,ELEC WATER HEATER; ELECTRIC WATER HEATER
03008-01,9,3672057.26,541,FUEL HEATERS
04084-01,12,3660082.24,324,SOLID STATE ABT
07003-01,10,3613922.5,,VALVE GLOBE CLOSE
01114-01,10,3599457.37,581,ANCHOR CHAINS
07000-01,15,3432484.64,,VALVE GATE
05055-01,13,3398170.88,,SEAL ASSY RUDDER STK
03042-01,13,3392248.29,503,PUMP CENTRIFUGAL
01040-01,16,3359980.03,,
04085-01,17,3354545.01,324,COTS MFM III
04086-01,12,3280750.77,433,DIGITAL ANNOUNC SYST
04081-01,12,3157926.37,451,SEC NAV RADAR SYSTEM
02524-01,14,3142362.39,512,ELEC DUCT HEATERS
07055-01,19,3136510.26,,
07056-01,14,3070559.14,,VALVE GLOBE
03165-01,13,3066806.71,503,POS DISP PUMPS GRP
03191-01,12,3058973.0,593,VCHT TRANSFER PUMP
07018-01,14,2947628.03,,
01039-03,10,2941459.18,,COMMISSARY EQUIPMENT
02004-02,27,2931862.73,,VALVE SOLENOID
03217-01,13,2839457.0,,VALVE CONTROL
08160-01,23,2835299.69,,
04093-01,6,2819766.14,314,
01011-01,19,2759759.84,582,WARPING CAPSTAN
03174-01,4,2644784.13,,HALON FIRE EXT SYSTEM
01039-02,12,2637926.07,,COMMISSARY EQUIPMENT
03149-01,18,2630135.0,541,FUEL SERV PREFILTER
03063-01,11,2548193.45,551,BLEED AIR COOLERS
01041-01,14,2520103.0,,MODULAR REEFERS
07011-01,10,2480972.72,,
07057-01,14,2477090.13,,VALVE GLOBE
01055-01,19,2461049.94,,
03185-01,13,2459433.76,262,OIL TANK HEATERS
01006-01,5,2451829.31,,PACKAGE CONVEYOR
07022-01,28,2403143.89,,VALVE SWING CHECK; BID CONTROL
08022-01,35,2389722.75,,
03246-01,12,2385421.62,551,AIR COMPRESSOR
02506-02,10,2372503.72,512,CENTRIFUGAL FANS
03136-01,8,2361538.69,244,STERN TUBE SEALS
07027-01,18,2329270.47,,
07094-01,33,2314787.0,,STRAINER; STRAINER WYE; STRAINER ABOM
05007-02,10,2291069.94,,LEAD TRAIL CASTINGS
03202-01,8,2235813.66,,
08222-01,19,2233237.59,,
03068-01,8,2210795.81,244,BULKHEAD SHAFT SEAL
03202-02,6,2210190.35,505,
04016-01,13,2179156.37,633,CATHODIC PROT SYS
04011-01,19,2170131.29,431,MAIN SWITCHBOARD
07009-01,26,2126114.82,,VALVE RELIEF
07280-01,32,2019562.41,,
02508-01,14,1939926.99,512,AIRTIGHT CLOSURES
07014-02,20,1910453.95,,VALVES
07014-01,15,1897405.4,,VALVE PLUG
07000-02,15,1887990.13,,VALVE GLOBE
01040-02,13,1886472.0,,WINDOW FXD TILTED
07058-01,16,1875393.83,,VALVE GLOBE
03257-01,6,1835473.0,,
03081-01,11,1830525.95,551,TURB STRT AIR FILTER
01019-01,8,1790916.0,,LIFE RAFTS
01056-02,8,1744465.88,,
08404-01,14,1723479.0,,
04022-01,9,1663859.52,,TRANSFORMERS
08040-02,27,1646741.78,,
02525-01,14,1628097.05,512,ELEC CONV HEATERS
04040-03,20,1616369.1,,
07094-02,7,1584047.57,,STRAINER
05003-01,8,1568017.51,,BOLSTER CASTINGS
03087-02,17,1512121.73,551,BLEED AIR RELIEF VLV
07075-01,12,1511861.49,,VALVE BALL
07023-01,14,1507613.5,,
07004-01,14,1489996.58,,
01001-01,13,1465896.23,712,AMMO STRIKEDN EQP; AMMO STIRKEDN EQP
07008-01,13,1464750.13,,VALVE CONTROL
03190-01,13,1414157.23,262,LUBE OIL PUR HEATER
05049-02,9,1343624.4,,DOORS CIWS EQUIP
05013-01,7,1289224.8,,RUDDER BEARINGS
05242-01,16,1211596.04,,
02004-01,12,1209825.0,505,SOLENOID OPER VALVES
08135-01,12,1207217.76,,
05005-01,7,1205530.0,,
03203-02,8,1189861.08,551,MEMBRANE DEHYDRATOR
04100-01,10,1175456.18,,AESS ASSFC
07000-03,15,1159144.9,,VALVE SWING
04041-01,17,1130352.5,,INDICATOR
07015-01,20,1104399.69,,
05006-01,11,1053890.47,,RUDDER BEARING SLEEVE; RUDDER SLEEVES; RUDDER SLEEVES B&H
01039-05,8,1042756.77,,
03033-01,8,1040987.59,551,DEHYDRATOR TYPE
07307-02,18,1022706.0,,
01028-01,15,986773.0,,
05050-02,13,967097.2,,
07005-01,16,945163.0,,VALVE GLOBE
07219-01,12,944898.92,,
07297-01,10,944395.0,,
05503-01,8,943415.5,,
05140-03,12,942170.99,,
02520-01,9,899879.16,,HOOD GRS INTCPR
08007-05,14,898261.05,,
08365-01,14,880795.31,,
07012-03,5,858496.0,,
01139-02,8,849698.84,,
08254-11,9,837157.15,,
01044-01,5,832156.0,,ACCOM LADDER
01051-01,11,812280.77,,LOCKS KEYS TAGS
08007-13,16,786690.05,,
08348-01,13,770916.8,,
08324-01,15,754232.0,,
07065-01,13,748877.86,,VALVE RELIEF
07024-01,9,741576.7,,
04046-01,17,739533.0,314,HELI STRT PWR SUPPLY
07046-01,10,735967.0,,EDUCTOR; REPLACES
08517-01,12,733753.64,,
05248-01,13,731622.0,,RFQ
03106-02,4,716976.16,,
05000-01,12,699806.0,,STEM BAR CASTING; B&H
05104-01,11,691925.0,,
09518-01,10,689171.0,,BULB TEE OUTSOURCING; BULB TEE
07021-01,12,676506.29,,VALVE SCUPPER
08034-01,10,668014.5,,
05195-01,15,649136.69,,
03201-01,8,642498.6,551,AIR FILTER EQUIPMENT
01061-02,10,634418.89,,
07002-01,12,633810.2,,VALVE SOLENOID; VALVE PILOT
01137-01,13,612104.11,571,UNREP SYSTEM
07042-01,3,606138.0,,SEAL ASSY RUDDER STK
08106-02,7,593525.0,,
03120-01,11,578390.0,,
03206-01,15,561685.18,551,DIFF PRES FLOW METER
07309-01,9,552967.0,,
04083-01,5,539712.72,,OWN SHIPS SPEED LOG
07356-01,6,537103.0,,
03243-01,3,535460.0,,
09613-01,2,521075.37,,
03215-01,10,503440.0,,RELIEF VALVE
07131-02,11,502572.57,,
07214-01,8,500188.42,,NOZZLE FIRE HOSE; NOZZLE
07197-01,13,497550.0,,
07052-01,10,491300.86,,
03137-01,6,486122.1,,VALVE GAGE
05016-01,7,485851.3,,KIT ASSY NON-SKID
07039-01,9,482209.82,,TANK RCVR RELAY; TANK RCVR/RELAY; TANK RCVR RELAY ABOM
01034-01,7,481499.0,,EXTRACTOR WASHER
08054-01,10,480557.5,,
07189-01,5,479750.0,,
02558-01,12,478067.57,512,CPS PRESSURE CTRL VLV
05007-01,3,474779.0,,RUDDER HUB CASTINGS
04074-01,4,450329.0,,VISUAL LANDING AIDS
08079-01,9,448641.44,,
05022-01,12,439712.0,,B&H BOLSTER CASTINGS
08022-03,11,432400.6,,
03207-01,12,427865.22,532,HOT WTR CIRC PUMP
07202-01,11,426958.0,,
01010-01,12,418920.22,,LOCKER WEAPONS
01036-01,9,411491.7,,
04062-01,5,404147.42,,SHIPS E&T SYSTEM
05070-01,8,393420.84,,
02533-01,6,387543.0,,CONNECTOR FLEXIBLE; CONNECTOR
08013-09,10,385344.0,,
07141-01,10,382908.88,,
03168-01,5,377161.3,,
04047-01,12,373401.44,314,RECTIFIER PWR SUPPLY
04052-01,11,373338.95,,
05089-01,9,357090.0,,
05262-01,5,352453.12,,
03005-01,9,349890.58,503,TRANSFER PUMP
07006-01,11,341151.55,,VALVE PRESS REG
01018-01,8,338970.0,,LOCKER STOWAGE
03007-02,10,337062.19,529,OILY WASTE TRANS PUMP
01050-01,9,321587.5,,HACKSAW
01066-01,5,314009.86,,HANDLING EQPT
07338-01,7,300102.12,,PUMP ROTARY VANE; PUMP ROTARY VINE
03237-01,9,296131.74,532,RAST HYD EXCHANGER
08026-01,9,292691.0,,
07317-01,9,288374.63,,FILTER CARBON AIR; FILTER AIR
07019-01,7,272507.7,,
08512-01,6,272094.88,,
01130-02,6,270032.9,,
01056-54,2,267413.0,,
03095-01,6,266622.84,,REEL HOSE; HOSE ASSY
01014-01,5,265674.25,,FAIRWATER COMPOSITE
04048-01,1,265487.58,,A/C SOLID STATE CONT
03069-01,1,264890.0,,PSC
08103-01,8,262944.0,,
01035-01,9,256637.0,,PRESS LAUNDRY
07225-01,7,254374.0,,
05060-01,6,253810.0,,
07105-01,6,242014.75,,VALVE VENT
07001-01,7,240905.62,,
08027-01,8,240592.0,,
08317-01,7,238514.0,,
01056-45,2,216403.0,,
05241-01,6,213784.38,,
07235-01,7,212848.97,,
01004-03,5,196049.42,,
03163-01,4,187882.96,,
01080-01,7,185666.0,,
02013-01,2,180282.0,,
08101-03,6,177267.0,,
08031-01,6,173366.4,,
08008-13,5,171375.0,,
01056-46,5,165248.0,,
08254-08,2,164291.96,,
05283-01,4,161748.6,,RFQ
08016-02,4,155049.17,,
01062-02,5,150372.0,,
07095-01,5,148515.0,,TRAP CONDENSATE
01010-04,3,146561.0,,LOCKER AMMUNITION
02021-01,4,146557.84,,VALVE BALANCING; BALANCING VALVES
07053-01,4,146195.1,,VALVE FOOT
04023-01,4,144900.0,,CHARGER
08109-02,4,143570.0,,
08024-01,4,142428.0,,
07198-01,5,139664.0,,
05283-03,4,136037.0,,
07085-01,3,134952.0,,CONNECTOR FLEXIBLE
09315-01,2,134940.69,,HOUSING FILTERS; CBR FILTERS
07163-01,4,132103.0,,
07167-02,4,127246.0,,
05283-04,4,122598.1,,
07067-01,4,112920.0,,STRAINER SIMPLEX
03213-01,2,109874.4,,
07064-01,4,103030.84,,
02509-01,3,98346.68,,
01023-01,3,96235.0,,
09519-01,1,91500.0,,ACCOM LADDER
08284-01,2,91311.98,,
03106-04,3,87150.0,,
03182-01,3,86918.86,262,
07061-01,3,85775.8,,
01056-09,3,82394.0,,
03238-01,3,77550.0,,DEHYDRATOR
02031-01,3,77181.8,,WATER VENTURI METERS
03200-01,1,74800.0,551,
08485-01,2,72166.08,,
04015-02,2,64513.0,,HTZ CONTROL PANEL
01056-40,2,60270.0,,
07154-01,2,57396.3,,VALVE SOUNDING
07079-01,2,57290.0,,STRAINER WYE ABOM; STRAINER WYE
02518-01,2,55761.04,,
07323-01,2,55380.0,,
08287-01,2,55160.0,,
07273-01,2,54208.44,,VALVE ASSY
07140-01,2,53184.43,,
08263-01,2,51271.8,,
07223-01,2,51192.7,,
02000-02,1,47913.0,,REFRIGERATION COOLERS
03209-01,1,43377.0,,
08094-04,1,42500.0,,RELAY
03248-01,1,41098.0,,
07013-01,1,35969.0,,
08224-01,1,34916.0,,
04016-91,1,34860.0,,
01056-39,1,34667.0,,
04111-01,1,33602.0,,P-IND
02515-02,1,31621.52,,
08354-01,1,30010.0,,
03174-91,1,28908.0,,
01023-02,1,28400.0,,LATHE
07049-03,1,28143.0,,
08032-01,1,28118.0,,
08080-01,1,28109.4,,
65323-01,1,27983.0,,
02557-01,1,26896.0,,KIT
03222-01,1,26546.35,,
07064-02,1,25844.0,,
