parent,psc,desc,net,breadth,n_years,span,latest_end,idv
Bechtel Plant Machinery,1140,NUCLEAR COMPONENTS,2196602098.0,5,3,2,2019,0
The Charles Stark Draper Laboratory,J014,MAINT/REPAIR/REBUILD OF EQUIPM,2186292742.84,3,3,13,2028,0
Austal,1910,"TRANSPORT VESSELS, PASSENGER A",1997693822.9299998,2,2,7,2020,0
Science Applications International,R425,SUPPORT- PROFESSIONAL: ENGINEE,1984400631.0500002,28,10,14,2027,0
Lockheed Martin,1230,"FIRE CONTROL SYSTEMS, COMPLETE",1979632975.29,7,4,10,2032,0
General Dynamics,1990,MISCELLANEOUS VESSELS,1973062204.4099998,6,5,10,2020,0
Peraton,D318,IT AND TELECOM- INTEGRATED HAR,1944512943.8399994,68,6,5,2021,0
Booz Allen,R425,SUPPORT- PROFESSIONAL: ENGINEE,1926352776.5400004,24,14,21,2027,1
RTX,1230,"FIRE CONTROL SYSTEMS, COMPLETE",1912896525.61,2,2,12,2027,0
Data Link Solutions,5821,RADIO AND TELEVISION COMMUNICA,1850392204.4199996,61,13,13,2108,0
Rockwell Collins,5821,RADIO AND TELEVISION COMMUNICA,1835372227.64,342,15,14,2028,0
BAE Systems,1420,GUIDED MISSILE COMPONENTS,1754987829.71,11,6,7,2027,0
Northrop Grumman,L010,TECHNICAL REPRESENTATIVE- WEAP,1645463909.1499999,6,5,10,2027,0
RTX,1260,FIRE CONTROL DESIGNATING AND I,1638547102.5500002,16,13,13,2030,0
Ram System Gmbh,1410,GUIDED MISSILES,1609041868.5,18,8,10,2032,0
Peraton,D310,IT AND TELECOM- CYBER SECURITY,1589457957.78,53,8,7,2020,0
Lockheed Martin,1427,GUIDED MISSILE SUBSYSTEMS,1539910999.31,5,5,6,2028,0
Lockheed Martin,1140,NUCLEAR COMPONENTS,1533695409.0,1,1,0,2020,0
General Dynamics,AC35,NATIONAL DEFENSE R&D SVCS; DEF,1480777208.54,2,2,6,2026,0
Alliant Techsystems Operations,1410,GUIDED MISSILES,1414293987.9699998,33,12,12,2028,0
Marine Hydraulics International,J998,NON-NUCLEAR SHIP REPAIR (EAST),1399680764.3400002,22,9,15,2026,0
Leidos,DJ01,IT AND TELECOM - SECURITY AND ,1399322980.1499996,97,5,4,2026,0
Huntington Ingalls,K019,MODIFICATION OF EQUIPMENT- SHI,1369132541.7099998,5,5,20,2027,0
General Dynamics,1230,"FIRE CONTROL SYSTEMS, COMPLETE",1328096529.93,7,6,16,2033,0
BAE Systems,5865,"ELECTRONIC COUNTERMEASURES, CO",1295339811.0400002,45,17,19,2029,0
The Johns Hopkins University Applied Physics Laboratory,AC32,NATIONAL DEFENSE R&D SERVICES;,1276498892.37,126,6,5,2029,0
Austal,1915,CARGO AND TANKER VESSELS,1245592803.0,1,1,0,2030,0
Lockheed Martin,5845,UNDERWATER SOUND EQUIPMENT,1226195181.0199997,76,15,18,2028,0
Leidos,DA01,IT AND TELECOM - BUSINESS APPL,1218937363.130001,59,6,5,2026,0
Lockheed Martin,J069,MAINT/REPAIR/REBUILD OF EQUIPM,1190926951.0,2,2,1,2009,0
Insitu,1550,UNMANNED AIRCRAFT,1147231879.3400006,239,15,14,2027,0
Austal,1925,SPECIAL SERVICE VESSELS,1145486700.0,3,2,2,2033,0
Lockheed Martin,5999,MISCELLANEOUS ELECTRICAL AND E,1140886334.41,28,16,22,2027,0
Caci Federal,R425,SUPPORT- PROFESSIONAL: ENGINEE,1128563488.3500001,12,8,19,2027,1
Northrop Grumman,5865,"ELECTRONIC COUNTERMEASURES, CO",1086087664.06,68,16,19,2029,0
RTX,5895,MISCELLANEOUS COMMUNICATION EQ,1082559560.29,32,12,17,2032,0
Lockheed Martin,K019,MODIFICATION OF EQUIPMENT- SHI,1055127941.5,1,1,0,2028,0
Hii Mission,R425,SUPPORT- PROFESSIONAL: ENGINEE,1053513220.74,6,5,12,2026,0
General Dynamics,AC33,NATIONAL DEFENSE R&D SERVICES;,1010124389.0,1,1,0,2011,0
Lockheed Martin,AC67,R&D- DEFENSE SYSTEM: ELECTRONI,986397838.81,7,5,4,2020,0
Lockheed Martin,1410,GUIDED MISSILES,977174726.7900002,29,13,29,2028,0
Lockheed Martin,3590,MISCELLANEOUS SERVICE AND TRAD,966400960.03,1,1,0,2029,0
Booz Allen,R408,SUPPORT- PROFESSIONAL: PROGRAM,940575594.3000001,9,6,6,2027,0
L3Harris,5820,RADIO AND TELEVISION COMMUNICA,936005636.7099999,398,11,12,2026,0
L3Harris,5825,"RADIO NAVIGATION EQUIPMENT, EX",923858179.7,83,8,10,2026,0
Blueforge Alliance,1905,COMBAT SHIPS AND LANDING VESSE,923094823.0,1,1,0,2027,0
RTX,1680,MISCELLANEOUS AIRCRAFT ACCESSO,914526076.4000001,15,10,16,2028,0
Pae Applied,M181,OPER OF GOVT R&D GOCO FACILITI,911313725.12,1,1,0,2022,0
Northrop Grumman,5895,MISCELLANEOUS COMMUNICATION EQ,909073153.62,18,7,7,2025,0
International Business Machines,DA01,IT AND TELECOM - BUSINESS APPL,897641600.52,3,3,4,2026,0
BAE Systems,L099,TECHNICAL REPRESENTATIVE- MISC,879195405.7900001,3,3,8,2027,0
L3,5821,RADIO AND TELEVISION COMMUNICA,873132051.9200001,27,11,12,2027,0
Continental Maritime Of San Diego,J999,NON-NUCLEAR SHIP REPAIR (WEST),865354646.41,15,8,8,2027,0
Data Link Solutions,5826,"RADIO NAVIGATION EQUIPMENT, AI",862756473.34,24,5,5,2027,0
General Dynamics,R425,SUPPORT- PROFESSIONAL: ENGINEE,849626235.5600001,11,8,21,2027,1
Viasat,5821,RADIO AND TELEVISION COMMUNICA,825719831.0600001,46,10,9,2023,0
General Dynamics,K019,MODIFICATION OF EQUIPMENT- SHI,821118614.97,2,2,2,2019,0
RTX,5865,"ELECTRONIC COUNTERMEASURES, CO",815940286.1300001,43,16,22,2029,1
BAE Systems,1905,COMBAT SHIPS AND LANDING VESSE,794875777.0500001,28,11,11,2030,0
Vse,J998,NON-NUCLEAR SHIP REPAIR (EAST),780805413.1100001,20,10,11,2024,0
RTX,H212,EQUIPMENT AND MATERIALS TESTIN,774039836.53,1,1,0,2024,0
Bollinger,1905,COMBAT SHIPS AND LANDING VESSE,745550869.18,7,4,20,2027,0
Gryphon L C,R425,SUPPORT- PROFESSIONAL: ENGINEE,740702187.71,7,5,14,2026,0
Lockheed Martin,K012,MODIFICATION OF EQUIPMENT- FIR,736538713.47,5,5,7,2030,0
Detyens Shipyards,J998,NON-NUCLEAR SHIP REPAIR (EAST),733618950.24,31,11,12,2026,0
Amentum Services,R425,SUPPORT- PROFESSIONAL: ENGINEE,728923069.73,10,7,12,2027,0
Lockheed Martin,1355,"TORPEDOS AND COMPONENTS, INERT",728545701.32,1,1,0,2028,0
Metro Machine,J999,NON-NUCLEAR SHIP REPAIR (WEST),721176908.7600001,8,5,11,2026,0
RTX,5826,"RADIO NAVIGATION EQUIPMENT, AI",713868915.45,3,3,8,2024,0
The Charles Stark Draper Laboratory,1427,GUIDED MISSILE SUBSYSTEMS,691899302.0,2,2,2,2029,0
L3,5826,"RADIO NAVIGATION EQUIPMENT, AI",687311161.24,32,8,8,2031,0
L3Harris,H914,OTHER QC/TEST/INSPECT- GUIDED ,672625686.13,2,2,4,2029,0
Lockheed Martin,1095,MISCELLANEOUS WEAPONS,667321278.98,2,2,5,2026,0
Kongsberg,1425,"GUIDED MISSILE SYSTEMS, COMPLE",656700340.0,1,1,0,2031,0
RTX,5845,UNDERWATER SOUND EQUIPMENT,646738006.9000001,18,11,11,2023,0
L3Harris,5865,"ELECTRONIC COUNTERMEASURES, CO",645677990.8699996,92,17,17,2027,1
BAE Systems,AC65,R&D- DEFENSE SYSTEM: ELECTRONI,642071610.9699999,7,5,10,2028,0
RTX,1265,FIRE CONTROL TRANSMITTING AND ,631860452.58,5,5,17,2029,1
Boeing,K016,MODIFICATION OF EQUIPMENT- AIR,616062084.0200001,8,5,14,2029,0
Hii Fleet Support,1905,COMBAT SHIPS AND LANDING VESSE,596234189.6600002,123,5,4,2027,0
Serco Ips,R408,SUPPORT- PROFESSIONAL: PROGRAM,583119738.7900001,3,3,3,2023,0
RTX,1425,"GUIDED MISSILE SYSTEMS, COMPLE",581682832.29,2,2,9,2026,0
Alliant Techsystems Operations,AC24,NATIONAL DEFENSE R&D SERVICES;,577657355.09,1,1,0,2025,0
The Pennsylvania State University,AC32,NATIONAL DEFENSE R&D SERVICES;,576036310.0899999,30,7,6,2029,0
Lockheed Martin,AC23,NATIONAL DEFENSE R&D SERVICES;,574126232.28,5,5,12,2026,0
Serco Ips,R425,SUPPORT- PROFESSIONAL: ENGINEE,562728593.5300001,6,5,18,2026,1
Science Applications International,1355,"TORPEDOS AND COMPONENTS, INERT",562563005.47,2,2,1,2032,0
Northrop Grumman,5841,"RADAR EQUIPMENT, AIRBORNE",550097547.5,52,13,21,2030,0
BAE Systems,1340,"ROCKETS, ROCKET AMMUNITION AND",546710836.73,3,3,3,2019,0
RTX,7G20,IT AND TELECOM - NETWORK: ANAL,545023096.96,2,2,5,2031,0
Bollinger,1935,"BARGES AND LIGHTERS, SPECIAL P",545021781.0699999,2,2,13,2027,0
Serco,R425,SUPPORT- PROFESSIONAL: ENGINEE,544398751.71,7,5,20,2027,1
Huntington Ingalls,J998,NON-NUCLEAR SHIP REPAIR (EAST),541697881.1800001,4,3,2,2021,0
Northrop Grumman,1410,GUIDED MISSILES,537768632.8700001,5,5,8,2030,0
Northstar Maritime Dismantlement Services,1905,COMBAT SHIPS AND LANDING VESSE,533749731.0,1,1,0,2029,0
Pae Applied,AC14,NATIONAL DEFENSE R&D SERVICES;,532794690.11,2,2,1,2020,0
Huntington Ingalls,J999,NON-NUCLEAR SHIP REPAIR (WEST),532705044.0,7,7,18,2026,0
BAE Systems,R425,SUPPORT- PROFESSIONAL: ENGINEE,522510807.84,5,5,14,2027,0
Northrop Grumman,2330,TRAILERS,499455722.74,1,1,0,2027,0
Planning And Analysis,R425,SUPPORT- PROFESSIONAL: ENGINEE,484960282.47,6,6,6,2029,0
L3,5810,COMMUNICATIONS SECURITY EQUIPM,483558603.03000003,20,11,16,2028,0
Management Services,1265,FIRE CONTROL TRANSMITTING AND ,483401534.11,1,1,0,2028,0
Lockheed Martin,1210,FIRE CONTROL DIRECTORS,478477518.5,1,1,0,2024,0
Boeing,AC33,NATIONAL DEFENSE R&D SERVICES;,477376202.99,2,2,4,2026,0
General Dynamics,U008,EDUCATION/TRAINING- TRAINING/C,475734309.01,2,2,6,2026,0
BAE Systems,5841,"RADAR EQUIPMENT, AIRBORNE",470873701.77,98,13,12,2028,0
Saab,5840,"RADAR EQUIPMENT, EXCEPT AIRBOR",468069504.9,7,6,8,2027,0
RTX,J014,MAINT/REPAIR/REBUILD OF EQUIPM,462467125.5299998,263,18,27,2028,0
Caci,R425,SUPPORT- PROFESSIONAL: ENGINEE,462036117.13,6,5,18,2025,0
Readiness Management Support Lc,R414,SYSTEMS ENGINEERING SERVICES,453989090.88,1,1,0,2016,0
RTX,R425,SUPPORT- PROFESSIONAL: ENGINEE,453357027.84,20,14,22,2029,1
General Dynamics,J019,MAINT/REPAIR/REBUILD OF EQUIPM,452687904.6,7,5,12,2026,0
Valiant Global Defense Services,J069,MAINT/REPAIR/REBUILD OF EQUIPM,448571006.59,5,4,11,2026,0
General Dynamics,5840,"RADAR EQUIPMENT, EXCEPT AIRBOR",447753327.0,1,1,0,2027,0
Scientific Research,J058,MAINT/REPAIR/REBUILD OF EQUIPM,443328715.97,3,2,1,2025,0
General Dynamics,1260,FIRE CONTROL DESIGNATING AND I,442617487.0,5,3,6,2030,0
The Pennsylvania State University,AD24,R&D- DEFENSE OTHER: SERVICES (,442135746.90999997,19,3,2,2025,0
General Dynamics,J998,NON-NUCLEAR SHIP REPAIR (EAST),437964260.87,1,1,0,2026,0
L3Harris,5845,UNDERWATER SOUND EQUIPMENT,437426661.8400001,22,6,9,2029,0
Metro Machine,J019,MAINT/REPAIR/REBUILD OF EQUIPM,435748755.14,1,1,0,2024,0
T Solutions,R425,SUPPORT- PROFESSIONAL: ENGINEE,430929942.8,4,4,13,2027,0
Undersea Sensor,5845,UNDERWATER SOUND EQUIPMENT,419891059.64000005,25,11,11,2027,0
Puget Sound Commerce Center,J999,NON-NUCLEAR SHIP REPAIR (WEST),416488921.34999996,3,3,10,2016,0
Fidelity Services,J069,MAINT/REPAIR/REBUILD OF EQUIPM,413941265.82,4,3,3,2026,0
L3,5845,UNDERWATER SOUND EQUIPMENT,407864576.93000007,34,15,15,2032,0
Lockheed Martin,AC54,R&D- DEFENSE SYSTEM: WEAPONS (,405053014.12,1,1,0,2026,0
General Dynamics,R408,SUPPORT- PROFESSIONAL: PROGRAM,394219642.51000005,2,2,1,2018,0
Euromids,5821,RADIO AND TELEVISION COMMUNICA,389966351.97999996,29,12,15,2026,0
Falconwood,R425,SUPPORT- PROFESSIONAL: ENGINEE,389943309.81000006,4,3,9,2026,0
Alabama Shipyard,J998,NON-NUCLEAR SHIP REPAIR (EAST),381899862.79999995,15,7,6,2026,0
Sierra Nevada,5865,"ELECTRONIC COUNTERMEASURES, CO",381458182.22999996,23,10,17,2028,0
General Dynamics,1355,"TORPEDOS AND COMPONENTS, INERT",377503664.28999996,3,3,8,2027,0
Northrop Grumman,6605,NAVIGATIONAL INSTRUMENTS,376534325.61000013,180,15,15,2031,0
Amentum Services,R499,SUPPORT- PROFESSIONAL: OTHER,371351994.85,1,1,0,2019,0
RTX,1440,"LAUNCHERS, GUIDED MISSILE",370933022.7,4,3,15,2028,0
Lockheed Martin,R425,SUPPORT- PROFESSIONAL: ENGINEE,369627734.90999997,13,6,13,2027,0
Indus,R425,SUPPORT- PROFESSIONAL: ENGINEE,369159978.55,8,7,19,2027,1
Cae,J069,MAINT/REPAIR/REBUILD OF EQUIPM,365116338.98,4,4,14,2025,0
Tech Marine Business,R425,SUPPORT- PROFESSIONAL: ENGINEE,360384438.39000005,5,5,9,2026,0
Northrop Grumman,R425,SUPPORT- PROFESSIONAL: ENGINEE,357017512.14,6,6,18,2024,1
Ultra Electronics Ocean,5840,"RADAR EQUIPMENT, EXCEPT AIRBOR",356859633.06,2,2,5,2027,0
Kratos Unmanned Aerial,1550,UNMANNED AIRCRAFT,347730033.69,3,3,4,2028,0
Dlt Solutions,7030,INFORMATION TECHNOLOGY SOFTWAR,345452140.48,54,8,7,2023,0
Ntt Data Services Federal Government,R408,SUPPORT- PROFESSIONAL: PROGRAM,344838245.95,1,1,0,2023,0
Northrop Grumman,AC15,NATIONAL DEFENSE R&D SVCS; DEP,339069287.49,11,9,9,2026,0
Rockwell Collins,5895,MISCELLANEOUS COMMUNICATION EQ,336586731.68000007,13,6,9,2025,0
The Charles Stark Draper Laboratory,R425,SUPPORT- PROFESSIONAL: ENGINEE,334207627.37,1,1,0,2022,0
Caci Federal,R499,SUPPORT- PROFESSIONAL: OTHER,331998110.34000003,2,2,4,2025,0
Textron,5975,ELECTRICAL HARDWARE AND SUPPLI,331212685.42,1,1,0,2024,0
Northrop Grumman,AC24,NATIONAL DEFENSE R&D SERVICES;,330462410.06,3,3,3,2023,0
Epsilon Solutions,R425,SUPPORT- PROFESSIONAL: ENGINEE,329487852.15,5,4,18,2027,1
Caci,R706,SUPPORT- MANAGEMENT: LOGISTICS,327964315.31,2,2,8,2022,0
Serco,R408,SUPPORT- PROFESSIONAL: PROGRAM,326183954.42,1,1,0,2027,0
Boeing,AC14,NATIONAL DEFENSE R&D SERVICES;,324091412.57,2,2,5,2027,0
Sparton Deleon Springs,5845,UNDERWATER SOUND EQUIPMENT,322581204.84,8,4,3,2029,0
Northrop Grumman,H914,OTHER QC/TEST/INSPECT- GUIDED ,319356219.21000004,2,2,1,2015,0
Reliance Test,AC14,NATIONAL DEFENSE R&D SERVICES;,317066463.35,1,1,0,2026,0
L3,1265,FIRE CONTROL TRANSMITTING AND ,315901176.3,1,1,0,2026,0
Safe Boats International,1940,SMALL CRAFT,312622507.81999993,9,8,13,2028,0
Sayres And Associates,R425,SUPPORT- PROFESSIONAL: ENGINEE,311751139.47,3,3,14,2026,0
Gravois Aluminum Boats,1940,SMALL CRAFT,311342631.27000004,47,13,12,2027,0
Eri Services,R499,SUPPORT- PROFESSIONAL: OTHER,310148087.55,1,1,0,2031,0
RTX,AC13,NATIONAL DEFENSE R&D SERVICES;,307238870.57,11,4,3,2027,0
American Electronic Warfare Associates,AC14,NATIONAL DEFENSE R&D SERVICES;,306885794.56000006,11,4,3,2026,0
BAE Systems,N058,INSTALLATION OF EQUIPMENT- COM,305889832.29999995,3,3,8,2019,0
Itt,5865,"ELECTRONIC COUNTERMEASURES, CO",305007713.13,7,4,5,2020,0
Imia,J999,NON-NUCLEAR SHIP REPAIR (WEST),297990279.98,7,6,6,2021,0
Simventions,R425,SUPPORT- PROFESSIONAL: ENGINEE,296988189.60999995,6,4,17,2026,1
Lb B Associates,J069,MAINT/REPAIR/REBUILD OF EQUIPM,295854213.11,4,4,5,2026,0
BAE Systems,5810,COMMUNICATIONS SECURITY EQUIPM,295355339.63000005,5,2,1,2028,0
Affordable Engineering Services,J015,MAINT/REPAIR/REBUILD OF EQUIPM,288906485.38,1,1,0,2017,0
Laurel Partnership,5840,"RADAR EQUIPMENT, EXCEPT AIRBOR",286017974.15999997,2,2,6,2029,0
RTX,K010,MODIFICATION OF EQUIPMENT- WEA,285773939.0,1,1,0,2026,0
Canadian Commercial,5855,"NIGHT VISION EQUIPMENT, EMITTE",284086907.0,15,10,11,2026,0
Amentum Services,M1HA,OPERATION OF GOVERNMENT-OWNED ,278611801.59,1,1,0,2026,0
RTX,1075,DEGAUSSING AND MINE SWEEPING E,276299467.0,4,4,7,2026,0
Swiftships Shipbuilders L L C,1940,SMALL CRAFT,275674656.1,2,2,1,2020,0
RTX,5825,"RADIO NAVIGATION EQUIPMENT, EX",274727992.01,1,1,0,2025,0
Northrop Grumman,L020,TECHNICAL REPRESENTATIVE- SHIP,271422718.89,2,2,3,2028,0
Hpi Federal,DA01,IT AND TELECOM - BUSINESS APPL,271252730.25,21,4,3,2023,0
Textron,1907,LANDING CRAFT,270864509.0,1,1,0,2016,0
General Dynamics,1075,DEGAUSSING AND MINE SWEEPING E,270147941.0,1,1,0,2027,0
Science Applications International,1095,MISCELLANEOUS WEAPONS,266594084.51,1,1,0,2026,0
Leidos,5865,"ELECTRONIC COUNTERMEASURES, CO",265087142.74000004,20,8,10,2026,0
Northrop Grumman,5810,COMMUNICATIONS SECURITY EQUIPM,264261537.28,5,5,10,2027,0
Bollinger,1990,MISCELLANEOUS VESSELS,264091381.98000002,2,2,9,2027,0
Lockheed Martin,2895,MISCELLANEOUS ENGINES AND COMP,262318103.8,3,3,6,2026,0
Precise,R408,SUPPORT- PROFESSIONAL: PROGRAM,260342034.64999998,5,3,3,2027,0
Leidos,R425,SUPPORT- PROFESSIONAL: ENGINEE,259482786.39,4,4,11,2027,0
Lockheed Martin,1510,"AIRCRAFT, FIXED WING",256802516.78,3,3,11,2028,0
International Business Machines,D399,IT AND TELECOM- OTHER IT AND T,255378676.98,4,3,4,2021,0
Vigor Shipyards,J999,NON-NUCLEAR SHIP REPAIR (WEST),252166375.65,1,1,0,2014,0
Booz Allen,R706,SUPPORT- MANAGEMENT: LOGISTICS,250102575.77,1,1,0,2024,0
Conrad Shipyard L L C,1930,"BARGES AND LIGHTERS, CARGO",249863342.95,1,1,0,2028,0
Wsm Pacific Siop A Joint Venture,C211,ARCHITECT AND ENGINEERING- GEN,248097117.02,1,1,0,2028,0
Owl International,J019,MAINT/REPAIR/REBUILD OF EQUIPM,247926542.22999996,6,2,5,2026,0
Northrop Grumman,5840,"RADAR EQUIPMENT, EXCEPT AIRBOR",247418857.77,4,3,10,2026,0
Lockheed Martin,U008,EDUCATION/TRAINING- TRAINING/C,247004477.14999998,2,2,15,2026,0
Laurel Partnership,7010,INFORMATION TECHNOLOGY EQUIPME,246793086.03000003,22,5,4,2021,0
BAE Systems,N059,INSTALLATION OF EQUIPMENT- ELE,244403710.25,3,3,5,2033,0
Serco,7G21,IT AND TELECOM - NETWORK: DIGI,243805326.24999997,23,6,5,2027,0
General Dynamics,D399,IT AND TELECOM- OTHER IT AND T,243273770.33000004,61,10,12,2019,0
Teledyne Brown Engineering,1990,MISCELLANEOUS VESSELS,242754694.06,1,1,0,2029,0
United States Marine,1940,SMALL CRAFT,238538273.30000004,36,13,16,2028,0
Dakota Creek Industries,1925,SPECIAL SERVICE VESSELS,235488841.54,2,2,8,2022,0
Serco,7010,INFORMATION TECHNOLOGY EQUIPME,234863945.31000003,26,6,5,2021,0
General Dynamics,DA01,IT AND TELECOM - BUSINESS APPL,232828354.42,3,3,3,2026,0
BAE Systems,2010,SHIP AND BOAT PROPULSION COMPO,230695118.77,7,6,5,2029,0
Oceaneering International,J020,MAINT/REPAIR/REBUILD OF EQUIPM,230438920.87,2,2,5,2026,0
Northrop Grumman,M127,OPER OF GOVT ELCT & COMM SYS F,228732558.26,1,1,0,2014,0
Lockheed Martin,AC24,NATIONAL DEFENSE R&D SERVICES;,227822167.87,2,2,4,2027,0
Pacific Shipyards International,J999,NON-NUCLEAR SHIP REPAIR (WEST),226597714.41,6,4,6,2026,0
General Dynamics,5865,"ELECTRONIC COUNTERMEASURES, CO",225192405.58,8,5,11,2031,0
Atlas,DE01,IT and Telecom - End User: Hel,222504607.93,1,1,0,2025,0
General Dynamics,1924,REPAIR SHIPS,222455407.18,1,1,0,2020,0
Science Applications International,D399,IT AND TELECOM- OTHER IT AND T,222044658.17000005,29,6,5,2018,0
Maritime Applied Physics,1905,COMBAT SHIPS AND LANDING VESSE,220537828.88,1,1,0,2026,0
Scientific Research,R425,SUPPORT- PROFESSIONAL: ENGINEE,219994971.07999998,5,4,20,2030,1
Imagine One Management,D306,IT AND TELECOM- SYSTEMS ANALYS,218674316.17,1,1,0,2022,0
RTX,6130,"CONVERTERS, ELECTRICAL, NONROT",218085236.5,4,2,1,2029,0
General Dynamics,1210,FIRE CONTROL DIRECTORS,217850357.75,5,4,4,2027,0
General Dynamics,AC65,R&D- DEFENSE SYSTEM: ELECTRONI,217540214.89999998,2,2,13,2018,0
Ram System Gmbh,1440,"LAUNCHERS, GUIDED MISSILE",217521253.72,4,4,7,2030,0
Drs,5865,"ELECTRONIC COUNTERMEASURES, CO",216961663.63,3,3,4,2027,0
Euromids,7G22,IT AND TELECOM - NETWORK: SATE,216643312.05,11,6,5,2029,0
Smartronix,D311,IT AND TELECOM- DATA CONVERSIO,215800139.49,1,1,0,2025,0
Huntington Ingalls,5845,UNDERWATER SOUND EQUIPMENT,215514250.0,6,4,4,2027,0
Caci Federal,D316,IT AND TELECOM- TELECOMMUNICAT,213903448.31,1,1,0,2011,0
Accenture Federal Services,D399,IT AND TELECOM- OTHER IT AND T,213674303.83999997,4,3,2,2020,0
Space Ground System Solutions,AR23,R&D- SPACE: SCIENCE/APPLICATIO,213483599.87,1,1,0,2026,0
General Dynamics,4470,NUCLEAR REACTORS,211567364.0,1,1,0,2028,0
L3,5865,"ELECTRONIC COUNTERMEASURES, CO",211311424.58,4,3,8,2027,0
Planning And Analysis,R408,SUPPORT- PROFESSIONAL: PROGRAM,208860800.92000002,3,3,13,2028,0
RTX,5855,"NIGHT VISION EQUIPMENT, EMITTE",208701713.01000002,9,6,14,2027,0
Leidos,N010,INSTALLATION OF EQUIPMENT- WEA,207590976.4,2,2,1,2027,0
Fidelity,J069,MAINT/REPAIR/REBUILD OF EQUIPM,206565928.02,3,2,14,2024,0
Core4Ce,R425,SUPPORT- PROFESSIONAL: ENGINEE,204697511.02,2,2,1,2026,0
Earl Industries L L C,J998,NON-NUCLEAR SHIP REPAIR (EAST),203184010.23,1,1,0,2013,0
Boeing,5841,"RADAR EQUIPMENT, AIRBORNE",201872152.22000003,17,10,16,2028,0
Reliability Performance,R425,SUPPORT- PROFESSIONAL: ENGINEE,201237481.12,3,3,3,2026,0
Booz Allen,AC65,R&D- DEFENSE SYSTEM: ELECTRONI,200529740.71999997,3,3,7,2018,0
