uei,naics6,desc,is_primary,dollars
FZPYZ11SFNA6,237990,Other Heavy and Civil Engineering Construction ,,169173617.0
FZPYZ11SFNA6,333611,Turbine and Turbine Generator Set Units Manufacturing ,,169173617.0
FZPYZ11SFNA6,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing ",Y,169173617.0
FZPYZ11SFNA6,333613,Mechanical Power Transmission Equipment Manufacturing ,,169173617.0
FZPYZ11SFNA6,336611,Ship Building and Repairing ,,169173617.0
JEP5GQGFPUL9,332911,Industrial Valve Manufacturing ,Y,139709774.35
NYGUEDY27AM8,332911,Industrial Valve Manufacturing ,Y,131642290.14
NYGUEDY27AM8,333995,Fluid Power Cylinder and Actuator Manufacturing ,,131642290.14
JKZNKGGWYZ87,333611,Turbine and Turbine Generator Set Units Manufacturing ,,129323586.92
JKZNKGGWYZ87,333996,Fluid Power Pump and Motor Manufacturing ,,129323586.92
JKZNKGGWYZ87,335312,Motor and Generator Manufacturing ,Y,129323586.92
JKZNKGGWYZ87,336611,Ship Building and Repairing ,,129323586.92
PQGNEEY9W5M3,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",Y,123942075.03
PQGNEEY9W5M3,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals ,,123942075.03
PQGNEEY9W5M3,513210,Software Publishers,,123942075.03
PQGNEEY9W5M3,541330,Engineering Services,,123942075.03
PQGNEEY9W5M3,811210,Electronic and Precision Equipment Repair and Maintenance ,,123942075.03
SX6BF52K2WB1,332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers ",,109425983.04
SX6BF52K2WB1,332912,Fluid Power Valve and Hose Fitting Manufacturing ,Y,109425983.04
SX6BF52K2WB1,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing ,,109425983.04
SX6BF52K2WB1,336611,Ship Building and Repairing ,,109425983.04
ZW3UMG9YVNA9,333611,Turbine and Turbine Generator Set Units Manufacturing ,,109142145.67
ZW3UMG9YVNA9,335311,"Power, Distribution, and Specialty Transformer Manufacturing ",,109142145.67
ZW3UMG9YVNA9,335313,Switchgear and Switchboard Apparatus Manufacturing ,Y,109142145.67
ZW3UMG9YVNA9,335314,Relay and Industrial Control Manufacturing ,,109142145.67
PAH8M4BJACA5,332710,Machine Shops,,105454106.86
PAH8M4BJACA5,332721,Precision Turned Product Manufacturing ,,105454106.86
PAH8M4BJACA5,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring ",,105454106.86
PAH8M4BJACA5,333132,Oil and Gas Field Machinery and Equipment Manufacturing ,,105454106.86
PAH8M4BJACA5,334417,Electronic Connector Manufacturing ,Y,105454106.86
PAH8M4BJACA5,335931,Current-Carrying Wiring Device Manufacturing ,,105454106.86
F42BKS7EHCL8,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing ,,104399732.92
F42BKS7EHCL8,334413,Semiconductor and Related Device Manufacturing ,,104399732.92
F42BKS7EHCL8,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing ",Y,104399732.92
F42BKS7EHCL8,334417,Electronic Connector Manufacturing ,,104399732.92
F42BKS7EHCL8,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing ,,104399732.92
F42BKS7EHCL8,334419,Other Electronic Component Manufacturing ,,104399732.92
F42BKS7EHCL8,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals ,,104399732.92
F42BKS7EHCL8,334519,Other Measuring and Controlling Device Manufacturing ,,104399732.92
F42BKS7EHCL8,335311,"Power, Distribution, and Specialty Transformer Manufacturing ",,104399732.92
F42BKS7EHCL8,335312,Motor and Generator Manufacturing ,,104399732.92
F42BKS7EHCL8,335313,Switchgear and Switchboard Apparatus Manufacturing ,,104399732.92
F42BKS7EHCL8,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing ,,104399732.92
F42BKS7EHCL8,336611,Ship Building and Repairing ,,104399732.92
WMXDDH6HJNA5,336611,Ship Building and Repairing ,Y,104053627.0
G9HKMXL5L973,326291,Rubber Product Manufacturing for Mechanical Use ,Y,103397591.36
G9HKMXL5L973,333132,Oil and Gas Field Machinery and Equipment Manufacturing ,,103397591.36
F2LEAK3EK9R3,332410,Power Boiler and Heat Exchanger Manufacturing,,89120347.06
F2LEAK3EK9R3,333998,All Other Miscellaneous General Purpose Machinery Manufacturing ,,89120347.06
F2LEAK3EK9R3,336611,Ship Building and Repairing ,Y,89120347.06
QGB4RDYJNJT9,332111,Iron and Steel Forging ,Y,88144963.51
QGB4RDYJNJT9,332710,Machine Shops,,88144963.51
QGB4RDYJNJT9,332811,Metal Heat Treating ,,88144963.51
QGB4RDYJNJT9,332993,Ammunition (except Small Arms) Manufacturing ,,88144963.51
QGB4RDYJNJT9,333611,Turbine and Turbine Generator Set Units Manufacturing ,,88144963.51
QGB4RDYJNJT9,333613,Mechanical Power Transmission Equipment Manufacturing ,,88144963.51
QGB4RDYJNJT9,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,,88144963.51
QGB4RDYJNJT9,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing ,,88144963.51
QGB4RDYJNJT9,336611,Ship Building and Repairing ,,88144963.51
QGB4RDYJNJT9,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing ",,88144963.51
QGB4RDYJNJT9,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) ",,88144963.51
RG6LJJM6JBS3,336611,Ship Building and Repairing ,Y,87555353.98
RG6LJJM6JBS3,541330,Engineering Services,,87555353.98
RG6LJJM6JBS3,811210,Electronic and Precision Equipment Repair and Maintenance ,,87555353.98
RG6LJJM6JBS3,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance ,,87555353.98
XQW8RJNNAXX8,332312,Fabricated Structural Metal Manufacturing ,,85672809.54
XQW8RJNNAXX8,332313,Plate Work Manufacturing ,,85672809.54
XQW8RJNNAXX8,332420,Metal Tank (Heavy Gauge) Manufacturing,,85672809.54
XQW8RJNNAXX8,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing ",Y,85672809.54
DJG7NEG7QRK5,332911,Industrial Valve Manufacturing ,Y,85406601.09
LSMBJZFLN8L9,332312,Fabricated Structural Metal Manufacturing ,,83981942.83
LSMBJZFLN8L9,336611,Ship Building and Repairing ,Y,83981942.83
LSMBJZFLN8L9,541330,Engineering Services,,83981942.83
CFXRGJSB9UB6,335313,Switchgear and Switchboard Apparatus Manufacturing ,Y,82395953.59
KYURG7LRSC89,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing ",Y,75653517.99
Y6X3BDLEPNJ6,332312,Fabricated Structural Metal Manufacturing ,,75424259.46
Y6X3BDLEPNJ6,332313,Plate Work Manufacturing ,,75424259.46
Y6X3BDLEPNJ6,332322,Sheet Metal Work Manufacturing ,,75424259.46
Y6X3BDLEPNJ6,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing ,,75424259.46
Y6X3BDLEPNJ6,333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing ",,75424259.46
Y6X3BDLEPNJ6,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,,75424259.46
Y6X3BDLEPNJ6,336414,Guided Missile and Space Vehicle Manufacturing ,,75424259.46
Y6X3BDLEPNJ6,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing ,,75424259.46
Y6X3BDLEPNJ6,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing ,,75424259.46
Y6X3BDLEPNJ6,336611,Ship Building and Repairing ,Y,75424259.46
Y6X3BDLEPNJ6,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing ",,75424259.46
Y6X3BDLEPNJ6,541330,Engineering Services,,75424259.46
VJMTKNLENX24,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing ,,73741013.67
VJMTKNLENX24,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing ,Y,73741013.67
Q35JL9GFCAK3,332911,Industrial Valve Manufacturing ,,73146296.55
Q35JL9GFCAK3,332912,Fluid Power Valve and Hose Fitting Manufacturing ,Y,73146296.55
Q35JL9GFCAK3,332919,Other Metal Valve and Pipe Fitting Manufacturing ,,73146296.55
Q35JL9GFCAK3,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing ,,73146296.55
Q35JL9GFCAK3,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables ",,73146296.55
Q35JL9GFCAK3,336412,Aircraft Engine and Engine Parts Manufacturing ,,73146296.55
Q35JL9GFCAK3,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,,73146296.55
Q35JL9GFCAK3,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing ,,73146296.55
Q35JL9GFCAK3,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing ,,73146296.55
Q35JL9GFCAK3,336999,All Other Transportation Equipment Manufacturing ,,73146296.55
Z89SS59265U9,221118,Other Electric Power Generation ,,71588027.01
Z89SS59265U9,334290,Other Communications Equipment Manufacturing,,71588027.01
Z89SS59265U9,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing ",,71588027.01
Z89SS59265U9,334419,Other Electronic Component Manufacturing ,,71588027.01
Z89SS59265U9,335311,"Power, Distribution, and Specialty Transformer Manufacturing ",,71588027.01
Z89SS59265U9,335313,Switchgear and Switchboard Apparatus Manufacturing ,,71588027.01
Z89SS59265U9,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing ,Y,71588027.01
Z89SS59265U9,336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,,71588027.01
Z89SS59265U9,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) ",,71588027.01
CBMZJ3Z5SC89,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",Y,66936184.88
CBMZJ3Z5SC89,326291,Rubber Product Manufacturing for Mechanical Use ,,66936184.88
CBMZJ3Z5SC89,326299,All Other Rubber Product Manufacturing ,,66936184.88
CBMZJ3Z5SC89,332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing ",,66936184.88
CBMZJ3Z5SC89,336611,Ship Building and Repairing ,,66936184.88
WJ45NXW2TVD7,333995,Fluid Power Cylinder and Actuator Manufacturing ,Y,66611497.67
WJ45NXW2TVD7,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) ",,66611497.67
MMCKJNNMSG23,332710,Machine Shops,Y,65064895.08
MMCKJNNMSG23,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance ,,65064895.08
EDNNTCM7SUS8,336611,Ship Building and Repairing ,Y,64397666.39
EDNNTCM7SUS8,562910,Remediation Services ,,64397666.39
CPHLNLBGWFN5,332510,Hardware Manufacturing,,59793884.52
CPHLNLBGWFN5,334413,Semiconductor and Related Device Manufacturing ,,59793884.52
CPHLNLBGWFN5,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing ,,59793884.52
CPHLNLBGWFN5,334419,Other Electronic Component Manufacturing ,,59793884.52
CPHLNLBGWFN5,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals ,Y,59793884.52
CPHLNLBGWFN5,335311,"Power, Distribution, and Specialty Transformer Manufacturing ",,59793884.52
CPHLNLBGWFN5,335314,Relay and Industrial Control Manufacturing ,,59793884.52
CPHLNLBGWFN5,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing ,,59793884.52
MSYWUDGYPKF5,332420,Metal Tank (Heavy Gauge) Manufacturing,Y,57863848.27
WREEAHYMRQ45,334419,Other Electronic Component Manufacturing ,Y,57493899.4
WREEAHYMRQ45,334519,Other Measuring and Controlling Device Manufacturing ,,57493899.4
TZVRTYNM3MN3,332312,Fabricated Structural Metal Manufacturing ,,57341761.41
TZVRTYNM3MN3,332313,Plate Work Manufacturing ,Y,57341761.41
TZVRTYNM3MN3,332710,Machine Shops,,57341761.41
TZVRTYNM3MN3,336120,Heavy Duty Truck Manufacturing,,57341761.41
TZVRTYNM3MN3,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing ",,57341761.41
V1MQFNQB56Z5,237120,Oil and Gas Pipeline and Related Structures Construction ,,54538109.41
V1MQFNQB56Z5,325120,Industrial Gas Manufacturing,,54538109.41
V1MQFNQB56Z5,333912,Air and Gas Compressor Manufacturing ,Y,54538109.41
V1MQFNQB56Z5,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,,54538109.41
DK14KTLXA9M5,332710,Machine Shops,,54465330.28
DK14KTLXA9M5,332919,Other Metal Valve and Pipe Fitting Manufacturing ,Y,54465330.28
DK14KTLXA9M5,332996,Fabricated Pipe and Pipe Fitting Manufacturing ,,54465330.28
NN7PCHZFNZP8,331513,Steel Foundries (except Investment) ,Y,51474259.43
N5KMLMXEPFM5,333310,Commercial and Service Industry Machinery Manufacturing ,Y,48860571.81
N5KMLMXEPFM5,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing ",,48860571.81
N5KMLMXEPFM5,333998,All Other Miscellaneous General Purpose Machinery Manufacturing ,,48860571.81
QNEXJLA47BM4,336611,Ship Building and Repairing ,Y,45017331.68
QNEXJLA47BM4,423210,Furniture Merchant Wholesalers ,,45017331.68
QNEXJLA47BM4,423440,Other Commercial Equipment Merchant Wholesalers ,,45017331.68
K3XPS1HXNBF3,331221,Rolled Steel Shape Manufacturing ,,40891145.48
K3XPS1HXNBF3,332322,Sheet Metal Work Manufacturing ,,40891145.48
K3XPS1HXNBF3,332710,Machine Shops,Y,40891145.48
K3XPS1HXNBF3,332721,Precision Turned Product Manufacturing ,,40891145.48
K3XPS1HXNBF3,332991,Ball and Roller Bearing Manufacturing,,40891145.48
K3XPS1HXNBF3,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing ,,40891145.48
K3XPS1HXNBF3,333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing ",,40891145.48
K3XPS1HXNBF3,333515,Cutting Tool and Machine Tool Accessory Manufacturing ,,40891145.48
K3XPS1HXNBF3,333517,Machine Tool Manufacturing ,,40891145.48
K3XPS1HXNBF3,333519,Rolling Mill and Other Metalworking Machinery Manufacturing ,,40891145.48
K3XPS1HXNBF3,333611,Turbine and Turbine Generator Set Units Manufacturing ,,40891145.48
K3XPS1HXNBF3,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing ",,40891145.48
K3XPS1HXNBF3,333618,Other Engine Equipment Manufacturing ,,40891145.48
K3XPS1HXNBF3,334519,Other Measuring and Controlling Device Manufacturing ,,40891145.48
K3XPS1HXNBF3,336412,Aircraft Engine and Engine Parts Manufacturing ,,40891145.48
K3XPS1HXNBF3,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,,40891145.48
K3XPS1HXNBF3,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing ,,40891145.48
K3XPS1HXNBF3,336611,Ship Building and Repairing ,,40891145.48
K3XPS1HXNBF3,336612,Boat Building ,,40891145.48
K3XPS1HXNBF3,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing ",,40891145.48
K3XPS1HXNBF3,561510,Travel Agencies,,40891145.48
NEGFNA8YS723,332313,Plate Work Manufacturing ,,40471452.41
NEGFNA8YS723,332439,Other Metal Container Manufacturing ,,40471452.41
NEGFNA8YS723,332710,Machine Shops,,40471452.41
NEGFNA8YS723,332721,Precision Turned Product Manufacturing ,,40471452.41
NEGFNA8YS723,332911,Industrial Valve Manufacturing ,,40471452.41
NEGFNA8YS723,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing ,,40471452.41
NEGFNA8YS723,333241,Food Product Machinery Manufacturing ,,40471452.41
NEGFNA8YS723,333242,Semiconductor Machinery Manufacturing ,,40471452.41
NEGFNA8YS723,333517,Machine Tool Manufacturing ,,40471452.41
NEGFNA8YS723,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing ",,40471452.41
NEGFNA8YS723,333613,Mechanical Power Transmission Equipment Manufacturing ,,40471452.41
NEGFNA8YS723,333991,Power-Driven Handtool Manufacturing ,,40471452.41
NEGFNA8YS723,333995,Fluid Power Cylinder and Actuator Manufacturing ,,40471452.41
NEGFNA8YS723,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,,40471452.41
NEGFNA8YS723,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",,40471452.41
NEGFNA8YS723,334519,Other Measuring and Controlling Device Manufacturing ,,40471452.41
NEGFNA8YS723,336411,Aircraft Manufacturing ,,40471452.41
NEGFNA8YS723,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,,40471452.41
NEGFNA8YS723,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing ,,40471452.41
NEGFNA8YS723,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing ",,40471452.41
NEGFNA8YS723,336999,All Other Transportation Equipment Manufacturing ,,40471452.41
NEGFNA8YS723,339112,Surgical and Medical Instrument Manufacturing ,,40471452.41
NEGFNA8YS723,339999,All Other Miscellaneous Manufacturing ,Y,40471452.41
NEGFNA8YS723,541330,Engineering Services,,40471452.41
NEGFNA8YS723,541990,"All Other Professional, Scientific, and Technical Services",,40471452.41
PTMFLMD2CUB4,334111,Electronic Computer Manufacturing ,,39585015.48
PTMFLMD2CUB4,334112,Computer Storage Device Manufacturing ,,39585015.48
PTMFLMD2CUB4,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing ,,39585015.48
PTMFLMD2CUB4,334210,Telephone Apparatus Manufacturing,,39585015.48
PTMFLMD2CUB4,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Y,39585015.48
PTMFLMD2CUB4,334310,Audio and Video Equipment Manufacturing,,39585015.48
PTMFLMD2CUB4,334413,Semiconductor and Related Device Manufacturing ,,39585015.48
PTMFLMD2CUB4,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing ,,39585015.48
PTMFLMD2CUB4,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals ,,39585015.48
PTMFLMD2CUB4,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing ,,39585015.48
PTMFLMD2CUB4,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,,39585015.48
PTMFLMD2CUB4,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing ,,39585015.48
PTMFLMD2CUB4,541330,Engineering Services,,39585015.48
PTMFLMD2CUB4,541511,Custom Computer Programming Services ,,39585015.48
PTMFLMD2CUB4,541512,Computer Systems Design Services ,,39585015.48
PTMFLMD2CUB4,541519,Other Computer Related Services,,39585015.48
PTMFLMD2CUB4,541990,"All Other Professional, Scientific, and Technical Services",,39585015.48
PTMFLMD2CUB4,811210,Electronic and Precision Equipment Repair and Maintenance ,,39585015.48
PTMFLMD2CUB4,927110,Space Research and Technology ,,39585015.48
PTMFLMD2CUB4,928110,National Security ,,39585015.48
YELYMYLF82L9,332312,Fabricated Structural Metal Manufacturing ,,39369116.12
YELYMYLF82L9,332313,Plate Work Manufacturing ,,39369116.12
YELYMYLF82L9,332321,Metal Window and Door Manufacturing ,,39369116.12
YELYMYLF82L9,332420,Metal Tank (Heavy Gauge) Manufacturing,,39369116.12
YELYMYLF82L9,332510,Hardware Manufacturing,,39369116.12
YELYMYLF82L9,332710,Machine Shops,,39369116.12
YELYMYLF82L9,332721,Precision Turned Product Manufacturing ,,39369116.12
YELYMYLF82L9,332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing ",,39369116.12
YELYMYLF82L9,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing ,,39369116.12
YELYMYLF82L9,333921,Elevator and Moving Stairway Manufacturing ,,39369116.12
YELYMYLF82L9,333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing ",,39369116.12
YELYMYLF82L9,336611,Ship Building and Repairing ,Y,39369116.12
JA2KCX21NL48,321920,Wood Container and Pallet Manufacturing,,39280708.03
JA2KCX21NL48,332710,Machine Shops,,39280708.03
JA2KCX21NL48,332721,Precision Turned Product Manufacturing ,,39280708.03
JA2KCX21NL48,332911,Industrial Valve Manufacturing ,,39280708.03
JA2KCX21NL48,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing ,,39280708.03
JA2KCX21NL48,333613,Mechanical Power Transmission Equipment Manufacturing ,,39280708.03
JA2KCX21NL48,333618,Other Engine Equipment Manufacturing ,,39280708.03
JA2KCX21NL48,336611,Ship Building and Repairing ,Y,39280708.03
JA2KCX21NL48,339991,"Gasket, Packing, and Sealing Device Manufacturing ",,39280708.03
JA2KCX21NL48,488390,Other Support Activities for Water Transportation,,39280708.03
JA2KCX21NL48,541330,Engineering Services,,39280708.03
JA2KCX21NL48,561990,All Other Support Services,,39280708.03
LJRBXLTGXN57,332312,Fabricated Structural Metal Manufacturing ,,37860406.36
LJRBXLTGXN57,332313,Plate Work Manufacturing ,,37860406.36
LJRBXLTGXN57,332410,Power Boiler and Heat Exchanger Manufacturing,,37860406.36
LJRBXLTGXN57,332439,Other Metal Container Manufacturing ,,37860406.36
LJRBXLTGXN57,332710,Machine Shops,,37860406.36
LJRBXLTGXN57,332721,Precision Turned Product Manufacturing ,,37860406.36
LJRBXLTGXN57,332911,Industrial Valve Manufacturing ,,37860406.36
LJRBXLTGXN57,332919,Other Metal Valve and Pipe Fitting Manufacturing ,,37860406.36
LJRBXLTGXN57,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing ,,37860406.36
LJRBXLTGXN57,333248,All Other Industrial Machinery Manufacturing ,,37860406.36
LJRBXLTGXN57,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing ,Y,37860406.36
LJRBXLTGXN57,333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing ",,37860406.36
LJRBXLTGXN57,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing ",,37860406.36
LJRBXLTGXN57,333998,All Other Miscellaneous General Purpose Machinery Manufacturing ,,37860406.36
LJRBXLTGXN57,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables ",,37860406.36
LJRBXLTGXN57,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,,37860406.36
LJRBXLTGXN57,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing ,,37860406.36
LJRBXLTGXN57,336611,Ship Building and Repairing ,,37860406.36
LJRBXLTGXN57,541330,Engineering Services,,37860406.36
N79NY6FRL2F3,331313,Alumina Refining and Primary Aluminum Production ,,37560243.67
N79NY6FRL2F3,331318,"Other Aluminum Rolling, Drawing, and Extruding ",,37560243.67
N79NY6FRL2F3,331420,"Copper Rolling, Drawing, Extruding, and Alloying",,37560243.67
N79NY6FRL2F3,331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding ",,37560243.67
N79NY6FRL2F3,332111,Iron and Steel Forging ,,37560243.67
N79NY6FRL2F3,332112,Nonferrous Forging ,,37560243.67
N79NY6FRL2F3,332431,Metal Can Manufacturing ,,37560243.67
N79NY6FRL2F3,332919,Other Metal Valve and Pipe Fitting Manufacturing ,,37560243.67
N79NY6FRL2F3,332996,Fabricated Pipe and Pipe Fitting Manufacturing ,Y,37560243.67
N79NY6FRL2F3,333517,Machine Tool Manufacturing ,,37560243.67
N79NY6FRL2F3,333519,Rolling Mill and Other Metalworking Machinery Manufacturing ,,37560243.67
JRUCKDSNXKD5,332312,Fabricated Structural Metal Manufacturing ,,37486158.23
JRUCKDSNXKD5,332710,Machine Shops,,37486158.23
JRUCKDSNXKD5,332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing ",,37486158.23
