uei,naics6,naics_desc,is_primary
Z89SS59265U9,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",
Z89SS59265U9,334419,Other Electronic Component Manufacturing,
Z89SS59265U9,335311,"Power, Distribution, and Specialty Transformer Manufacturing",
Z89SS59265U9,335313,Switchgear and Switchboard Apparatus Manufacturing,
Z89SS59265U9,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,Y
Z89SS59265U9,336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,
Z89SS59265U9,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",
CBMZJ3Z5SC89,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",Y
CBMZJ3Z5SC89,326291,Rubber Product Manufacturing for Mechanical Use,
CBMZJ3Z5SC89,326299,All Other Rubber Product Manufacturing,
CBMZJ3Z5SC89,332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",
CBMZJ3Z5SC89,336611,Ship Building and Repairing,
WJ45NXW2TVD7,333995,Fluid Power Cylinder and Actuator Manufacturing,Y
WJ45NXW2TVD7,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",
MMCKJNNMSG23,332710,Machine Shops,Y
MMCKJNNMSG23,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,
EDNNTCM7SUS8,336611,Ship Building and Repairing,Y
EDNNTCM7SUS8,562910,Remediation Services,
CPHLNLBGWFN5,332510,Hardware Manufacturing,
CPHLNLBGWFN5,334413,Semiconductor and Related Device Manufacturing,
CPHLNLBGWFN5,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,
CPHLNLBGWFN5,334419,Other Electronic Component Manufacturing,
CPHLNLBGWFN5,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,Y
CPHLNLBGWFN5,335311,"Power, Distribution, and Specialty Transformer Manufacturing",
CPHLNLBGWFN5,335314,Relay and Industrial Control Manufacturing,
CPHLNLBGWFN5,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,
MSYWUDGYPKF5,332420,Metal Tank (Heavy Gauge) Manufacturing,Y
WREEAHYMRQ45,334419,Other Electronic Component Manufacturing,Y
WREEAHYMRQ45,334519,Other Measuring and Controlling Device Manufacturing,
TZVRTYNM3MN3,332312,Fabricated Structural Metal Manufacturing,
TZVRTYNM3MN3,332313,Plate Work Manufacturing,Y
TZVRTYNM3MN3,332710,Machine Shops,
TZVRTYNM3MN3,336120,Heavy Duty Truck Manufacturing,
TZVRTYNM3MN3,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",
V1MQFNQB56Z5,237120,Oil and Gas Pipeline and Related Structures Construction,
V1MQFNQB56Z5,325120,Industrial Gas Manufacturing,
V1MQFNQB56Z5,333912,Air and Gas Compressor Manufacturing,Y
V1MQFNQB56Z5,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,
DK14KTLXA9M5,332710,Machine Shops,
DK14KTLXA9M5,332919,Other Metal Valve and Pipe Fitting Manufacturing,Y
DK14KTLXA9M5,332996,Fabricated Pipe and Pipe Fitting Manufacturing,
NN7PCHZFNZP8,331513,Steel Foundries (except Investment),Y
N5KMLMXEPFM5,333310,Commercial and Service Industry Machinery Manufacturing,Y
N5KMLMXEPFM5,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",
N5KMLMXEPFM5,333998,All Other Miscellaneous General Purpose Machinery Manufacturing,
QNEXJLA47BM4,336611,Ship Building and Repairing,Y
QNEXJLA47BM4,423210,Furniture Merchant Wholesalers,
QNEXJLA47BM4,423440,Other Commercial Equipment Merchant Wholesalers,
K3XPS1HXNBF3,331221,Rolled Steel Shape Manufacturing,
K3XPS1HXNBF3,332322,Sheet Metal Work Manufacturing,
K3XPS1HXNBF3,332710,Machine Shops,Y
K3XPS1HXNBF3,332721,Precision Turned Product Manufacturing,
K3XPS1HXNBF3,332991,Ball and Roller Bearing Manufacturing,
K3XPS1HXNBF3,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,
K3XPS1HXNBF3,333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",
K3XPS1HXNBF3,333515,Cutting Tool and Machine Tool Accessory Manufacturing,
K3XPS1HXNBF3,333517,Machine Tool Manufacturing,
K3XPS1HXNBF3,333519,Rolling Mill and Other Metalworking Machinery Manufacturing,
K3XPS1HXNBF3,333611,Turbine and Turbine Generator Set Units Manufacturing,
K3XPS1HXNBF3,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",
K3XPS1HXNBF3,333618,Other Engine Equipment Manufacturing,
K3XPS1HXNBF3,334519,Other Measuring and Controlling Device Manufacturing,
K3XPS1HXNBF3,336412,Aircraft Engine and Engine Parts Manufacturing,
K3XPS1HXNBF3,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,
K3XPS1HXNBF3,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,
K3XPS1HXNBF3,336611,Ship Building and Repairing,
K3XPS1HXNBF3,336612,Boat Building,
K3XPS1HXNBF3,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",
K3XPS1HXNBF3,561510,Travel Agencies,
NEGFNA8YS723,332313,Plate Work Manufacturing,
NEGFNA8YS723,332439,Other Metal Container Manufacturing,
NEGFNA8YS723,332710,Machine Shops,
NEGFNA8YS723,332721,Precision Turned Product Manufacturing,
NEGFNA8YS723,332911,Industrial Valve Manufacturing,
NEGFNA8YS723,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,
NEGFNA8YS723,333241,Food Product Machinery Manufacturing,
NEGFNA8YS723,333242,Semiconductor Machinery Manufacturing,
NEGFNA8YS723,333517,Machine Tool Manufacturing,
NEGFNA8YS723,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",
NEGFNA8YS723,333613,Mechanical Power Transmission Equipment Manufacturing,
NEGFNA8YS723,333991,Power-Driven Handtool Manufacturing,
NEGFNA8YS723,333995,Fluid Power Cylinder and Actuator Manufacturing,
NEGFNA8YS723,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,
NEGFNA8YS723,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",
NEGFNA8YS723,334519,Other Measuring and Controlling Device Manufacturing,
NEGFNA8YS723,336411,Aircraft Manufacturing,
NEGFNA8YS723,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,
NEGFNA8YS723,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,
NEGFNA8YS723,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",
NEGFNA8YS723,336999,All Other Transportation Equipment Manufacturing,
NEGFNA8YS723,339112,Surgical and Medical Instrument Manufacturing,
NEGFNA8YS723,339999,All Other Miscellaneous Manufacturing,Y
NEGFNA8YS723,541330,Engineering Services,
NEGFNA8YS723,541990,"All Other Professional, Scientific, and Technical Services",
PTMFLMD2CUB4,334111,Electronic Computer Manufacturing,
PTMFLMD2CUB4,334112,Computer Storage Device Manufacturing,
PTMFLMD2CUB4,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,
PTMFLMD2CUB4,334210,Telephone Apparatus Manufacturing,
PTMFLMD2CUB4,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Y
PTMFLMD2CUB4,334310,Audio and Video Equipment Manufacturing,
PTMFLMD2CUB4,334413,Semiconductor and Related Device Manufacturing,
PTMFLMD2CUB4,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,
PTMFLMD2CUB4,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,
PTMFLMD2CUB4,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,
PTMFLMD2CUB4,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,
PTMFLMD2CUB4,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,
PTMFLMD2CUB4,541330,Engineering Services,
PTMFLMD2CUB4,541511,Custom Computer Programming Services,
PTMFLMD2CUB4,541512,Computer Systems Design Services,
PTMFLMD2CUB4,541519,Other Computer Related Services,
PTMFLMD2CUB4,541990,"All Other Professional, Scientific, and Technical Services",
PTMFLMD2CUB4,811210,Electronic and Precision Equipment Repair and Maintenance,
PTMFLMD2CUB4,927110,Space Research and Technology,
PTMFLMD2CUB4,928110,National Security,
JA2KCX21NL48,321920,Wood Container and Pallet Manufacturing,
JA2KCX21NL48,332710,Machine Shops,
JA2KCX21NL48,332721,Precision Turned Product Manufacturing,
JA2KCX21NL48,332911,Industrial Valve Manufacturing,
JA2KCX21NL48,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,
JA2KCX21NL48,333613,Mechanical Power Transmission Equipment Manufacturing,
JA2KCX21NL48,333618,Other Engine Equipment Manufacturing,
JA2KCX21NL48,336611,Ship Building and Repairing,Y
JA2KCX21NL48,339991,"Gasket, Packing, and Sealing Device Manufacturing",
JA2KCX21NL48,488390,Other Support Activities for Water Transportation,
JA2KCX21NL48,541330,Engineering Services,
JA2KCX21NL48,561990,All Other Support Services,
LJRBXLTGXN57,332312,Fabricated Structural Metal Manufacturing,
LJRBXLTGXN57,332313,Plate Work Manufacturing,
LJRBXLTGXN57,332410,Power Boiler and Heat Exchanger Manufacturing,
LJRBXLTGXN57,332439,Other Metal Container Manufacturing,
LJRBXLTGXN57,332710,Machine Shops,
LJRBXLTGXN57,332721,Precision Turned Product Manufacturing,
LJRBXLTGXN57,332911,Industrial Valve Manufacturing,
LJRBXLTGXN57,332919,Other Metal Valve and Pipe Fitting Manufacturing,
LJRBXLTGXN57,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,
LJRBXLTGXN57,333248,All Other Industrial Machinery Manufacturing,
LJRBXLTGXN57,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,Y
LJRBXLTGXN57,333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",
LJRBXLTGXN57,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",
LJRBXLTGXN57,333998,All Other Miscellaneous General Purpose Machinery Manufacturing,
LJRBXLTGXN57,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",
LJRBXLTGXN57,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,
LJRBXLTGXN57,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,
LJRBXLTGXN57,336611,Ship Building and Repairing,
LJRBXLTGXN57,541330,Engineering Services,
N79NY6FRL2F3,331313,Alumina Refining and Primary Aluminum Production,
N79NY6FRL2F3,331318,"Other Aluminum Rolling, Drawing, and Extruding",
N79NY6FRL2F3,331420,"Copper Rolling, Drawing, Extruding, and Alloying",
N79NY6FRL2F3,331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",
N79NY6FRL2F3,332111,Iron and Steel Forging,
N79NY6FRL2F3,332112,Nonferrous Forging,
N79NY6FRL2F3,332431,Metal Can Manufacturing,
N79NY6FRL2F3,332919,Other Metal Valve and Pipe Fitting Manufacturing,
N79NY6FRL2F3,332996,Fabricated Pipe and Pipe Fitting Manufacturing,Y
N79NY6FRL2F3,333517,Machine Tool Manufacturing,
N79NY6FRL2F3,333519,Rolling Mill and Other Metalworking Machinery Manufacturing,
JRUCKDSNXKD5,332312,Fabricated Structural Metal Manufacturing,
JRUCKDSNXKD5,332710,Machine Shops,
JRUCKDSNXKD5,332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",
JRUCKDSNXKD5,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,
JRUCKDSNXKD5,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",
JRUCKDSNXKD5,333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",
JRUCKDSNXKD5,333998,All Other Miscellaneous General Purpose Machinery Manufacturing,Y
JRUCKDSNXKD5,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",
JRUCKDSNXKD5,336411,Aircraft Manufacturing,
JRUCKDSNXKD5,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,
JRUCKDSNXKD5,336414,Guided Missile and Space Vehicle Manufacturing,
JRUCKDSNXKD5,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,
JRUCKDSNXKD5,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,
JRUCKDSNXKD5,336611,Ship Building and Repairing,
JRUCKDSNXKD5,339999,All Other Miscellaneous Manufacturing,
MSFLXVQVJMG4,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,Y
MSFLXVQVJMG4,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,
VL18ZH6YLPY5,333611,Turbine and Turbine Generator Set Units Manufacturing,Y
VL18ZH6YLPY5,334290,Other Communications Equipment Manufacturing,
VL18ZH6YLPY5,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",
VL18ZH6YLPY5,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,
VL18ZH6YLPY5,336412,Aircraft Engine and Engine Parts Manufacturing,
VL18ZH6YLPY5,541330,Engineering Services,
GZ57A195G7K6,541330,Engineering Services,Y
GZ57A195G7K6,541340,Drafting Services,
PUG1H9MFJD63,331221,Rolled Steel Shape Manufacturing,
PUG1H9MFJD63,331318,"Other Aluminum Rolling, Drawing, and Extruding",
PUG1H9MFJD63,331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",
PUG1H9MFJD63,332311,Prefabricated Metal Building and Component Manufacturing,
PUG1H9MFJD63,332313,Plate Work Manufacturing,Y
PUG1H9MFJD63,332420,Metal Tank (Heavy Gauge) Manufacturing,
PUG1H9MFJD63,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,
PUG1H9MFJD63,336611,Ship Building and Repairing,
MU3CM1145E44,332993,Ammunition (except Small Arms) Manufacturing,
MU3CM1145E44,334111,Electronic Computer Manufacturing,
MU3CM1145E44,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,
MU3CM1145E44,334290,Other Communications Equipment Manufacturing,
MU3CM1145E44,334419,Other Electronic Component Manufacturing,
MU3CM1145E44,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",
MU3CM1145E44,335314,Relay and Industrial Control Manufacturing,
MU3CM1145E44,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,
MU3CM1145E44,541330,Engineering Services,
MU3CM1145E44,541511,Custom Computer Programming Services,
MU3CM1145E44,541513,Computer Facilities Management Services,
MU3CM1145E44,541519,Other Computer Related Services,
MU3CM1145E44,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",Y
MU3CM1145E44,541720,Research and Development in the Social Sciences and Humanities,
WN1PJNXJJ831,332410,Power Boiler and Heat Exchanger Manufacturing,
WN1PJNXJJ831,332420,Metal Tank (Heavy Gauge) Manufacturing,
WN1PJNXJJ831,332996,Fabricated Pipe and Pipe Fitting Manufacturing,Y
WN1PJNXJJ831,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,
RLXQHCXFT513,332112,Nonferrous Forging,
RLXQHCXFT513,332919,Other Metal Valve and Pipe Fitting Manufacturing,
RLXQHCXFT513,332996,Fabricated Pipe and Pipe Fitting Manufacturing,Y
MC77SUMRLXY5,332911,Industrial Valve Manufacturing,Y
F8M5LJA6LJL4,332911,Industrial Valve Manufacturing,Y
F8M5LJA6LJL4,332912,Fluid Power Valve and Hose Fitting Manufacturing,
F8M5LJA6LJL4,333995,Fluid Power Cylinder and Actuator Manufacturing,
F8M5LJA6LJL4,333996,Fluid Power Pump and Motor Manufacturing,
F8M5LJA6LJL4,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,
HLE1E2KALJA5,335311,"Power, Distribution, and Specialty Transformer Manufacturing",Y
KCYPSYNH1M94,332322,Sheet Metal Work Manufacturing,
KCYPSYNH1M94,332919,Other Metal Valve and Pipe Fitting Manufacturing,
KCYPSYNH1M94,336611,Ship Building and Repairing,Y
KCYPSYNH1M94,336612,Boat Building,
KCYPSYNH1M94,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,
XYNDM1Y7XGG7,332710,Machine Shops,
XYNDM1Y7XGG7,332721,Precision Turned Product Manufacturing,
XYNDM1Y7XGG7,332991,Ball and Roller Bearing Manufacturing,Y
XYNDM1Y7XGG7,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,
XYNDM1Y7XGG7,333613,Mechanical Power Transmission Equipment Manufacturing,
XYNDM1Y7XGG7,336611,Ship Building and Repairing,
XYNDM1Y7XGG7,541330,Engineering Services,
XYNDM1Y7XGG7,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,
TY25RCEB5FF3,238120,Structural Steel and Precast Concrete Contractors,
TY25RCEB5FF3,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,
TY25RCEB5FF3,331221,Rolled Steel Shape Manufacturing,
TY25RCEB5FF3,332312,Fabricated Structural Metal Manufacturing,
TY25RCEB5FF3,332313,Plate Work Manufacturing,
