eswbs_code,one_digit_group,group_name,nomenclature,remarks
15200,1,Hull Structure,1ST DECKHOUSE LEVEL,
15210,1,Hull Structure,1ST DECKHOUSE LEVEL,
15211,1,Hull Structure,1ST DECKHOUSE,
15300,1,Hull Structure,2ND DECKHOUSE LEVEL,
15400,1,Hull Structure,3RD DECKHOUSE LEVEL,
15500,1,Hull Structure,4TH DECKHOUSE LEVEL,
15600,1,Hull Structure,5TH DECKHOUSE LEVEL,
15700,1,Hull Structure,6TH DECKHOUSE LEVEL,
15800,1,Hull Structure,7TH DECKHOUSE LEVEL,
15900,1,Hull Structure,8TH DECKHOUSE LEVEL AND ABOVE,
1600,1,Hull Structure,SURFACE WEAPONS VS UNDERWATER TARGETS,
16000,1,Hull Structure,SPECIAL STRUCTURES,
16100,1,Hull Structure,"STRUCTURAL CASTINGS, FORGINGS, AND EQUIV. WELDMENTS",
16110,1,Hull Structure,"STRUCTURAL CASTINGS, FORGINGS AND EQUIV. WELDMENTS",
16111,1,Hull Structure,"STRUCTURAL CASTINGS, FORGINGS AND EQUIV. WELDMENTS",
16300,1,Hull Structure,SEA CHESTS,
16310,1,Hull Structure,SEA CHESTS,
16311,1,Hull Structure,SEA CHESTS,
16400,1,Hull Structure,BALLISTIC PLATING,
16410,1,Hull Structure,BALLISTIC PLATING,
16411,1,Hull Structure,BALLISTIC PLATING,
16500,1,Hull Structure,SONAR DOMES,
16510,1,Hull Structure,SONAR DOME,
16511,1,Hull Structure,SONAR DOME,
16600,1,Hull Structure,SPONSONS,
16700,1,Hull Structure,HULL STRUCTURAL CLOSURES,
16710,1,Hull Structure,HULL STRUCTURAL CLOSURES (WATERTIGHT),
16711,1,Hull Structure,"HULL STRL. CLOSURES (WTRTT.), ARMD., AT., FUELTIGHT, M.O.",
16800,1,Hull Structure,DECKHOUSE STRUCTURAL CLOSURES,
16810,1,Hull Structure,DECKHOUSE STRUCTURAL CLOSURES (WATERTIGHT),
16811,1,Hull Structure,"DECKHOUSE STRUCTURAL CLOSURES (WATERTIGHT), ARMORED, M.O.",
16812,1,Hull Structure,"DECKHOUSE STRUCTURAL CLOSURES (WATERTIGHT, CPS)",
16900,1,Hull Structure,SPECIAL PURPOSE CLOSURES AND STRUCTURES,
16910,1,Hull Structure,SPECIAL PURPOSE CLOSURES AND STRUCTURES,
16911,1,Hull Structure,SPECIAL PURPOSE CLOSURES AND STRUCTURES,
1700,1,Hull Structure,UNDERWATER WEAPONS VS SURFACE TARGETS,
17000,1,Hull Structure,"MASTS, KINGPOSTS, AND SERVICE PLATFORMS",
17100,1,Hull Structure,"MASTS, TOWERS, TETRAPODS",
17110,1,Hull Structure,MASTS,
17111,1,Hull Structure,MASTS,
17200,1,Hull Structure,KINGPOSTS AND SUPPORT FRAMES,
17210,1,Hull Structure,KINGPOSTS,
17211,1,Hull Structure,KINGPOSTS,
17900,1,Hull Structure,SERVICE PLATFORMS,
1800,1,Hull Structure,UNDERWATER WEAPONS VS UNDERWATER TARGETS,
18000,1,Hull Structure,FOUNDATIONS,
18100,1,Hull Structure,HULL STRUCTURE FOUNDATIONS,
18200,1,Hull Structure,PROPULSION PLANT FOUNDATIONS,
18300,1,Hull Structure,ELECTRIC PLANT FOUNDATIONS,
18400,1,Hull Structure,COMMAND AND SURVEILLANCE FOUNDATIONS,
18410,1,Hull Structure,COMMAND AND SURVEILLANCE FOUNDATIONS,
18411,1,Hull Structure,COMMAND AND SURVEILLANCE FOUNDATIONS,
18500,1,Hull Structure,AUXILIARY SYSTEMS FOUNDATIONS,
18600,1,Hull Structure,OUTFIT AND FURNISHINGS FOUNDATIONS,
18700,1,Hull Structure,ARMAMENT FOUNDATIONS,
19000,1,Hull Structure,SPECIAL PURPOSE SYSTEMS,
19100,1,Hull Structure,"BALLAST, FIXED OR FLUID, AND BUOYANCY UNITS",
19110,1,Hull Structure,"BALLAST, PERMANENT",
19111,1,Hull Structure,"BALLAST, PERMANENT",
19200,1,Hull Structure,COMPARTMENT TESTING,
19210,1,Hull Structure,"TESTING, COMPARTMENT (EXCLUSIVE OF TANK TESTING)",
19211,1,Hull Structure,"TESTING, COMPARTMENT (EXCLUSIVE OF TANK TESTING)",
19500,1,Hull Structure,ERECTION OF SUB SECTIONS (PROGRESS REPORT ONLY),
19800,1,Hull Structure,FREE FLOODING LIQUIDS,
19900,1,Hull Structure,HULL REPAIR PARTS AND SPECIAL TOOLS,
19910,1,Hull Structure,HULL MISCELLANEOUS PARTS,
19911,1,Hull Structure,HULL MISCELLANEOUS PARTS,
19920,1,Hull Structure,HULL SPECIAL TOOLS,
19921,1,Hull Structure,HULL SPECIAL TOOLS,
2000,2,Propulsion Plant,STRATEGIC AND SPECIAL CAPABILITIES,
20000,2,Propulsion Plant,"PROPULSION PLANT, GENERAL",
20100,2,Propulsion Plant,GENERAL ARRANGEMENT - PROPULSION DRAWINGS,
20200,2,Propulsion Plant,MACHINERY PLANT CENTRAL CONTROL SYSTEMS,
2100,2,Propulsion Plant,SURFACE BASED DETERRENTS,
21000,2,Propulsion Plant,ENERGY GENERATING SYSTEM (NUCLEAR),
21200,2,Propulsion Plant,NUCLEAR STEAM GENERATOR,
21300,2,Propulsion Plant,REACTORS,
21400,2,Propulsion Plant,REACTOR COOLANT SYSTEM,
21500,2,Propulsion Plant,REACTOR COOLANT SERVICE SYSTEMS,
21600,2,Propulsion Plant,REACTOR PLANT AUXILIARY SYSTEMS,
21700,2,Propulsion Plant,NUCLEAR POWER CONTROL AND INSTRUMENTATION,
21800,2,Propulsion Plant,RADIATION SHIELDING (PRIMARY),
21900,2,Propulsion Plant,RADIATION SHIELDING (SECONDARY),
2200,2,Propulsion Plant,UNDERWATER BASED DETERRENTS,
22000,2,Propulsion Plant,ENERGY GENERATING SYSTEM (NON-NUCLEAR),
22100,2,Propulsion Plant,PROPULSION BOILERS,
22110,2,Propulsion Plant,"BOILERS, PROPULSION",
22120,2,Propulsion Plant,"BOILER, MANUAL/AUTOMATIC CONTROLS",
22130,2,Propulsion Plant,BOILER BLOW SYSTEMS,
22140,2,Propulsion Plant,BOILER STEAM ESCAPE SYSTEMS,
22141,2,Propulsion Plant,BOILER STEAM ESCAPE SYSTEMS,
22150,2,Propulsion Plant,ENERGY CYCLE RECOVERY PROPULSION SYSTEM,
22151,2,Propulsion Plant,RANKINE CYCLE ENERGY RECOVERY (RACER) PROPULSION SYSTEM,
22200,2,Propulsion Plant,GAS GENERATORS,
22300,2,Propulsion Plant,MAIN PROPULSION BATTERIES,
22310,2,Propulsion Plant,MAIN STORAGE BATTERY,
22311,2,Propulsion Plant,"MAIN STORAGE BATTERY, BANK #1",
22312,2,Propulsion Plant,"MAIN STORAGE BATTERY, BANK #2",
22320,2,Propulsion Plant,HYDROGEN DETECTION SYSTEM (HY),
22321,2,Propulsion Plant,HYDROGEN DETECTION SYSTEM (HY),
22330,2,Propulsion Plant,BATTERY AIR FLOW SYSTEM (HG),
22331,2,Propulsion Plant,BATTERY AIR FLOW SYSTEM (HG),
22400,2,Propulsion Plant,MAIN PROPULSION FUEL CELLS,
2300,2,Propulsion Plant,AMPHIBIOUS WARFARE,
23000,2,Propulsion Plant,PROPULSION UNITS,
23100,2,Propulsion Plant,PROPULSION STEAM TURBINES,
23110,2,Propulsion Plant,"PROPULSION STEAM TURBINES, MAIN",
23200,2,Propulsion Plant,PROPULSION STEAM ENGINES,
23300,2,Propulsion Plant,PROPULSION INTERNAL COMBUSTION ENGINES,
23310,2,Propulsion Plant,"PROPULSION DIESEL ENGINES, MAIN",
23311,2,Propulsion Plant,"PROPULSION DIESEL ENGINE, MAIN - NO. 1",
23312,2,Propulsion Plant,"PROPULSION DIESEL ENGINE, MAIN - NO. 2",
23313,2,Propulsion Plant,"PROPULSION DIESEL ENGINE, MAIN - NO. 3",
23314,2,Propulsion Plant,"PROPULSION DIESEL ENGINE, MAIN - NO. 4",
23315,2,Propulsion Plant,"PROPULSION DIESEL ENGINE, MAIN - NO. 5",
23316,2,Propulsion Plant,"PROPULSION DIESEL ENGINE, MAIN - NO. 6",
23400,2,Propulsion Plant,PROPULSION GAS TURBINES,
23410,2,Propulsion Plant,"PROPULSION GAS TURBINES, MAIN",
23411,2,Propulsion Plant,"PROPULSION GAS TURBINE, MAIN - NO. 1",
23412,2,Propulsion Plant,"PROPULSION GAS TURBINE, MAIN - NO. 2",
23413,2,Propulsion Plant,"PROPULSION GAS TURBINE, MAIN - NO. 3",
23414,2,Propulsion Plant,"PROPULSION GAS TURBINE, MAIN - NO. 4",
23420,2,Propulsion Plant,"PROPULSION GAS TURBINES, SUPPORT SYSTEM",
23421,2,Propulsion Plant,GAS TURBINE STARTING AIR SYSTEM,
23422,2,Propulsion Plant,LUBE OIL FILL AND STORAGE SYSTEM,
23423,2,Propulsion Plant,FREE STANDING ELECTRONIC ENCLOSURE (FSEE),
23424,2,Propulsion Plant,GAS TURBINE WATER WASH SYSTEM,
23425,2,Propulsion Plant,UNINTERRUPTED POWER SUPPLY,
23426,2,Propulsion Plant,GAS TURBINE STARTING  SYSTEM,
23500,2,Propulsion Plant,ELECTRIC PROPULSION,
23510,2,Propulsion Plant,"PROPULSION GENERATORS, MAIN",
23511,2,Propulsion Plant,"PROPULSION GENERATOR, MAIN - NO. 1",
23512,2,Propulsion Plant,"PROPULSION GENERATOR, MAIN - NO. 2",
23513,2,Propulsion Plant,"PROPULSION GENERATOR, MAIN - NO. 3",
23514,2,Propulsion Plant,"PROPULSION GENERATOR, MAIN - NO. 4",
23515,2,Propulsion Plant,"PROPULSION GENERATOR, MAIN - NO. 5",
23516,2,Propulsion Plant,"PROPULSION GENERATOR, MAIN - NO. 6",
23520,2,Propulsion Plant,"PROPULSION MOTORS, MAIN",
23521,2,Propulsion Plant,"PROPULSION MOTOR, MAIN SHAFT 1",
23522,2,Propulsion Plant,"PROPULSION MOTOR, MAIN SHAFT 2",
23523,2,Propulsion Plant,"PROPULSION MOTOR, MAIN SHAFT 3",
23600,2,Propulsion Plant,SELF-CONTAINED PROPULSION SYSTEMS,
23700,2,Propulsion Plant,AUXILIARY PROPULSION DEVICES,
23710,2,Propulsion Plant,"PROPULSION DEVICES, AUXILIARY",
23711,2,Propulsion Plant,"PROPULSION DEVICES, AUXILIARY",
23810,2,Propulsion Plant,SECONDARY PROPULSION,
23811,2,Propulsion Plant,SECONDARY PROPULSION,
23900,2,Propulsion Plant,EMERGENCY PROPULSION,
23910,2,Propulsion Plant,EMERGENCY PROPULSION,
23911,2,Propulsion Plant,EMERGENCY PROPULSION,
2400,2,Propulsion Plant,MINE AND MINE COUNTERMEASURE WARFARE,
24000,2,Propulsion Plant,TRANSMISSION AND PROPULSOR SYSTEMS,
24100,2,Propulsion Plant,PROPULSION REDUCTION GEARS,
24110,2,Propulsion Plant,PROPULSION REDUCTION GEARS,
24111,2,Propulsion Plant,"PROPULSION REDUCTION GEAR - SHAFT 1, STBD",
24112,2,Propulsion Plant,"PROPULSION REDUCTION GEAR - SHAFT 2, CENTERLINE",
24113,2,Propulsion Plant,"PROPULSION REDUCTION GEAR - SHAFT 3, PORT",
24120,2,Propulsion Plant,PROPULSION REDUCTION GEARS-FOILBORNE,
24121,2,Propulsion Plant,PROPULSION REDUCTION GEARS-FOILBORNE,
24200,2,Propulsion Plant,PROPULSION CLUTCHES AND COUPLINGS,
24210,2,Propulsion Plant,PROPULSION CLUTCHES AND COUPLINGS,
24211,2,Propulsion Plant,PROPULSION CLUTCHES AND COUPLINGS - SHAFT 1,
24212,2,Propulsion Plant,PROPULSION CLUTCHES AND COUPLINGS - SHAFT 2,
24213,2,Propulsion Plant,PROPULSION CLUTCHES AND COUPLINGS - SHAFT 3,
24214,2,Propulsion Plant,PROPULSION CLUTCHES AND COUPLINGS - SHAFT 4,
24220,2,Propulsion Plant,PROPULSION COUPLING-FOILBORNE,
24221,2,Propulsion Plant,PROPULSION COUPLING-FOILBORNE,
24300,2,Propulsion Plant,PROPULSION SHAFTING,
24310,2,Propulsion Plant,PROPULSION SHAFTING,
24311,2,Propulsion Plant,PROPULSION SHAFTING - SHAFT 1,
24312,2,Propulsion Plant,PROPULSION SHAFTING - SHAFT 2,
24313,2,Propulsion Plant,PROPULSION SHAFTING - SHAFT 3,
24314,2,Propulsion Plant,PROPULSION SHAFTING - SHAFT 4,
24400,2,Propulsion Plant,PROPULSION SHAFT BEARINGS,
24410,2,Propulsion Plant,PROPULSION SHAFT BEARINGS,
24411,2,Propulsion Plant,PROPULSION SHAFT BEARING - SHAFT 1,
24412,2,Propulsion Plant,PROPULSION SHAFT BEARING - SHAFT 2,
24413,2,Propulsion Plant,PROPULSION SHAFT BEARING - SHAFT 3,
24414,2,Propulsion Plant,PROPULSION SHAFT BEARING - SHAFT 4,
24500,2,Propulsion Plant,PROPULSORS,
24510,2,Propulsion Plant,PROPELLERS AND PROPULSORS,
24511,2,Propulsion Plant,PROPELLERS AND PROPULSORS - SHAFT 1,
24512,2,Propulsion Plant,PROPELLERS AND PROPULSORS - SHAFT 2,
24513,2,Propulsion Plant,PROPELLERS AND PROPULSORS - SHAFT 3,
24514,2,Propulsion Plant,PROPELLERS AND PROPULSORS - SHAFT 4,
24600,2,Propulsion Plant,PROPULSOR SHROUDS AND DUCTS,
24610,2,Propulsion Plant,PROPULSOR SHROUDS AND DUCTS,
24611,2,Propulsion Plant,PROPULSOR SHROUDS AND DUCTS,
24700,2,Propulsion Plant,WATER JET PROPULSORS,
24710,2,Propulsion Plant,"PROPULSORS, WATER JET - HULLBORNE",
24711,2,Propulsion Plant,"PROPULSORS, WATER JET - HULLBORNE - NO. 1",
24712,2,Propulsion Plant,"PROPULSORS, WATER JET - HULLBORNE - NO. 2",
24713,2,Propulsion Plant,"PROPULSORS, WATER JET - HULLBORNE - NO. 3",
24714,2,Propulsion Plant,"PROPULSORS, WATER JET - HULLBORNE - NO. 4",
24720,2,Propulsion Plant,"PROPULSORS, WATER JET-FOILBORNE",
24721,2,Propulsion Plant,"PROPULSORS, WATER JET-FOILBORNE",
24800,2,Propulsion Plant,LIFT SYSTEM FANS AND DUCTING,
24810,2,Propulsion Plant,LIFT SYSTEM FANS AND DUCTING,
24811,2,Propulsion Plant,LIFT SYSTEM FANS AND DUCTING,
2500,2,Propulsion Plant,INSHORE WARFARE,
25000,2,Propulsion Plant,PROPULSION SUPPORT SYS. (EXCEPT FUEL AND LUBE OIL),
25100,2,Propulsion Plant,COMBUSTION AIR SYSTEM,
25110,2,Propulsion Plant,"BLOWERS, FORCED DRAFT",
25120,2,Propulsion Plant,"BLOWERS, LIGHT OFF",
25121,2,Propulsion Plant,"BLOWERS, LIGHT OFF",
25130,2,Propulsion Plant,"INTAKES, COMBUSTION AIR, GAS TURBINE",
25140,2,Propulsion Plant,"INTAKES, COMBUSTION AIR, DIESEL",
25150,2,Propulsion Plant,"INTAKES, COMBUSTION AIR, BOILER",
25200,2,Propulsion Plant,PROPULSION CONTROL SYSTEM,
25210,2,Propulsion Plant,"PROPULSION CONTROL SYSTEM, AUTOMATIC",
25211,2,Propulsion Plant,PROPULSION CONTROL SYSTEM - MPCMS ECC MAIN CONSOLE,
25212,2,Propulsion Plant,PROPULSION CONTROL SYSTEM - MPCMS PLC CONTROLLER,
25213,2,Propulsion Plant,PROPULSION CONTROL SYSTEM - MPCMS SECONDARY CONSOLE,
25214,2,Propulsion Plant,PROPULSION CONTROL SYSTEM - MPCMS REMOTE TERMINAL UNIT,
25215,2,Propulsion Plant,PROPULSION CONTROL SYSTEM - PILOTHOUSE/BRIDGE,
25216,2,Propulsion Plant,PROPULSION CONTROL SYSTEM -MPCMS VIDEO DISPLAY TERMINAL (VDT),
25217,2,Propulsion Plant,PROPULSION CONTROL SYSTEM - MPCMS LOCAL CONTROL PANEL,
25218,2,Propulsion Plant,PROPULSION CONTROL SYSTEM - PERSONNEL AND EQUIP. MODULE,
25220,2,Propulsion Plant,"PROPULSION CONTROL SYSTEM, AUTOMATIC-FOILBORNE",
25221,2,Propulsion Plant,"PROPULSION CONTROL SYSTEM, AUTOMATIC-FOILBORNE",
25300,2,Propulsion Plant,MAIN STEAM PIPING SYSTEM,
25310,2,Propulsion Plant,"PIPING, MAIN STEAM",
25400,2,Propulsion Plant,CONDENSERS AND AIR EJECTORS,
25410,2,Propulsion Plant,MAIN CONDENSERS AND AIR EJECTORS,
25420,2,Propulsion Plant,"CONDENSERS AND AIR EJECTORS, AUXILIARY",
25430,2,Propulsion Plant,"CONDENSERS AND FANS, AUXILIARY GLAND EXHAUST",
25440,2,Propulsion Plant,"PIPING/ACCESSORIES, MAIN/AUX CONDENSERS AND AIR EJECTORS",
25450,2,Propulsion Plant,"CONDENSERS AND AIR EJECTORS, CPTG",
25500,2,Propulsion Plant,FEED AND CONDENSATE SYSTEM,
25510,2,Propulsion Plant,"PIPING AND ACCESSORIES, MAIN FEEDWATER",
25520,2,Propulsion Plant,"PUMPS,  MAIN FEED",
25530,2,Propulsion Plant,"PUMPS, MAIN FEED BOOSTER, EMERGENCY FEED",
25540,2,Propulsion Plant,"PIPING AND ACCESSORIES, MAIN/AUXILIARY CONDENSATE",
25550,2,Propulsion Plant,"PUMPS, MAIN CONDENSATE",
25560,2,Propulsion Plant,"PUMPS, AUXILIARY CONDENSATE",
25570,2,Propulsion Plant,"TANKS, DEAERATING FEED",
25580,2,Propulsion Plant,"PUMPS, AUXILIARY CONDS., COOLANT PUMP, TURBINE GENERATOR",
25600,2,Propulsion Plant,CIRCULATING AND COOLING SEA WATER SYSTEM,
25610,2,Propulsion Plant,"PIPING, CIRCULATING AND COOLING SEA WATER",
25611,2,Propulsion Plant,"PIPING, CIRCULATING AND COOLING SEA WATER - SHAFT 1","NOTE:  DOES NOT INCLUDE ATTACHED MAIN ENGINE COOLER - SEE 233
NOTE:  DOES NOT INCLUDE ATTACHED DIES SS GEN ENGINE COOLER - SEE 311
NOTE:  DOES NOT INCLUDE ATTACHED EMERGENCY DIES GEN ENGINE COOLER - SEE 312
NOTE:  DOES NOT INCLUDE UNATTACHED SW/FW ENGI"
25612,2,Propulsion Plant,"PIPING, CIRCULATING AND COOLING SEA WATER - SHAFT 2","NOTE:  DOES NOT INCLUDE ATTACHED MAIN ENGINE COOLER - SEE 233
NOTE:  DOES NOT INCLUDE ATTACHED DIES SS GEN ENGINE COOLER - SEE 311
NOTE:  DOES NOT INCLUDE ATTACHED EMERGENCY DIES GEN ENGINE COOLER - SEE 312
NOTE:  DOES NOT INCLUDE UNATTACHED SW/FW ENGI"
25613,2,Propulsion Plant,"PIPING, CIRCULATING AND COOLING SEA WATER - SHAFT 3","NOTE:  DOES NOT INCLUDE ATTACHED MAIN ENGINE COOLER - SEE 233
NOTE:  DOES NOT INCLUDE ATTACHED DIES SS GEN ENGINE COOLER - SEE 311
NOTE:  DOES NOT INCLUDE ATTACHED EMERGENCY DIES GEN ENGINE COOLER - SEE 312
NOTE:  DOES NOT INCLUDE UNATTACHED SW/FW ENGI"
25620,2,Propulsion Plant,"PUMPS, MAIN CIRCULATING",
25621,2,Propulsion Plant,"PUMPS, MAIN CIRCULATING - SHAFT 1","NOTE:  DOES NOT INCLUDE ATTACHED ENGINE PUMPS - SEE 233, 311 & 312
NOTE:  DOES NOT INCLUDE AUXILIARY SEA WATER PUMPS - SEE 2563"
25622,2,Propulsion Plant,"PUMPS, MAIN CIRCULATING - SHAFT 2","NOTE:  DOES NOT INCLUDE ATTACHED ENGINE PUMPS - SEE 233, 311 & 312
NOTE:  DOES NOT INCLUDE AUXILIARY SEA WATER PUMPS - SEE 2563"
25623,2,Propulsion Plant,"PUMPS, MAIN CIRCULATING - SHAFT 3","NOTE:  DOES NOT INCLUDE ATTACHED ENGINE PUMPS - SEE 233, 311 & 312
NOTE:  DOES NOT INCLUDE AUXILIARY SEA WATER PUMPS - SEE 2563"
25630,2,Propulsion Plant,"PUMPS, AUXILIARY CIRCULATING",
25631,2,Propulsion Plant,"PUMPS, AUXILIARY CIRCULATING - NO 1","NOTE:  DOES NOT INCLUDE ATTACHED ENGINE PUMPS - SEE 233, 311 & 312"
25632,2,Propulsion Plant,"PUMPS, AUXILIARY CIRCULATING - NO 2","NOTE:  DOES NOT INCLUDE ATTACHED ENGINE PUMPS - SEE 233, 311 & 312"
25633,2,Propulsion Plant,"PUMPS, AUXILIARY CIRCULATING - NO 3","NOTE:  DOES NOT INCLUDE ATTACHED ENGINE PUMPS - SEE 233, 311 & 312"
25640,2,Propulsion Plant,"PUMPS, AUX. CIRCULATING, COOLANT PUMP, TURBINE GENERATOR",
25650,2,Propulsion Plant,"PIPING, FIREMAIN SUPPLIED SEA WATER COOLING SYSTEM",
25651,2,Propulsion Plant,"PIPING, FIREMAIN SUPPLIED SEA WATER COOLING SYSTEM","NOTE:  FOR COOLING EQUIPMENT OUTSIDE OF MACHINERY BOX ONLY	
NOTE:  DOES NOT INCLUDE ASW CROSS CONNECT INSIDE MACHINERY SPACE -  SEE 5241"
25660,2,Propulsion Plant,"PIPING, CENTRALIZED CIRCULATING AND COOLING SEA WATER",
25661,2,Propulsion Plant,"PIPING, CTLIZED CRCLTING AND COOLING SW-SHAFT OR BRANCH 1",
25662,2,Propulsion Plant,"PIPING, CTLIZED CRCLTING AND COOLING SW-SHAFT OR BRANCH 2",
25663,2,Propulsion Plant,"PIPING, CTLIZED CRCLTING AND COOLING SW-SHAFT OR BRANCH 3",
25670,2,Propulsion Plant,"PUMPS, CENTRALIZED SEA WATER COOLING SYSTEM",
25671,2,Propulsion Plant,"PUMP ASSEMBLY, CENTRALIZED SEA WATER COOLING  - NO. 1","NOTE:  DOES NOT INCLUDE ATTACHED ENGINE PUMPS - SEE 233, 311 & 312	
NOTE:  DOES NOT INCLUDE AUXILIARY SEA WATER PUMPS - SEE 2563	
NOTE:  DOES NOT INCLUDE MAIN CIRCULATING PUMPS - SEE 2562"
25672,2,Propulsion Plant,"PUMP ASSEMBLY, CENTRALIZED SEA WATER COOLING  - NO. 2","NOTE:  DOES NOT INCLUDE ATTACHED ENGINE PUMPS - SEE 233, 311 & 312	
NOTE:  DOES NOT INCLUDE AUXILIARY SEA WATER PUMPS - SEE 2563	
NOTE:  DOES NOT INCLUDE MAIN CIRCULATING PUMPS - SEE 2562"
